Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
142,Jean-Kévin Augustin\97bfa797,fr FRA,FWMF,Nantes,fr Ligue 1,24-323,1997,0.7,17.1,21.4,80.0,220.0,31.4,11.4,12.9,88.9,2.86,5.71,50.0,1.43,1.43,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
143,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,es La Liga,28-014,1994,8.8,51.4,63.6,80.7,906.1,297.6,24.3,26.1,93.0,20.7,23.3,88.8,5.68,12.2,46.7,0.11,0.07,0.05,1.14,2.39,0.91,0.45,1.82,Matches
144,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,es La Liga,29-132,1992,10.9,56.9,66.6,85.4,1038.3,353.7,22.8,25.7,88.6,27.5,31.3,88.0,5.60,7.52,74.4,0.09,0.11,-0.02,0.64,3.21,1.38,0.64,4.50,Matches
145,Ezequiel Ávila\253a06b9,ar ARG,FWMF,Osasuna,es La Liga,28-088,1994,18.4,14.3,25.5,56.3,287.5,84.8,5.87,8.91,65.9,5.71,9.08,62.9,2.50,5.65,44.2,0.05,0.07,-0.02,0.82,1.30,1.03,0.65,2.01,Matches
146,Taiwo Awoniyi\e5478b87,ng NGA,FW,Union Berlin,de Bundesliga,24-266,1997,22.5,13.5,19.6,68.7,209.5,53.0,7.02,9.16,76.7,4.89,6.98,70.1,0.89,1.56,57.1,0.00,0.07,-0.07,0.93,1.11,0.80,0.09,1.82,Matches
147,Ramzi Aya\6a1f66a7,it ITA,DF,Salernitana,it Serie A,31-276,1990,1.5,12.0,18.7,64.3,257.3,102.0,3.33,4.00,83.3,6.00,9.33,64.3,2.67,5.33,50.0,0.00,0.00,0.00,0.00,1.33,0.00,0.00,2.00,Matches
148,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,eng Premier League,30-236,1991,21.4,25.4,33.3,76.4,386.2,77.9,14.6,16.5,88.4,8.64,10.7,80.4,1.50,3.50,42.7,0.14,0.11,0.03,0.98,1.31,0.70,0.23,2.10,Matches
149,Kaan Ayhan\2200181e,tr TUR,DF,Sassuolo,it Serie A,27-176,1994,13.0,52.9,58.7,90.2,1149.7,407.0,17.3,18.2,94.9,24.6,26.4,93.3,10.4,13.2,78.9,0.00,0.00,0.00,0.08,4.38,0.15,0.00,5.00,Matches
150,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,eng Premier League,30-253,1991,25.0,48.0,61.5,78.1,1016.4,435.1,17.3,19.7,87.8,21.9,25.6,85.3,8.52,14.5,58.8,0.08,0.03,0.05,0.32,3.96,0.44,0.16,5.00,Matches
151,Karim Azamoum\eaf71a5e,fr FRA,DF,Troyes,fr Ligue 1,32-108,1990,4.3,25.1,33.7,74.5,501.2,196.0,8.84,10.0,88.4,12.3,15.1,81.5,3.72,7.91,47.1,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.70,Matches
152,Sardar Azmoun\10549b49,ir IRN,FWMF,Leverkusen,de Bundesliga,27-124,1995,3.2,18.4,25.6,72.0,292.2,80.6,10.0,11.6,86.5,6.56,10.0,65.6,1.56,1.88,83.3,0.31,0.19,0.13,1.56,2.50,0.63,0.00,3.13,Matches
153,César Azpilicueta\53cad200,es ESP,DF,Chelsea,eng Premier League,32-250,1989,20.7,61.9,73.8,83.8,1049.3,405.7,29.6,32.7,90.5,27.8,31.5,88.3,3.91,7.44,52.6,0.10,0.10,-0.00,0.87,4.54,0.92,0.14,5.31,Matches
154,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,es La Liga,26-103,1996,20.5,28.7,35.4,81.0,588.0,171.0,9.95,11.6,85.7,12.8,14.8,86.5,5.37,7.37,72.8,0.00,0.01,-0.01,0.29,2.68,0.39,0.05,3.07,Matches
155,Carlos Bacca\09a9e921,co COL,FW,Granada,es La Liga,35-239,1986,5.6,12.3,18.9,65.1,193.0,42.9,5.89,7.68,76.7,4.11,6.96,59.0,1.25,2.14,58.3,0.18,0.09,0.09,0.71,1.25,0.36,0.00,1.25,Matches
156,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,eng Premier League,27-300,1994,11.0,17.6,29.8,59.1,671.5,458.6,1.82,1.82,100.0,6.91,7.18,96.2,8.91,20.8,42.8,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,Matches
157,Loïc Bade\114bbdee,fr FRA,DF,Rennes,fr Ligue 1,22-024,2000,10.9,59.8,65.0,92.1,1410.2,376.9,13.7,14.5,94.3,31.3,33.4,93.7,14.7,16.9,87.0,0.09,0.01,0.08,0.09,3.67,0.18,0.09,2.94,Matches
158,Milan Badelj\e8c930bb,hr CRO,MF,Genoa,it Serie A,33-069,1989,30.3,39.0,49.7,78.5,765.6,241.1,14.9,17.5,85.1,18.2,21.5,84.5,5.35,8.91,60.0,0.00,0.07,-0.07,0.76,4.06,0.63,0.07,4.98,Matches
159,Édgar Badía\e4346678,es ESP,GK,Elche,es La Liga,30-082,1992,22.0,23.4,34.8,67.2,825.0,556.9,3.55,3.59,98.7,8.14,8.23,98.9,11.6,22.9,50.9,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,Matches
160,Benoît Badiashile\06df8256,fr FRA,DF,Monaco,fr Ligue 1,21-040,2001,17.4,61.4,68.7,89.4,1312.1,402.3,17.1,18.2,94.0,33.5,35.7,93.7,10.5,14.0,74.9,0.00,0.02,-0.02,0.06,4.02,0.11,0.00,4.94,Matches
161,Youssouph Badji\6a2b9aee,sn SEN,FW,Brest,fr Ligue 1,20-136,2001,1.5,17.3,25.3,68.4,182.0,34.7,12.7,16.0,79.2,2.67,6.00,44.4,0.00,0.00,,0.00,0.13,-0.13,1.33,2.00,0.00,0.00,0.00,Matches
162,Miguel Baeza\a98f3cbf,es ESP,DF,Celta Vigo,es La Liga,22-039,2000,0.0,4,5,80.0,68,10,2,2,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
163,Issa Bah\956a78ea,lu LUX,FW,Venezia,it Serie A,19-304,2002,0.1,50.0,60.0,83.3,810.0,150.0,20.0,20.0,100.0,30.0,40.0,75.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,Matches
164,Stéphane Bahoken\5046b7d4,cm CMR,FW,Angers,fr Ligue 1,29-342,1992,9.8,12.8,16.5,77.2,175.9,24.6,7.76,9.39,82.6,3.06,3.67,83.3,0.92,1.33,69.2,0.10,0.02,0.08,0.41,0.51,0.31,0.31,0.20,Matches
165,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,eng Premier League,24-269,1997,8.5,17.5,26.4,66.5,308.4,68.2,8.35,9.76,85.5,6.12,8.71,70.3,2.35,5.29,44.4,0.24,0.07,0.16,0.94,0.47,1.29,0.35,2.35,Matches
166,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,eng Premier League,28-023,1994,2.4,26.7,33.3,80.0,568.8,191.3,10.0,10.8,92.3,10.8,12.5,86.7,5.83,9.17,63.6,0.00,0.00,0.00,0.00,0.83,0.00,0.00,1.25,Matches
167,Dénys Bain\5065d67d,fr FRA,DF,Brest,fr Ligue 1,28-307,1993,2.0,39.5,41.0,96.3,870.0,278.0,10.0,10.5,95.2,21.0,21.5,97.7,8.00,8.50,94.1,0.00,0.00,0.00,0.00,1.50,0.00,0.00,2.50,Matches
168,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,fr Ligue 1,20-133,2001,5.7,22.8,32.5,70.3,662.6,455.1,6.14,6.32,97.2,8.25,8.25,100.0,8.25,17.7,46.5,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,Matches
169,Nedim Bajrami\f42d6c13,al ALB,MF,Empoli,it Serie A,23-066,1999,21.3,27.7,39.3,70.4,477.6,155.4,14.6,16.8,87.1,9.15,12.1,75.9,3.33,8.03,41.5,0.19,0.24,-0.05,2.54,1.88,2.02,0.47,3.94,Matches
170,Cédric Bakambu\0af4dcf0,cd COD,FW,Marseille,fr Ligue 1,31-024,1991,3.8,13.4,17.1,78.5,221.1,43.4,8.42,10.5,80.0,2.89,4.21,68.8,1.84,1.84,100.0,0.00,0.16,-0.16,1.58,0.26,0.53,0.00,1.05,Matches
171,Abdoulaye Bakayoko\ee95585f,fr FRA,DF,Saint-Étienne,fr Ligue 1,19-141,2002,3.4,27.4,38.5,71.0,499.7,205.0,10.6,13.2,80.0,12.4,13.5,91.3,3.53,10.0,35.3,0.00,0.00,0.00,0.00,1.18,0.00,0.00,1.47,Matches
172,Tiemoué Bakayoko\59bf127b,fr FRA,MF,Milan,it Serie A,27-261,1994,5.4,50.9,57.6,88.4,910.2,172.6,23.9,27.4,87.2,19.3,20.9,92.0,6.48,7.41,87.5,0.00,0.09,-0.09,0.56,4.07,0.56,0.00,3.33,Matches
173,Mitchel Bakker\a8567629,nl NED,DF,Leverkusen,de Bundesliga,21-319,2000,19.5,50.1,60.0,83.4,827.1,306.9,25.1,27.5,91.2,19.8,23.0,86.4,4.05,7.13,56.8,0.15,0.05,0.10,0.51,3.13,1.03,0.51,3.59,Matches
174,Ridle Baku\442b56fa,de GER,DFFW,Wolfsburg,de Bundesliga,24-027,1998,25.2,37.4,48.5,77.1,702.9,238.2,15.8,18.7,84.5,16.4,20.3,80.7,4.80,7.94,60.5,0.20,0.19,0.00,1.43,2.46,1.31,0.48,4.33,Matches
175,Dilane Bakwa\2b5a35e5,fr FRA,FW,Bordeaux,fr Ligue 1,19-252,2002,0.1,40.0,60.0,66.7,790.0,290.0,20.0,20.0,100.0,10.0,20.0,50.0,10.0,10.0,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,Matches
176,Alejandro Balde\5ccc9672,es ESP,FWDF,Barcelona,es La Liga,18-199,2003,1.1,55.5,59.1,93.8,885.5,213.6,28.2,28.2,100.0,22.7,24.5,92.6,2.73,3.64,75.0,0.00,0.09,-0.09,0.91,1.82,1.82,0.00,4.55,Matches
