Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
375,Marcelo Brozović\33b8d077,hr CRO,MF,Inter,it Serie A,29-170,1992,29.6,70.6,77.4,91.3,1435.6,397.7,26.2,28.3,92.7,31.6,33.6,93.9,12.1,14.1,85.9,0.03,0.06,-0.02,1.01,6.55,0.95,0.24,6.28,Matches
376,Cédric Brunner\f0a37d36,ch SUI,DF,Arminia,de Bundesliga,28-077,1994,24.1,31.7,47.3,67.1,651.1,309.4,11.3,13.1,86.4,14.3,19.0,75.2,5.64,13.2,42.8,0.04,0.05,-0.01,0.62,2.49,1.00,0.62,3.15,Matches
377,Lewis Brunt\a2081c6b,eng ENG,MF,Leicester City,eng Premier League,21-180,2000,0.3,70.0,70.0,100.0,1470.0,66.7,26.7,26.7,100.0,33.3,33.3,100.0,10.0,10.0,100.0,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,Matches
378,Jacob Bruun Larsen\4e204552,dk DEN,FWMF,Hoffenheim,de Bundesliga,23-228,1998,8.2,24.8,33.7,73.6,411.7,96.6,12.3,15.2,80.8,9.88,13.0,75.7,1.95,3.17,61.5,0.00,0.18,-0.18,1.59,1.34,1.59,0.24,3.05,Matches
379,Bryan\7b5ab7f2,es ESP,MFFW,Valencia,es La Liga,21-083,2001,7.0,17.6,28.3,62.1,314.4,123.1,9.86,12.1,81.2,4.86,9.14,53.1,2.43,6.14,39.5,0.14,0.14,0.00,1.29,1.29,1.71,0.29,3.00,Matches
380,Bryan\7b5ab7f2,es ESP,FWMF,Tottenham,eng Premier League,21-083,2001,1.0,49.0,63.0,77.8,764.0,240.0,29.0,35.0,82.9,15.0,19.0,78.9,4.00,5.00,80.0,0.00,0.10,-0.10,2.00,1.00,3.00,2.00,2.00,Matches
381,Ante Budimir\8f3565b3,hr CRO,FW,Osasuna,es La Liga,30-287,1991,16.1,11.8,19.1,61.7,166.3,25.6,7.52,11.1,67.6,3.11,5.47,56.8,0.62,0.81,76.9,0.06,0.05,0.01,0.43,0.99,0.19,0.06,0.81,Matches
382,Emi Buendía\66b76d44,ar ARG,FWMF,Aston Villa,eng Premier League,25-131,1996,17.8,32.5,41.5,78.3,519.0,142.4,17.1,20.2,85.0,11.2,13.6,82.6,2.81,4.94,56.8,0.28,0.25,0.03,2.13,2.98,1.80,0.17,5.06,Matches
383,Osman Bukari\eab85789,gh GHA,FWMF,Nantes,fr Ligue 1,23-143,1998,10.1,21.2,28.3,74.8,294.9,64.1,13.0,15.3,84.5,6.34,8.51,74.4,0.79,2.28,34.8,0.30,0.17,0.13,1.68,0.69,0.50,0.20,1.49,Matches
384,Aleksander Buksa\59f2d958,pl POL,FW,Genoa,it Serie A,19-110,2003,0.7,8.57,21.4,40.0,102.9,47.1,7.14,11.4,62.5,1.43,4.29,33.3,0.00,2.86,0.0,0.00,0.00,0.00,0.00,1.43,1.43,0.00,4.29,Matches
385,Alessandro Buongiorno\4ae67f27,it ITA,DF,Torino,it Serie A,22-333,1999,12.6,32.7,40.6,80.5,606.0,182.9,14.4,16.2,88.7,13.6,16.3,83.0,4.21,6.90,60.9,0.08,0.06,0.02,0.40,2.70,0.08,0.08,1.98,Matches
386,Sascha Burchert\25bdea4b,de GER,GK,Greuther Fürth,de Bundesliga,32-187,1989,13.0,23.6,38.9,60.7,887.0,595.1,2.08,2.08,100.0,8.69,8.77,99.1,12.8,28.1,45.8,0.00,0.01,-0.01,0.08,0.77,0.00,0.00,0.08,Matches
387,Delano Burgzorg\05e2d5ea,nl NED,FW,Mainz 05,de Bundesliga,23-179,1998,0.3,13.3,13.3,100.0,103.3,13.3,13.3,13.3,100.0,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,3.33,0.00,3.33,Matches
388,Jonathan Burkardt\05f99a4a,de GER,FWMF,Mainz 05,de Bundesliga,21-298,2000,27.2,14.9,21.0,70.9,232.8,50.3,7.68,10.1,76.3,5.29,7.13,74.2,1.07,1.80,59.2,0.11,0.10,0.01,1.03,1.36,0.70,0.07,1.91,Matches
389,Dan Burn\b2d31e83,eng ENG,DF,Brighton,eng Premier League,29-361,1992,11.4,44.5,54.6,81.4,972.4,257.1,10.9,13.2,82.1,24.2,27.4,88.5,8.77,12.7,69.0,0.00,0.00,0.00,0.09,3.77,0.18,0.00,3.16,Matches
390,Dan Burn\b2d31e83,eng ENG,DF,Newcastle Utd,eng Premier League,29-361,1992,13.0,29.8,36.8,81.0,616.9,170.5,9.08,10.7,84.9,15.6,17.9,87.1,4.54,7.00,64.8,0.08,0.01,0.07,0.15,1.92,0.08,0.00,1.77,Matches
391,Maxime Busi\7b082ec2,be BEL,DF,Reims,fr Ligue 1,22-203,1999,12.5,38.2,48.8,78.2,686.0,281.3,17.8,20.1,88.4,15.5,19.0,81.9,4.24,7.84,54.1,0.00,0.09,-0.09,1.20,2.56,1.12,0.48,3.52,Matches
392,Gianluca Busio\4a0b7f07,us USA,MF,Venezia,it Serie A,19-342,2002,21.4,34.5,41.6,82.9,700.7,161.0,12.4,14.3,86.9,15.8,17.6,90.2,5.56,8.04,69.2,0.05,0.07,-0.03,0.79,2.99,0.51,0.05,2.48,Matches
393,Oriol Busquets\49712367,es ESP,MF,Clermont Foot,fr Ligue 1,23-105,1999,1.0,63.0,69.0,91.3,1330.0,251.0,24.0,26.0,92.3,23.0,26.0,88.5,16.0,17.0,94.1,0.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,Matches
394,Sergio Busquets\5ab0ea87,es ESP,MF,Barcelona,es La Liga,33-293,1988,32.5,68.1,77.5,87.9,1322.9,318.1,26.9,29.2,92.0,29.0,32.0,90.8,10.6,13.7,77.6,0.00,0.06,-0.06,0.95,7.14,1.02,0.03,6.28,Matches
395,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,eng Premier League,29-056,1993,5.5,24.4,34.2,71.3,578.4,281.1,7.27,7.27,100.0,12.0,12.4,97.1,5.09,14.5,35.0,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,Matches
396,Adrián Butzke\505dce2b,es ESP,FW,Granada,es La Liga,23-036,1999,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
397,Marcin Bułka\db87a2c4,pl POL,GK,Nice,fr Ligue 1,22-213,1999,1.0,21.0,23.0,91.3,444.0,269.0,8.00,9.00,88.9,10.0,10.0,100.0,3.00,4.00,75.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
398,Jamie Bynoe-Gittens\10745192,eng ENG,FW,Dortmund,de Bundesliga,17-270,2004,1.0,22.0,29.0,75.9,344.0,181.0,14.0,18.0,77.8,6.00,8.00,75.0,2.00,3.00,66.7,0.00,0.20,-0.20,3.00,3.00,4.00,1.00,5.00,Matches
399,Sam Byram\1bf811d4,eng ENG,DF,Norwich City,eng Premier League,28-231,1993,8.0,33.6,44.5,75.6,552.4,181.4,17.5,20.8,84.3,13.0,16.9,77.0,2.75,5.13,53.7,0.00,0.01,-0.01,0.38,1.00,0.50,0.00,2.88,Matches
400,Erick Cabaco\e7ab4179,uy URU,DF,Getafe,es La Liga,27-016,1995,4.5,25.1,35.8,70.2,610.4,274.7,7.11,8.44,84.2,10.9,12.7,86.0,7.11,13.8,51.6,0.22,0.09,0.13,0.44,3.11,0.00,0.00,2.67,Matches
401,Willy Caballero\a179d516,ar ARG,GK,Southampton,eng Premier League,40-219,1981,2.0,19.5,29.5,66.1,774.0,604.5,2.00,2.00,100.0,7.00,7.00,100.0,10.5,20.5,51.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
402,Rémy Cabella\148e136f,fr FRA,MFFW,Montpellier,fr Ligue 1,32-058,1990,3.5,50.9,60.9,83.6,792.6,280.3,30.6,34.6,88.4,16.6,19.1,86.6,2.86,4.86,58.8,0.00,0.29,-0.29,2.57,7.14,2.29,0.00,9.71,Matches
403,Jimmy Cabot\46359159,fr FRA,DF,Angers,fr Ligue 1,28-017,1994,22.3,48.8,61.5,79.4,935.2,265.6,20.3,22.9,88.8,22.4,26.5,84.5,5.70,10.2,55.9,0.22,0.11,0.12,0.90,2.47,1.17,0.40,3.54,Matches
404,Jovane Cabral\e34e086c,cv CPV,FW,Lazio,it Serie A,23-325,1998,0.7,20.0,21.4,93.3,371.4,67.1,11.4,11.4,100.0,5.71,7.14,80.0,2.86,2.86,100.0,0.00,0.00,0.00,0.00,1.43,0.00,0.00,1.43,Matches
405,Leandro Cabrera\69cbc8b6,uy URU,DF,Espanyol,es La Liga,30-322,1991,33.0,37.8,49.2,76.9,872.1,391.2,10.1,11.6,86.9,18.3,20.8,88.3,8.76,15.6,56.0,0.00,0.01,-0.01,0.21,2.97,0.06,0.00,2.39,Matches
406,Liberato Cacace\dd86e8e4,nz NZL,DF,Empoli,it Serie A,21-220,2000,4.2,39.8,47.9,83.1,716.4,278.3,18.3,20.0,91.7,16.4,19.0,86.3,4.29,6.67,64.3,0.00,0.00,0.00,0.24,3.10,0.00,0.00,3.57,Matches
407,Martín Cáceres\e94d79e3,uy URU,DF,Cagliari,it Serie A,35-028,1987,9.2,34.6,49.8,69.4,753.7,271.6,11.4,13.7,83.3,15.3,20.0,76.6,7.07,13.7,51.6,0.11,0.04,0.07,0.54,3.37,0.43,0.11,2.83,Matches
408,Martín Cáceres\e94d79e3,uy URU,DF,Levante,es La Liga,35-028,1987,6.9,40.9,49.7,82.2,870.3,284.9,14.8,15.4,96.2,19.9,23.2,85.6,6.09,10.3,59.2,0.00,0.01,-0.01,0.43,3.48,0.87,0.29,3.04,Matches
409,Anthony Caci\0118c54c,fr FRA,DF,Strasbourg,fr Ligue 1,24-308,1997,24.4,48.6,61.6,78.9,999.5,386.0,17.9,20.3,87.9,21.3,25.9,82.1,8.77,13.5,65.0,0.12,0.15,-0.02,1.02,4.14,1.35,0.57,6.48,Matches
410,Mathieu Cafaro\2a657da0,fr FRA,FWMF,Reims,fr Ligue 1,25-041,1997,2.1,19.5,37.6,51.9,370.0,142.4,7.62,12.4,61.5,9.05,14.8,61.3,2.86,10.5,27.3,0.00,0.14,-0.14,1.43,0.00,2.38,0.95,2.38,Matches
411,Yannick Cahuzac\677ee102,fr FRA,MF,Lens,fr Ligue 1,37-107,1985,6.8,31.9,36.6,87.1,537.2,111.6,14.7,16.3,90.1,13.5,14.9,91.1,2.79,3.68,76.0,0.00,0.01,-0.01,0.15,2.50,0.29,0.00,2.50,Matches
412,Felipe Caicedo\93b891d1,ec ECU,FW,Genoa,it Serie A,33-242,1988,3.2,16.9,24.7,68.4,209.7,29.7,11.6,15.0,77.1,3.44,5.63,61.1,0.31,0.94,33.3,0.63,0.28,0.34,1.88,0.63,0.94,0.00,1.25,Matches
413,Felipe Caicedo\93b891d1,ec ECU,FW,Inter,it Serie A,33-242,1988,0.1,20.0,50.0,40.0,220.0,60.0,0.00,30.0,0.0,10.0,10.0,100.0,0.00,0.00,,0.00,2.00,-2.00,10.0,0.00,10.0,0.00,10.0,Matches
414,Moisés Caicedo\16264a81,ec ECU,MF,Brighton,eng Premier League,20-184,2001,4.7,28.3,34.7,81.6,445.1,102.3,14.7,17.4,84.1,10.4,13.2,79.0,2.13,2.55,83.3,0.21,0.06,0.15,0.85,1.70,0.21,0.00,1.91,Matches
415,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Metz,fr Ligue 1,27-358,1994,14.1,16.2,27.0,59.8,618.9,444.8,1.56,1.56,100.0,6.60,6.67,98.9,7.94,18.7,42.4,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,Matches
416,Jens Cajuste\928a4a61,se SWE,MF,Reims,fr Ligue 1,22-268,1999,3.9,19.0,25.1,75.5,326.2,70.3,8.72,11.3,77.3,7.69,10.3,75.0,1.79,2.56,70.0,0.00,0.03,-0.03,0.51,0.77,0.51,0.00,1.54,Matches
417,Cala\fe05804b,es ESP,DF,Cádiz,es La Liga,32-160,1989,10.3,20.8,28.3,73.3,512.1,146.2,4.47,5.53,80.7,10.4,12.8,81.1,5.83,9.81,59.4,0.00,0.00,0.00,0.10,0.97,0.00,0.00,0.97,Matches
418,Davide Calabria\2146785a,it ITA,DF,Milan,it Serie A,25-150,1996,20.7,42.6,55.9,76.1,816.8,348.4,17.5,19.6,89.2,18.8,23.2,81.3,5.70,11.0,52.0,0.10,0.07,0.03,0.87,4.25,1.16,0.63,4.93,Matches
419,Riccardo Calafiori\aded8e6f,it ITA,DF,Roma,it Serie A,19-351,2002,1.9,35.3,43.7,80.7,612.6,177.4,17.4,19.5,89.2,13.2,14.7,89.3,4.21,7.89,53.3,0.53,0.42,0.11,0.53,0.00,1.05,0.53,1.58,Matches
420,Riccardo Calafiori\aded8e6f,it ITA,DF,Genoa,it Serie A,19-351,2002,0.9,12.2,22.2,55.0,241.1,126.7,2.22,4.44,50.0,10.0,15.6,64.3,0.00,1.11,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,Matches
421,Mattia Caldara\ac7e640b,it ITA,DF,Venezia,it Serie A,28-000,1994,26.0,31.9,38.9,82.1,721.7,251.9,9.15,10.1,90.8,15.6,17.5,88.8,7.08,10.7,65.9,0.00,0.00,0.00,0.04,1.88,0.08,0.00,1.81,Matches
422,Calderón\da4e70e5,es ESP,DF,Betis,es La Liga,22-118,2000,0.7,61.4,67.1,91.5,1145.7,307.1,25.7,27.1,94.7,24.3,28.6,85.0,8.57,8.57,100.0,0.00,0.14,-0.14,1.43,1.43,4.29,1.43,4.29,Matches
423,Fernando Calero\41b3069f,es ESP,DF,Espanyol,es La Liga,26-233,1995,10.3,42.6,49.9,85.4,874.7,332.0,14.7,15.5,94.4,20.2,21.7,92.9,6.89,11.3,61.2,0.00,0.01,-0.01,0.19,2.62,0.00,0.00,2.72,Matches
424,Duje Ćaleta-Car\94f8d10c,hr CRO,DF,Marseille,fr Ligue 1,25-230,1996,20.6,72.1,78.0,92.5,1610.2,437.4,19.0,19.5,97.5,39.4,40.8,96.7,13.2,16.7,79.1,0.00,0.01,-0.01,0.10,4.56,0.29,0.00,3.40,Matches
425,Hakan Çalhanoğlu\cd0fa27b,tr TUR,MF,Inter,it Serie A,28-086,1994,24.8,53.5,66.0,81.2,1083.4,304.6,22.0,24.3,90.4,21.0,24.0,87.4,9.64,15.4,62.4,0.40,0.27,0.14,2.94,5.28,1.73,0.40,5.48,Matches
426,Daniel Caligiuri\d1273f09,it ITA,DFMF,Augsburg,de Bundesliga,34-110,1988,20.4,28.5,41.5,68.7,534.5,246.6,13.5,16.3,82.6,10.2,14.0,73.3,4.26,9.22,46.3,0.10,0.12,-0.02,1.13,2.89,1.13,0.20,3.63,Matches
427,José Callejón\78841da9,es ESP,FW,Fiorentina,it Serie A,35-083,1987,14.1,33.8,43.0,78.4,607.5,157.0,16.3,18.9,86.1,13.2,16.0,82.7,3.90,6.95,56.1,0.14,0.21,-0.07,1.56,1.84,1.49,0.50,3.12,Matches
428,Lucas Calodat\7a72e960,fr FRA,DF,Saint-Étienne,fr Ligue 1,20-088,2002,0.0,2,2,100.0,30,7,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
429,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,eng Premier League,25-050,1997,11.1,12.6,19.5,64.5,151.5,28.4,8.20,11.7,70.0,2.61,4.68,55.8,0.54,0.81,66.7,0.09,0.07,0.02,0.81,0.72,0.36,0.00,0.72,Matches
430,Mahdi Camara\8577e60a,fr FRA,MFDF,Saint-Étienne,fr Ligue 1,23-309,1998,31.1,37.2,44.3,84.1,588.0,162.8,19.5,21.5,90.3,13.6,15.8,86.5,2.64,4.34,60.7,0.00,0.05,-0.05,0.87,2.86,0.29,0.13,2.25,Matches
431,Mamadou Camara\316e70c7,fr FRA,FW,Troyes,fr Ligue 1,21-087,2001,0.4,25.0,30.0,83.3,435.0,5.00,7.50,10.0,75.0,12.5,15.0,83.3,2.50,2.50,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
432,Víctor Camarasa\b2d03887,es ESP,MFFW,Betis,es La Liga,27-342,1994,1.2,39.2,45.8,85.5,740.8,159.2,13.3,16.7,80.0,20.8,21.7,96.2,5.00,5.83,85.7,0.00,0.00,0.00,0.00,2.50,0.83,0.00,1.67,Matches
433,Eduardo Camavinga\7b9c2d84,fr FRA,MF,Rennes,fr Ligue 1,19-176,2002,1.6,42.5,46.9,90.7,919.4,148.8,12.5,16.3,76.9,20.6,21.3,97.1,8.75,8.75,100.0,0.00,0.00,0.00,0.63,3.13,0.63,0.00,1.88,Matches
434,Eduardo Camavinga\7b9c2d84,fr FRA,MF,Real Madrid,es La Liga,19-176,2002,10.7,57.7,63.9,90.2,1119.5,241.6,23.2,25.1,92.2,25.5,27.5,92.9,8.50,9.72,87.5,0.09,0.10,-0.01,0.84,4.39,0.56,0.19,4.11,Matches
435,Andrea Cambiaso\247ed022,it ITA,DF,Genoa,it Serie A,22-074,2000,19.5,35.7,45.7,78.0,597.4,198.3,17.5,19.7,89.1,14.9,18.6,80.4,2.67,5.03,53.1,0.21,0.09,0.11,0.92,1.69,0.92,0.41,2.62,Matches
436,José Campaña\61220da2,es ESP,MF,Levante,es La Liga,28-339,1993,13.5,44.1,55.0,80.1,812.9,292.3,19.4,21.1,91.9,18.5,21.9,84.7,5.41,10.6,51.0,0.00,0.07,-0.07,1.56,4.81,0.96,0.22,6.22,Matches
437,Chem Campbell\6f711f67,wls WAL,MF,Wolves,eng Premier League,19-126,2002,0.1,90.0,100.0,90.0,1100.0,230.0,70.0,80.0,87.5,20.0,20.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
438,Emre Can\a65ce836,de GER,DFMF,Dortmund,de Bundesliga,28-113,1994,17.3,63.8,74.5,85.6,1306.5,379.7,20.5,22.3,91.7,32.6,35.5,91.9,9.88,14.6,67.9,0.06,0.04,0.02,0.29,4.57,0.35,0.00,4.80,Matches
439,Sergio Canales\a6de370d,es ESP,FWMF,Betis,es La Liga,31-078,1991,27.1,51.7,62.1,83.2,958.5,233.3,23.4,25.8,90.7,18.6,21.3,87.3,7.64,11.2,68.1,0.22,0.17,0.05,2.03,4.98,2.18,0.18,6.05,Matches
440,Matteo Cancellieri\b6a1cdf9,it ITA,MFDF,Hellas Verona,it Serie A,20-082,2002,2.3,19.6,27.8,70.3,281.7,90.0,12.6,15.2,82.9,4.78,8.26,57.9,2.17,3.04,71.4,0.00,0.13,-0.13,1.74,2.17,1.30,0.00,1.74,Matches
441,João Cancelo\bd6351cd,pt POR,DF,Manchester City,eng Premier League,27-343,1994,31.9,76.6,91.4,83.8,1378.1,409.3,36.4,39.4,92.4,31.1,35.9,86.7,8.50,13.8,61.7,0.19,0.13,0.06,1.10,7.62,2.70,0.38,7.65,Matches
442,Fali Candé\3cc4bb19,gw GNB,DF,Metz,fr Ligue 1,24-101,1998,8.8,35.3,48.5,72.8,677.3,263.4,15.3,17.4,88.2,15.1,19.0,79.6,4.66,10.3,45.1,0.11,0.15,-0.03,1.02,1.25,0.34,0.34,2.16,Matches
443,Antonio Candreva\356c9002,it ITA,MFFW,Sampdoria,it Serie A,35-066,1987,32.1,37.3,56.4,66.1,756.2,276.5,16.4,19.7,83.5,12.2,17.4,70.1,7.69,16.4,47.0,0.25,0.18,0.07,2.24,3.71,2.12,0.75,5.17,Matches
444,Sergi Canós\1137759d,es ESP,DF,Brentford,eng Premier League,25-092,1997,23.0,19.3,32.1,60.3,342.3,145.8,9.74,12.3,78.9,6.78,10.2,66.7,2.39,7.04,34.0,0.09,0.08,0.00,0.74,1.87,1.13,0.43,3.30,Matches
445,Álex Cantero\4aa253fd,es ESP,FWMF,Levante,es La Liga,21-331,2000,4.7,13.4,18.9,70.8,208.9,71.7,7.23,9.36,77.3,4.89,6.38,76.7,0.64,1.49,42.9,0.21,0.09,0.13,0.43,0.43,1.06,0.64,2.34,Matches
446,Todd Cantwell\f63d8a4b,eng ENG,FWMF,Norwich City,eng Premier League,24-067,1998,4.9,25.9,31.4,82.5,424.1,93.3,12.4,14.3,87.1,10.2,12.2,83.3,2.24,3.27,68.8,0.00,0.04,-0.04,0.41,1.84,0.41,0.00,2.04,Matches
447,Pierrick Capelle\79b2399c,fr FRA,MFDF,Angers,fr Ligue 1,35-020,1987,12.6,35.1,42.3,82.9,637.9,181.1,14.6,16.8,86.8,16.0,18.3,87.0,3.81,5.32,71.6,0.08,0.06,0.02,0.95,2.30,0.24,0.16,2.54,Matches
448,Leonardo Capezzi\07ea0ef2,it ITA,MF,Salernitana,it Serie A,27-038,1995,1.9,21.6,25.3,85.4,375.8,110.5,10.0,12.1,82.6,8.95,9.47,94.4,2.11,2.63,80.0,0.00,0.00,0.00,0.00,1.05,0.53,0.00,1.58,Matches
449,Étienne Capoue\5acc4a10,fr FRA,MF,Villarreal,es La Liga,33-298,1988,21.6,49.0,55.6,88.3,904.8,213.5,20.9,22.4,93.6,22.6,25.0,90.4,4.95,6.81,72.8,0.05,0.04,0.00,0.23,5.32,0.37,0.00,4.31,Matches
450,Gianluca Caprari\54e53b7e,it ITA,FWMF,Hellas Verona,it Serie A,28-279,1993,27.5,31.8,42.3,75.2,490.6,135.2,17.6,20.1,87.3,10.2,13.3,77.0,2.58,5.67,45.5,0.25,0.23,0.02,2.22,1.93,2.18,0.22,4.00,Matches
451,Francesco Caputo\5bd72174,it ITA,FW,Sampdoria,it Serie A,34-272,1987,29.0,14.3,19.2,74.5,203.0,25.3,8.45,10.8,78.3,4.48,5.76,77.8,0.76,1.28,59.5,0.10,0.11,-0.01,1.24,0.59,0.48,0.03,0.83,Matches
452,Francesco Caputo\5bd72174,it ITA,FW,Sassuolo,it Serie A,34-272,1987,1.7,16.5,20.6,80.0,215.9,20.6,9.41,11.8,80.0,5.88,6.47,90.9,0.00,0.00,,0.59,0.24,0.35,1.76,0.59,0.59,0.00,1.18,Matches
453,Maxence Caqueret\f81ef10d,fr FRA,MF,Lyon,fr Ligue 1,22-079,2000,24.6,50.9,59.1,86.2,867.2,236.8,25.2,28.4,88.6,19.1,21.3,90.1,5.12,6.75,75.9,0.00,0.07,-0.07,1.02,5.53,0.65,0.04,5.28,Matches
454,Andrea Carboni\f7e2af2c,it ITA,DF,Cagliari,it Serie A,21-090,2001,23.5,32.3,43.1,75.1,643.4,228.5,11.8,13.1,90.3,15.2,18.6,81.9,4.81,9.83,48.9,0.00,0.00,-0.00,0.13,2.85,0.47,0.17,3.02,Matches
455,Isaac Carcelen\c4b888df,es ESP,DFMF,Cádiz,es La Liga,29-012,1993,15.7,31.1,41.7,74.8,593.4,222.4,12.4,14.5,85.5,14.6,17.5,83.3,3.82,8.03,47.6,0.00,0.02,-0.02,0.57,2.42,0.57,0.32,2.74,Matches
456,Cárdenas\e1846dde,es ESP,GK,Levante,es La Liga,25-038,1997,21.0,20.3,29.6,68.6,569.2,344.3,4.57,4.62,99.0,7.81,7.90,98.8,7.14,16.3,43.9,0.00,0.00,0.00,0.05,0.57,0.00,0.00,0.00,Matches
457,Irvin Cardona\5e080f73,fr FRA,FWMF,Brest,fr Ligue 1,24-270,1997,12.9,14.3,21.2,67.4,208.6,49.3,8.22,10.9,75.7,4.73,6.28,75.3,0.78,2.40,32.3,0.16,0.16,-0.01,1.16,0.54,0.31,0.08,1.09,Matches
458,Igor Carioca\e3e32fbb,br BRA,DF,Lorient,fr Ligue 1,25-257,1996,16.0,33.3,43.8,76.1,592.8,210.1,15.0,17.8,84.5,14.6,18.5,78.7,3.19,5.31,60.0,0.00,0.07,-0.07,0.69,2.00,0.69,0.50,2.81,Matches
459,Carlo\8249ff06,es ESP,MF,Villarreal,es La Liga,21-082,2001,0.1,40.0,40.0,100.0,860.0,240.0,0.00,0.00,,40.0,40.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,10.0,10.0,0.00,20.0,Matches
460,Diego Carlos\b4a014b1,br BRA,DF,Sevilla,es La Liga,29-051,1993,29.4,58.1,65.7,88.5,1383.4,391.8,13.4,13.9,96.3,31.4,32.9,95.5,12.8,18.0,71.3,0.00,0.01,-0.01,0.10,2.96,0.27,0.00,2.59,Matches
461,Carmona\2dce876a,es ESP,DF,Sevilla,es La Liga,20-096,2002,0.3,20.0,40.0,50.0,526.7,163.3,3.33,6.67,50.0,6.67,16.7,40.0,10.0,13.3,75.0,0.00,0.00,0.00,0.00,6.67,0.00,0.00,3.33,Matches
462,Yannick Carrasco\de39485a,be BEL,DFMF,Atlético Madrid,es La Liga,28-243,1993,24.8,35.3,45.7,77.2,549.9,175.3,20.0,23.0,87.0,11.5,14.6,79.2,2.46,5.36,45.9,0.20,0.19,0.01,1.85,1.77,1.73,0.32,3.35,Matches
463,Guido Carrillo\8f898ba8,ar ARG,FW,Elche,es La Liga,30-345,1991,10.6,16.3,24.2,67.6,214.5,40.6,9.34,12.7,73.3,4.91,7.08,69.3,0.47,1.70,27.8,0.00,0.01,-0.01,0.28,0.94,0.38,0.09,1.04,Matches
464,Dani Carvajal\4958bfb2,es ESP,DF,Real Madrid,es La Liga,30-114,1992,15.9,61.3,71.2,86.0,1094.3,297.3,27.7,30.3,91.7,24.6,28.1,87.5,7.74,10.3,75.0,0.19,0.14,0.05,1.45,2.70,1.57,0.44,4.09,Matches
465,William Carvalho\dee86451,pt POR,MF,Betis,es La Liga,30-028,1992,17.7,57.6,65.4,88.2,1055.6,266.4,25.9,28.9,89.8,23.1,25.1,91.9,7.74,9.72,79.7,0.17,0.08,0.08,1.13,7.34,1.19,0.00,6.72,Matches
466,Nicolò Casale\3f5f38fb,it ITA,DF,Hellas Verona,it Serie A,24-080,1998,26.3,34.6,41.8,82.7,664.5,225.4,12.5,14.4,87.0,16.2,18.6,87.3,4.94,7.15,69.1,0.04,0.05,-0.01,0.42,2.28,0.42,0.19,2.66,Matches
467,Casemiro\4d224fe8,br BRA,MF,Real Madrid,es La Liga,30-071,1992,26.4,59.8,69.3,86.3,1227.6,335.9,22.9,25.4,90.3,24.1,27.3,88.0,11.4,14.0,81.4,0.11,0.09,0.02,0.91,6.59,0.72,0.08,5.34,Matches
468,Matty Cash\2389cdc2,pl POL,DF,Aston Villa,eng Premier League,24-271,1997,32.5,29.3,41.9,70.0,554.2,218.1,12.4,14.3,86.6,12.5,15.8,79.0,3.85,10.2,37.9,0.09,0.06,0.04,0.65,1.88,0.77,0.37,2.40,Matches
469,Kiko Casilla\58bc7d18,es ESP,GK,Elche,es La Liga,35-215,1986,12.0,21.8,33.9,64.1,704.2,462.2,3.58,3.58,100.0,8.42,8.58,98.1,9.42,21.3,44.1,0.00,0.01,-0.01,0.17,0.17,0.00,0.00,0.00,Matches
470,Moreto Cassamã\f54d2149,gw GNB,MF,Reims,fr Ligue 1,24-078,1998,8.9,40.0,48.8,82.0,820.7,196.9,15.3,17.4,87.7,16.9,18.5,90.9,7.30,10.9,67.0,0.00,0.06,-0.06,1.01,4.27,0.79,0.00,4.38,Matches
471,Francesco Cassata\96960855,it ITA,MF,Genoa,it Serie A,24-293,1997,0.1,10.0,10.0,100.0,500.0,40.0,0.00,0.00,,0.00,0.00,,10.0,10.0,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
472,Timothy Castagne\197640fd,be BEL,DF,Leicester City,eng Premier League,26-151,1995,18.9,44.6,54.1,82.4,763.3,274.6,21.9,24.8,88.2,18.5,21.9,84.5,3.81,5.87,64.9,0.00,0.03,-0.03,0.42,2.86,0.42,0.11,2.86,Matches
