Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
852,Nabil Fekir\bece776f,fr FRA,MF,Betis,es La Liga,28-291,1993,27.6,5.33,5.32,2.61,1.52,0.33,0.14,0.54,0.18,0.65,0.65,0.40,0.14,0.07,0.00,0.04,0.00,Matches
853,Felipe\51a3c4c8,br BRA,DF,Atlético Madrid,es La Liga,32-354,1989,15.2,0.46,0.46,0.39,0.00,0.00,0.07,0.00,0.00,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,Matches
854,Luiz Felipe\15d0c248,it ITA,DF,Lazio,it Serie A,25-044,1997,27.2,0.44,0.44,0.37,0.00,0.00,0.00,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.04,0.00,Matches
855,Ohis Felix Uduokhai\677da306,de GER,DF,Augsburg,de Bundesliga,24-238,1997,7.7,0.26,0.26,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
856,João Félix\8aafd64f,pt POR,FWMF,Atlético Madrid,es La Liga,22-176,1999,14.0,3.14,3.14,2.14,0.07,0.36,0.14,0.36,0.07,0.71,0.71,0.57,0.00,0.07,0.00,0.00,0.07,Matches
857,Kiko Femenía\e5d01ecf,es ESP,DF,Watford,eng Premier League,31-092,1991,21.8,1.61,1.61,1.19,0.41,0.00,0.00,0.00,0.00,0.28,0.28,0.23,0.05,0.00,0.00,0.00,0.00,Matches
858,Evan Ferguson\4596da74,ie IRL,MF,Brighton,eng Premier League,17-198,2004,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
859,Nathan Ferguson\2f8d27bc,eng ENG,DF,Crystal Palace,eng Premier League,21-211,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
860,Bruno Fernandes\507c7bdf,pt POR,MF,Manchester Utd,eng Premier League,27-239,1994,32.6,4.17,4.18,3.25,0.52,0.09,0.15,0.06,0.09,0.31,0.31,0.25,0.00,0.03,0.03,0.00,0.00,Matches
861,Edimilson Fernandes\3bb625ac,ch SUI,DFFW,Arminia,de Bundesliga,26-020,1996,3.1,3.23,3.18,2.90,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
862,Aitor Fernández\a01c3d54,es ESP,GK,Levante,es La Liga,31-002,1991,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
863,Álex Fernández\aa677a35,es ESP,MF,Cádiz,es La Liga,29-202,1992,19.0,1.53,1.53,1.00,0.32,0.00,0.11,0.00,0.11,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Matches
864,Álvaro Fernández\f127d782,es ESP,GK,Brentford,eng Premier League,24-022,1998,12.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
865,Federico Fernández\f25b010f,ar ARG,DF,Newcastle Utd,eng Premier League,33-073,1989,5.8,0.52,0.52,0.17,0.00,0.00,0.34,0.00,0.00,0.17,0.17,0.00,0.00,0.00,0.17,0.00,0.00,Matches
866,Fernandinho\101da2b5,br BRA,MF,Manchester City,eng Premier League,37-001,1985,7.9,3.16,3.18,2.41,0.00,0.00,0.51,0.25,0.00,0.51,0.51,0.51,0.00,0.00,0.00,0.00,0.00,Matches
867,Fernando\41f32541,br BRA,MFDF,Sevilla,es La Liga,34-284,1987,20.6,1.12,1.12,1.02,0.05,0.05,0.00,0.00,0.00,0.15,0.15,0.10,0.05,0.00,0.00,0.00,0.00,Matches
868,Alex Ferrari\d0dbca9f,it ITA,DF,Sampdoria,it Serie A,27-308,1994,15.3,0.39,0.39,0.33,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
869,Salvador Ferrer\eb76987d,es ESP,DFMF,Spezia,it Serie A,24-104,1998,14.9,1.68,1.67,1.34,0.27,0.07,0.00,0.00,0.00,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,Matches
870,Jordan Ferri\375622c5,fr FRA,MF,Montpellier,fr Ligue 1,30-054,1992,30.3,2.08,2.08,1.82,0.00,0.03,0.07,0.17,0.00,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,Matches
871,Riccardo Fiamozzi\9f9b9269,it ITA,DF,Empoli,it Serie A,28-352,1993,6.0,1.17,1.16,0.67,0.33,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
872,Fidel\eb82b6f1,es ESP,MF,Elche,es La Liga,32-190,1989,23.8,2.90,2.90,2.14,0.55,0.08,0.00,0.04,0.08,0.38,0.38,0.34,0.04,0.00,0.00,0.00,0.00,Matches
873,Karol Fila\50ac8941,pl POL,DF,Strasbourg,fr Ligue 1,23-326,1998,5.3,1.13,1.13,1.13,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,Matches
874,Alfreð Finnbogason\f9e7c4ac,is ISL,FWMF,Augsburg,de Bundesliga,33-093,1989,3.0,2.00,2.00,1.67,0.00,0.00,0.33,0.00,0.00,0.67,0.67,0.33,0.00,0.00,0.33,0.00,0.00,Matches
875,Luca Fiordilino\9bb1ad91,it ITA,MF,Venezia,it Serie A,25-284,1996,5.9,1.53,1.53,1.02,0.17,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
876,Vincenzo Fiorillo\a2565f79,it ITA,GK,Salernitana,it Serie A,32-112,1990,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
877,Roberto Firmino\4c370d81,br BRA,FW,Liverpool,eng Premier League,30-215,1991,9.9,3.13,3.15,2.63,0.00,0.10,0.30,0.00,0.10,0.51,0.51,0.30,0.00,0.00,0.10,0.00,0.10,Matches
878,Junior Firpo\24f59bb2,es ESP,DF,Leeds United,eng Premier League,25-256,1996,15.5,2.32,2.32,1.74,0.26,0.06,0.06,0.06,0.13,0.19,0.19,0.06,0.06,0.00,0.00,0.00,0.06,Matches
879,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,de Bundesliga,28-326,1993,30.0,0.20,0.20,0.13,0.07,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,Matches
880,Ashley Fletcher\eeb6551f,eng ENG,FW,Watford,eng Premier League,26-215,1995,0.3,6.67,6.00,3.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
881,Alexis Flips\caef7840,fr FRA,FWMF,Reims,fr Ligue 1,22-107,2000,11.5,3.48,3.49,1.74,1.13,0.35,0.09,0.00,0.17,0.43,0.44,0.17,0.26,0.00,0.00,0.00,0.00,Matches
882,Alessandro Florenzi\e288d4b3,it ITA,DFFW,Milan,it Serie A,31-055,1991,12.5,2.56,2.56,2.00,0.40,0.00,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
883,Phil Foden\ed1e53f3,eng ENG,FW,Manchester City,eng Premier League,21-342,2000,21.4,3.41,3.40,2.34,0.61,0.09,0.28,0.09,0.00,0.56,0.56,0.33,0.14,0.00,0.09,0.00,0.00,Matches
884,Mamadou Fofana\4c4ffacc,ml MLI,DF,Metz,fr Ligue 1,24-104,1998,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
885,Seko Fofana\5313ed43,ci CIV,MF,Lens,fr Ligue 1,26-363,1995,34.3,2.83,2.83,2.27,0.00,0.23,0.12,0.20,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,Matches
886,Wesley Fofana\132a82f1,fr FRA,DF,Leicester City,eng Premier League,21-139,2000,3.0,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
887,Youssouf Fofana\822d51d7,fr FRA,MF,Monaco,fr Ligue 1,23-115,1999,21.3,1.83,1.83,1.60,0.00,0.05,0.00,0.09,0.09,0.42,0.42,0.38,0.00,0.05,0.00,0.00,0.00,Matches
888,Thomas Foket\90eb507d,be BEL,DFMF,Reims,fr Ligue 1,27-222,1994,21.8,1.33,1.33,1.15,0.05,0.00,0.00,0.09,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.05,0.00,Matches
889,Thomas Fontaine\9f90c06b,mg MAD,DF,Lorient,fr Ligue 1,30-362,1991,1.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
890,José Fontán\1827a42d,es ESP,DF,Celta Vigo,es La Liga,22-083,2000,3.0,0.67,0.67,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
891,José Fonte\90f87966,pt POR,DF,Lille,fr Ligue 1,38-134,1983,35.0,0.69,0.69,0.63,0.00,0.00,0.06,0.00,0.00,0.11,0.11,0.09,0.00,0.00,0.03,0.00,0.00,Matches
892,Fernando Forestieri\d60c26fc,it ITA,FWMF,Udinese,it Serie A,32-110,1990,0.6,6.67,6.21,1.67,1.67,0.00,0.00,3.33,0.00,1.67,1.55,0.00,1.67,0.00,0.00,0.00,0.00,Matches
893,Pablo Fornals\82927de4,es ESP,FWMF,West Ham,eng Premier League,26-072,1996,28.2,2.84,2.84,2.20,0.25,0.14,0.14,0.07,0.04,0.25,0.25,0.18,0.04,0.00,0.04,0.00,0.00,Matches
894,Emil Forsberg\9a2e0ccc,se SWE,MFFW,RB Leipzig,de Bundesliga,30-194,1991,17.4,2.93,2.93,1.90,0.46,0.34,0.11,0.06,0.06,0.29,0.29,0.11,0.06,0.06,0.00,0.06,0.00,Matches
895,Adam Forshaw\9f1938ab,eng ENG,MF,Leeds United,eng Premier League,30-209,1991,17.0,1.59,1.59,1.53,0.00,0.00,0.06,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,Matches
896,Marcus Forss\82c215a0,fi FIN,FWMF,Brentford,eng Premier League,22-321,1999,2.3,0.87,0.86,0.43,0.00,0.00,0.43,0.00,0.00,0.43,0.43,0.00,0.00,0.00,0.43,0.00,0.00,Matches
897,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,eng Premier League,34-049,1988,18.0,0.11,0.11,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
898,Philipp Förster\76fa965f,de GER,FWMF,Stuttgart,de Bundesliga,27-090,1995,10.6,2.36,2.37,1.60,0.19,0.19,0.38,0.00,0.00,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,Matches
899,Francesco Forte\69e11a01,it ITA,FW,Venezia,it Serie A,29-004,1993,4.7,1.70,1.71,1.06,0.00,0.00,0.43,0.00,0.21,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,Matches
900,Steven Fortes\574aa9ec,cv CPV,DF,Lens,fr Ligue 1,30-018,1992,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
901,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,eng Premier League,39-032,1983,23.0,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,Matches
902,Tariqe Fosu\3dcef539,gh GHA,DF,Brentford,eng Premier League,26-181,1995,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
903,Timothy Fosu-Mensah\a9142dc3,nl NED,DF,Leverkusen,de Bundesliga,24-123,1998,1.6,1.88,1.86,1.25,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
904,Dimitri Foulquier\45e17712,fr FRA,DF,Granada,es La Liga,29-043,1993,2.0,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
905,Dimitri Foulquier\45e17712,fr FRA,DF,Valencia,es La Liga,29-043,1993,22.0,0.95,0.95,0.59,0.09,0.05,0.05,0.18,0.00,0.18,0.18,0.05,0.05,0.00,0.00,0.09,0.00,Matches
906,Juan Foyth\6c7762c3,ar ARG,DF,Villarreal,es La Liga,24-113,1998,18.7,1.39,1.39,1.34,0.00,0.05,0.00,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Matches
907,Gianluca Frabotta\d80b1835,it ITA,FW,Hellas Verona,it Serie A,22-315,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
908,Raphael Framberger\626fab5f,de GER,DFMF,Augsburg,de Bundesliga,26-241,1995,8.9,2.13,2.13,1.69,0.34,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
909,Przemysław Frankowski\00a8d210,pl POL,DF,Lens,fr Ligue 1,27-023,1995,24.8,2.06,2.05,1.69,0.16,0.08,0.04,0.08,0.00,0.32,0.32,0.24,0.00,0.04,0.00,0.04,0.00,Matches
910,Enric Franquesa\40883e3a,es ESP,DF,Levante,es La Liga,25-068,1997,6.9,1.01,1.01,1.01,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,Matches
911,Fransérgio\deba6b05,br BRA,MF,Bordeaux,fr Ligue 1,31-199,1990,12.0,0.92,0.91,0.67,0.00,0.00,0.17,0.00,0.08,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,Matches
912,Ryan Fraser\d56543a0,sct SCO,FWMF,Newcastle Utd,eng Premier League,28-070,1994,16.1,2.80,2.79,1.68,0.50,0.00,0.25,0.31,0.06,0.37,0.37,0.19,0.06,0.00,0.06,0.06,0.00,Matches
913,Davide Frattesi\2a7d27c1,it ITA,MF,Sassuolo,it Serie A,22-195,1999,29.2,2.47,2.46,2.02,0.03,0.14,0.10,0.14,0.03,0.27,0.27,0.14,0.00,0.03,0.03,0.07,0.00,Matches
914,Fred\b853e0ad,br BRA,MF,Manchester Utd,eng Premier League,29-061,1993,21.2,2.55,2.55,2.08,0.00,0.05,0.05,0.19,0.19,0.38,0.38,0.28,0.00,0.00,0.00,0.05,0.05,Matches
915,Ryan Fredericks\c067631c,eng ENG,DF,West Ham,eng Premier League,29-207,1992,3.4,0.59,0.59,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
916,Morten Frendrup\f4d60499,dk DEN,DFMF,Genoa,it Serie A,21-028,2001,6.0,1.67,1.67,1.00,0.00,0.17,0.17,0.00,0.33,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.17,Matches
917,Remo Freuler\98d2c2c4,ch SUI,MF,Atalanta,it Serie A,30-020,1992,23.8,2.39,2.40,1.89,0.29,0.08,0.08,0.00,0.04,0.21,0.21,0.17,0.04,0.00,0.00,0.00,0.00,Matches
918,Marvin Friedrich\b77f44a4,de GER,DF,M'Gladbach,de Bundesliga,26-143,1995,4.8,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
919,Marvin Friedrich\b77f44a4,de GER,DF,Union Berlin,de Bundesliga,26-143,1995,13.0,0.69,0.69,0.54,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
920,Jeremie Frimpong\74f2e748,nl NED,DF,Leverkusen,de Bundesliga,21-146,2000,22.8,2.15,2.15,1.75,0.00,0.26,0.04,0.09,0.00,0.44,0.44,0.39,0.00,0.00,0.00,0.04,0.00,Matches
921,Jorge de Frutos\38ce1150,es ESP,MFFW,Levante,es La Liga,25-074,1997,19.6,2.60,2.61,1.58,0.15,0.51,0.20,0.10,0.05,0.56,0.56,0.36,0.00,0.10,0.05,0.00,0.05,Matches
922,Leo Fuhr Hjelde\d102b8a2,no NOR,DF,Leeds United,eng Premier League,18-252,2003,1.7,1.76,1.80,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
923,Chris Führich\0cf778df,de GER,MFFW,Stuttgart,de Bundesliga,24-116,1998,17.7,3.22,3.22,2.03,0.62,0.34,0.11,0.11,0.00,0.17,0.17,0.06,0.06,0.00,0.06,0.00,0.00,Matches
924,Angelo Fulgini\4b96c347,fr FRA,MFFW,Angers,fr Ligue 1,25-258,1996,29.7,2.19,2.19,1.68,0.27,0.00,0.07,0.13,0.03,0.20,0.20,0.13,0.00,0.00,0.03,0.00,0.03,Matches
925,Marius Funk\86314793,de GER,GK,Greuther Fürth,de Bundesliga,26-124,1996,8.0,0.38,0.37,0.25,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
926,Stephan Fürstner\18c2e247,de GER,MF,Mainz 05,de Bundesliga,34-236,1987,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
927,Matteo Gabbia\c235e803,it ITA,DF,Milan,it Serie A,22-196,1999,6.0,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.33,0.34,0.33,0.00,0.00,0.00,0.00,0.00,Matches
928,Manolo Gabbiadini\8f866fe8,it ITA,FWMF,Sampdoria,it Serie A,30-160,1991,12.7,2.60,2.61,1.89,0.16,0.00,0.47,0.08,0.00,0.31,0.32,0.16,0.00,0.00,0.16,0.00,0.00,Matches
929,Mijat Gaćinović\16daec92,rs SRB,FWDF,Hoffenheim,de Bundesliga,27-086,1995,1.2,2.50,2.45,1.67,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
930,Gianluca Gaetano\3b387cc7,it ITA,MF,Napoli,it Serie A,22-000,2000,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
931,Luca Gagliano\1d00a56c,it ITA,MFDF,Cagliari,it Serie A,21-295,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
932,Roberto Gagliardini\ce30bfc8,it ITA,MF,Inter,it Serie A,28-028,1994,6.8,2.06,2.05,1.76,0.00,0.00,0.15,0.15,0.00,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,Matches
933,Riccardo Gagliolo\173061c0,se SWE,DF,Salernitana,it Serie A,32-007,1990,12.6,0.32,0.32,0.00,0.08,0.00,0.16,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.08,0.00,0.00,Matches
934,Javi Galán\a4b00319,es ESP,DF,Celta Vigo,es La Liga,27-167,1994,32.6,1.29,1.29,0.98,0.09,0.09,0.00,0.06,0.06,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,Matches
935,Iñigo Ruiz de Galarreta\91f7631f,es ESP,MF,Mallorca,es La Liga,28-272,1993,15.3,1.83,1.83,1.44,0.07,0.07,0.07,0.13,0.07,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,Matches
936,Nicolas Galazzi\a796492f,it ITA,DF,Venezia,it Serie A,21-138,2000,0.2,5.00,5.63,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
937,Pablo Galdames Millán\dd403465,cl CHI,MF,Genoa,it Serie A,25-126,1996,9.6,2.50,2.49,1.56,0.63,0.10,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
938,Thiago Galhardo\766f48dd,br BRA,FWMF,Celta Vigo,es La Liga,32-289,1989,9.1,1.98,1.98,1.43,0.00,0.00,0.44,0.11,0.00,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00,Matches
939,Conor Gallagher\c2731c10,eng ENG,MF,Crystal Palace,eng Premier League,22-088,2000,28.7,2.86,2.85,1.43,0.73,0.10,0.24,0.28,0.07,0.45,0.45,0.28,0.03,0.07,0.00,0.03,0.03,Matches
940,Gauthier Gallon\db3164e1,fr FRA,GK,Troyes,fr Ligue 1,29-012,1993,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
941,Cristian Gamboa\f27680d9,cr CRC,DF,Bochum,de Bundesliga,32-193,1989,17.1,1.46,1.46,0.88,0.29,0.12,0.00,0.12,0.06,0.23,0.23,0.18,0.06,0.00,0.00,0.00,0.00,Matches
942,Kévin Gameiro\42276181,fr FRA,FW,Strasbourg,fr Ligue 1,34-361,1987,23.7,2.24,2.24,1.90,0.00,0.04,0.13,0.13,0.04,0.34,0.34,0.25,0.00,0.00,0.04,0.04,0.00,Matches
943,Idrissa Gana Gueye\72c812f3,sn SEN,MF,Paris S-G,fr Ligue 1,32-221,1989,17.9,1.79,1.78,1.62,0.00,0.00,0.06,0.06,0.06,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,Matches
944,Ignatius Ganago\23c63b7f,cm CMR,FW,Lens,fr Ligue 1,23-078,1999,11.0,2.45,2.46,1.91,0.09,0.18,0.27,0.00,0.00,0.18,0.18,0.09,0.00,0.09,0.00,0.00,0.00,Matches
945,Silvère Ganvoula M'Boussy\6c731625,cg CGO,FW,Bochum,de Bundesliga,25-317,1996,1.7,0.59,0.59,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
946,Álvaro García\90bbd822,es ESP,FW,Rayo Vallecano,es La Liga,29-190,1992,29.3,2.39,2.39,1.95,0.00,0.10,0.17,0.14,0.03,0.14,0.14,0.10,0.00,0.00,0.03,0.00,0.00,Matches
947,Dani García\240d3a0b,es ESP,MF,Athletic Club,es La Liga,31-346,1990,21.8,1.15,1.15,1.06,0.00,0.00,0.00,0.00,0.09,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Matches
948,David García\3e42f707,es ESP,DF,Osasuna,es La Liga,28-080,1994,31.5,0.51,0.51,0.38,0.06,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
949,Eric García\2bed3eab,es ESP,DF,Barcelona,es La Liga,21-116,2001,20.7,0.92,0.92,0.87,0.00,0.00,0.05,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Matches
950,Francisco Garcia\7226539b,es ESP,DF,Rayo Vallecano,es La Liga,22-264,1999,30.6,1.57,1.57,1.21,0.23,0.03,0.07,0.00,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,Matches
951,Joan García\87b498b0,es ESP,GK,Espanyol,es La Liga,21-001,2001,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
952,Manu García\6ed1a2a2,es ESP,MF,Alavés,es La Liga,24-123,1998,10.7,3.27,3.26,1.78,1.03,0.19,0.09,0.09,0.09,0.28,0.28,0.09,0.09,0.09,0.00,0.00,0.00,Matches
953,Raúl García\b418dbd4,es ESP,FW,Athletic Club,es La Liga,35-298,1986,18.4,2.12,2.12,1.47,0.00,0.11,0.27,0.22,0.05,0.27,0.27,0.27,0.00,0.00,0.00,0.00,0.00,Matches
954,Rubén García\5c96b017,es ESP,MFFW,Osasuna,es La Liga,28-295,1993,24.4,3.16,3.15,1.72,0.86,0.08,0.29,0.04,0.16,0.37,0.37,0.20,0.08,0.00,0.04,0.00,0.04,Matches
955,Saúl García\dafa5038,es ESP,FW,Alavés,es La Liga,27-177,1994,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
956,Unai García\4a633cfe,es ESP,DF,Osasuna,es La Liga,30-091,1992,13.6,0.29,0.29,0.22,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
957,Alejandro Garnacho\7aa8adfe,es ESP,FW,Manchester Utd,eng Premier League,17-308,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
958,Mario Gaspar\fb5d47b3,es ESP,DF,Villarreal,es La Liga,31-162,1990,5.9,1.19,1.19,0.85,0.00,0.00,0.17,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.17,0.00,0.00,Matches
959,Johan Gastien\868eaba0,fr FRA,MF,Clermont Foot,fr Ligue 1,34-100,1988,27.6,1.92,1.92,1.45,0.25,0.00,0.07,0.07,0.07,0.33,0.33,0.25,0.04,0.00,0.00,0.04,0.00,Matches
960,Dwight Gayle\e58a03c6,eng ENG,FW,Newcastle Utd,eng Premier League,31-200,1990,0.4,2.50,2.43,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
961,Jean-Philippe Gbamin\6bd603db,ci CIV,MF,Everton,eng Premier League,26-222,1995,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
962,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,eng Premier League,31-179,1990,36.0,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
963,Linus Gechter\ad2b068c,de GER,DF,Hertha BSC,de Bundesliga,18-067,2004,8.0,0.88,0.88,0.63,0.00,0.00,0.13,0.00,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.13,Matches
964,Dennis Geiger\37f606f0,de GER,MF,Hoffenheim,de Bundesliga,23-329,1998,15.3,2.81,2.81,1.57,0.78,0.00,0.26,0.13,0.07,0.20,0.20,0.07,0.07,0.00,0.07,0.00,0.00,Matches
965,Joe Gelhardt\01962d0d,eng ENG,FWMF,Leeds United,eng Premier League,20-001,2002,6.1,2.62,2.64,1.64,0.00,0.33,0.16,0.49,0.00,0.66,0.66,0.16,0.00,0.16,0.00,0.33,0.00,Matches
966,Luca Gemello\53e494ec,it ITA,GK,Torino,it Serie A,21-306,2000,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
967,Yannick Gerhardt\62ab9184,de GER,MFDF,Wolfsburg,de Bundesliga,28-053,1994,15.7,1.91,1.91,1.59,0.00,0.00,0.19,0.13,0.00,0.38,0.38,0.32,0.00,0.00,0.06,0.00,0.00,Matches
968,Valère Germain\ea0ff634,fr FRA,FW,Montpellier,fr Ligue 1,32-018,1990,19.5,1.13,1.13,0.97,0.00,0.00,0.05,0.00,0.10,0.26,0.26,0.15,0.00,0.00,0.05,0.00,0.05,Matches
969,Gerson\8827bf46,br BRA,MFFW,Marseille,fr Ligue 1,24-350,1997,25.5,2.63,2.63,1.73,0.00,0.20,0.27,0.35,0.08,0.43,0.43,0.27,0.00,0.00,0.08,0.08,0.00,Matches
