Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
20,Felix Afena-Gyan\0154d290,gh GHA,FWMF,Roma,it Serie A,19-106,2003,7.4,22.2,20.9,1.22,0.14,0.00,3.38,0.54,1.08,0.00,0.00,0.00,0.00,17.3,2.97,1.89,1.35,18.9,0.14,0.81,0.41,16.9,0.00,0.27,1.35,1.35,Matches
21,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25-360,1996,16.7,44.3,33.8,10.5,0.42,0.00,4.49,0.96,2.28,0.00,0.00,0.00,0.00,20.8,10.1,13.4,1.86,28.3,2.93,10.1,0.12,31.3,0.18,1.08,1.80,1.62,Matches
22,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,21-130,2000,4.0,20.5,12.0,8.50,2.00,0.00,0.75,0.25,0.00,0.00,0.00,0.00,0.00,12.0,0.25,8.25,7.50,9.00,0.00,0.00,2.50,15.3,0.00,1.00,0.00,0.00,Matches
23,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,20-085,2002,19.6,47.7,46.2,1.43,1.07,0.05,7.70,1.48,0.15,0.05,0.00,0.00,0.05,35.2,5.41,7.09,5.87,38.5,1.84,0.00,0.20,40.2,0.15,0.51,1.43,1.22,Matches
24,Kevin Agudelo\46fa7204,co COL,FWMF,Spezia,it Serie A,23-172,1998,11.5,27.8,27.0,0.87,0.09,0.00,9.30,0.43,0.87,0.35,0.35,0.00,0.00,20.4,4.00,3.39,22.9,2.26,1.30,0.26,0.09,20.4,0.09,0.78,1.39,1.30,Matches
25,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,26-036,1996,28.4,72.5,70.3,2.18,2.01,0.04,6.27,3.45,0.07,0.00,0.00,0.00,0.00,60.0,3.31,9.15,61.7,7.22,1.87,0.18,0.14,65.2,0.11,0.74,1.20,0.60,Matches
26,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,es La Liga,33-337,1988,1.7,25.3,24.1,1.18,0.00,0.59,8.82,0.00,2.35,0.00,0.00,0.00,0.00,14.1,5.29,5.88,2.94,18.2,1.76,0.00,0.59,18.2,0.00,0.00,0.00,0.00,Matches
27,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,29-009,1993,20.8,74.1,62.2,12.0,1.54,0.14,6.97,1.49,2.21,0.05,0.00,0.05,0.00,47.7,14.3,12.1,1.25,59.2,1.83,10.4,0.48,62.3,0.29,0.91,2.16,1.63,Matches
28,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,es La Liga,22-091,2000,0.1,20.0,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,10.0,10.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,Matches
29,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,de Bundesliga,20-037,2002,0.7,48.6,47.1,1.43,1.43,0.00,10.0,2.86,0.00,0.00,0.00,0.00,0.00,41.4,2.86,4.29,7.14,40.0,1.43,0.00,0.00,42.9,0.00,1.43,1.43,0.00,Matches
30,Anel Ahmedhodzic\eab957a3,ba BIH,DF,Bordeaux,fr Ligue 1,23-040,1999,12.0,57.2,55.4,1.75,1.08,0.08,6.92,1.83,0.33,0.00,0.00,0.00,0.00,45.3,4.42,7.42,6.92,45.4,2.75,0.67,0.17,50.7,0.08,0.83,0.92,0.50,Matches
31,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,28-046,1994,9.8,38.2,37.1,1.02,1.02,0.00,5.51,0.41,0.31,0.00,0.00,0.00,0.00,30.4,4.08,3.67,27.2,8.37,1.33,0.00,0.31,32.1,0.00,0.51,1.12,0.92,Matches
32,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,26-218,1995,25.3,52.4,51.3,1.07,0.55,0.08,5.22,1.15,0.04,0.00,0.00,0.00,0.00,38.3,3.99,10.1,8.34,38.5,3.32,0.51,0.36,43.4,0.04,1.15,1.26,0.59,Matches
33,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,25-209,1996,14.0,46.6,37.4,9.14,0.50,0.14,5.36,0.50,2.07,0.00,0.00,0.00,0.00,24.6,8.93,13.0,9.79,25.3,1.86,8.64,0.21,33.0,0.29,0.64,1.43,2.50,Matches
34,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,eng Premier League,20-333,2001,16.3,49.7,38.7,11.0,0.80,0.06,6.93,1.78,2.70,1.78,0.49,1.04,0.12,27.3,10.6,11.8,33.4,5.28,2.02,8.40,0.00,36.7,0.12,1.47,1.53,1.66,Matches
35,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,eng Premier League,24-018,1998,19.5,38.5,31.5,7.03,0.36,0.00,6.15,0.36,0.56,0.00,0.00,0.00,0.00,19.2,10.1,9.23,1.95,24.7,2.97,6.67,0.10,27.4,0.21,1.03,1.49,1.79,Matches
36,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,28-069,1994,28.9,30.4,29.8,0.66,0.00,0.03,10.0,0.59,0.59,0.00,0.00,0.00,0.00,16.9,8.17,5.40,17.3,5.74,1.97,0.07,1.07,22.3,0.03,0.45,1.59,1.11,Matches
37,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,26-290,1995,23.1,76.2,73.9,2.34,2.12,0.00,8.23,2.77,0.04,0.00,0.00,0.00,0.00,62.4,4.63,9.18,15.2,57.2,2.25,0.22,0.04,69.3,0.09,0.82,0.95,0.61,Matches
38,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,29-054,1993,17.9,40.0,32.0,7.99,0.84,0.06,5.64,0.95,1.51,0.00,0.00,0.00,0.00,20.4,8.99,10.6,1.51,26.9,2.96,7.15,0.11,29.0,0.11,1.62,1.12,1.51,Matches
39,Marley Aké\414e1f69,fr FRA,FW,Juventus,it Serie A,21-120,2001,0.1,40.0,40.0,0.00,0.00,0.00,0.00,10.0,10.0,0.00,0.00,0.00,0.00,30.0,0.00,10.0,0.00,40.0,0.00,0.00,0.00,40.0,0.00,0.00,0.00,0.00,Matches
40,Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,27-076,1995,9.9,83.3,79.1,4.24,1.62,0.00,6.97,0.51,0.00,0.00,0.00,0.00,0.00,69.5,6.67,7.17,60.3,15.2,2.73,2.63,0.20,75.9,0.00,1.01,0.71,0.71,Matches
41,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,es La Liga,18-019,2004,1.4,37.9,37.9,0.00,0.00,0.00,6.43,0.71,3.57,0.00,0.00,0.00,0.00,32.1,2.14,3.57,35.0,2.14,0.71,0.00,0.00,32.1,0.00,0.00,0.71,1.43,Matches
42,Maghnes Akliouche\b625b241,fr FRA,MFFW,Monaco,fr Ligue 1,20-069,2002,0.6,36.7,36.7,0.00,0.00,1.67,8.33,0.00,0.00,0.00,0.00,0.00,0.00,33.3,3.33,0.00,26.7,10.0,0.00,0.00,0.00,33.3,0.00,0.00,0.00,0.00,Matches
43,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,es La Liga,24-136,1997,5.7,57.5,57.0,0.53,0.53,0.00,6.84,1.75,0.00,0.00,0.00,0.00,0.00,45.4,4.74,7.37,4.74,49.1,2.46,0.00,0.18,50.4,0.18,1.58,1.05,0.70,Matches
44,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,it Serie A,29-206,1992,3.4,31.5,31.2,0.29,0.29,0.00,7.06,0.29,0.00,0.00,0.00,0.00,0.00,24.1,6.18,1.18,5.59,22.4,1.47,0.00,0.59,25.6,0.00,0.59,1.47,1.18,Matches
45,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,27-016,1995,16.0,55.5,44.4,11.1,1.06,0.13,7.81,1.13,1.75,0.00,0.00,0.00,0.00,33.1,12.7,9.75,5.31,37.8,1.44,10.0,0.06,43.1,0.19,1.38,1.94,2.13,Matches
46,David Alaba\05439de2,at AUT,DF,Real Madrid,es La Liga,29-315,1992,29.4,66.9,64.0,2.86,1.36,0.07,5.37,0.65,1.09,0.10,0.10,0.00,0.00,57.1,4.18,5.58,55.2,8.54,1.36,1.16,0.10,61.4,0.17,0.48,0.65,0.68,Matches
47,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,fr Ligue 1,23-280,1998,1.8,56.7,49.4,7.22,0.56,0.00,4.44,0.56,0.56,0.00,0.00,0.00,0.00,42.8,8.89,5.00,3.33,45.6,0.56,6.67,0.00,46.7,0.00,0.00,2.22,3.33,Matches
48,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,es La Liga,23-106,1999,14.8,35.8,31.6,4.26,1.96,0.00,6.76,2.91,1.49,2.16,0.81,1.01,0.00,18.3,4.93,12.6,2.36,30.3,2.09,0.07,0.07,25.5,0.14,1.15,0.54,0.95,Matches
49,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,29-209,1992,6.3,21.6,20.3,1.27,0.00,0.16,6.19,0.16,0.16,0.00,0.00,0.00,0.00,13.8,4.29,3.49,1.27,15.7,2.06,0.32,0.32,14.9,0.00,0.48,1.27,0.63,Matches
50,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,33-045,1989,26.4,94.5,82.0,12.4,3.03,0.34,5.95,1.78,3.52,0.04,0.00,0.00,0.00,64.8,16.1,13.6,72.7,9.85,2.08,9.32,0.15,79.7,0.42,0.87,2.54,2.20,Matches
51,Josué Albert\3d738df0,gf GUF,DF,Clermont Foot,fr Ligue 1,30-104,1992,0.2,40.0,35.0,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.0,5.00,5.00,20.0,10.0,5.00,5.00,0.00,30.0,0.00,0.00,5.00,0.00,Matches
52,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,29-219,1992,24.5,74.9,67.3,7.63,3.10,0.41,12.3,3.02,1.96,3.84,1.59,1.51,0.12,57.1,6.86,10.9,3.88,69.0,0.98,0.41,0.33,62.1,0.24,0.69,2.61,1.35,Matches
53,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,36-243,1985,23.5,58.7,56.6,2.13,1.96,0.00,5.96,2.13,0.00,0.00,0.00,0.00,0.00,44.7,4.34,9.70,9.53,45.2,2.98,0.13,0.04,51.4,0.04,0.72,0.72,0.68,Matches
54,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,eng Premier League,32-168,1989,12.1,44.1,36.0,8.18,1.24,0.00,7.93,2.73,2.40,3.06,2.07,0.58,0.08,24.5,8.93,10.7,2.98,35.1,1.65,3.80,0.08,27.4,0.33,0.41,2.56,3.06,Matches
55,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,28-248,1993,6.9,19.1,17.1,2.03,0.00,0.14,3.48,0.29,0.14,0.00,0.00,0.00,0.00,12.9,3.77,2.46,4.06,12.3,1.16,0.29,0.29,14.3,0.29,0.00,1.30,0.87,Matches
56,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,eng Premier League,31-024,1991,15.2,86.3,85.1,1.18,0.72,0.13,12.8,3.55,0.13,0.07,0.00,0.07,0.00,66.9,7.57,11.8,5.72,76.1,2.11,0.20,0.26,77.2,0.13,0.79,2.70,1.12,Matches
