Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
230,Mohamed Bayo\01870104,gn GUI,FW,Clermont Foot,fr Ligue 1,23-335,1998,24.0,20.3,17.8,2.46,0.00,0.00,5.75,0.17,0.25,0.00,0.00,0.00,0.00,14.6,3.17,2.54,2.33,15.9,0.50,0.00,0.21,14.5,0.13,0.58,1.33,0.96,Matches
231,Paul Baysse\2515040a,fr FRA,DF,Bordeaux,fr Ligue 1,33-352,1988,0.1,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
232,Noah Joel Sarenren Bazee\fbbc8e15,ng NGA,MFFW,Augsburg,de Bundesliga,25-257,1996,2.7,18.9,17.4,1.48,0.00,0.00,6.67,1.11,3.70,0.00,0.00,0.00,0.00,11.5,4.07,3.33,2.22,13.3,1.11,1.48,0.00,11.5,0.00,1.11,0.74,2.22,Matches
233,Bebé\d8712bf9,cv CPV,FWMF,Rayo Vallecano,es La Liga,31-297,1990,7.3,37.1,31.5,5.62,2.47,0.00,10.8,3.29,5.21,2.60,1.37,0.96,0.27,21.1,5.21,10.8,7.67,26.3,1.10,0.41,0.14,22.6,0.00,1.78,1.51,1.64,Matches
234,Ihlas Bebou\a53b661f,tg TOG,FWDF,Hoffenheim,de Bundesliga,28-012,1994,22.8,27.2,24.3,2.98,0.04,0.00,6.01,0.48,2.02,0.00,0.00,0.00,0.00,15.4,7.32,4.47,2.11,19.2,1.18,2.54,0.75,19.7,0.00,0.53,1.49,1.49,Matches
235,Rodrigo Becão\19e4eab9,br BRA,DF,Udinese,it Serie A,26-106,1996,32.8,40.3,35.8,4.51,1.43,0.00,4.15,0.61,0.37,0.00,0.00,0.00,0.00,28.6,3.63,8.11,2.50,32.1,1.22,3.05,0.34,32.1,0.03,0.82,0.70,0.79,Matches
236,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,eng Premier League,23-118,1999,7.0,55.6,46.3,9.29,0.43,0.00,3.71,0.29,2.00,0.00,0.00,0.00,0.00,35.7,5.14,14.7,36.4,6.57,3.00,8.86,0.00,42.4,0.14,1.00,1.57,1.43,Matches
237,Sheraldo Becker\8eb55dbb,sr SUR,FWMF,Union Berlin,de Bundesliga,27-085,1995,18.4,31.8,31.4,0.43,0.05,0.11,6.79,1.30,5.22,0.05,0.00,0.00,0.00,18.6,7.28,5.92,3.59,26.0,1.30,0.11,0.27,20.3,0.16,0.92,1.14,2.45,Matches
238,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,eng Premier League,26-023,1996,28.2,49.3,46.4,2.87,1.45,0.00,6.31,1.17,0.21,0.00,0.00,0.00,0.00,33.3,4.26,11.7,6.91,35.3,3.37,1.38,0.14,40.7,0.04,1.10,0.57,0.35,Matches
239,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,eng Premier League,25-017,1997,0.8,40.0,40.0,0.00,0.00,1.25,10.0,0.00,0.00,0.00,0.00,0.00,0.00,33.8,3.75,2.50,5.00,32.5,0.00,0.00,0.00,31.3,1.25,0.00,2.50,1.25,Matches
240,Donny van de Beek\50dc94ce,nl NED,MF,Everton,eng Premier League,25-017,1997,4.8,48.1,46.9,1.25,0.21,0.00,7.71,0.42,1.25,0.21,0.21,0.00,0.00,38.1,3.54,6.46,6.67,37.9,2.29,0.21,0.00,40.4,0.21,0.63,1.46,0.83,Matches
241,Asmir Begović\7b4de647,ba BIH,GK,Everton,eng Premier League,34-319,1987,2.0,27.5,14.5,13.0,1.50,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,2.50,1.50,23.5,0.50,22.0,0.00,0.00,1.50,10.5,0.00,1.50,0.50,0.50,Matches
242,Valon Behrami\d3d758d8,ch SUI,MF,Genoa,it Serie A,37-016,1985,3.5,20.0,18.9,1.14,0.57,0.29,3.71,0.29,0.86,0.00,0.00,0.00,0.00,13.4,2.86,3.71,1.71,16.3,1.43,0.57,0.00,14.6,0.00,0.29,1.14,0.57,Matches
243,Kevin Behrens\30ae134d,de GER,FW,Union Berlin,de Bundesliga,31-091,1991,5.2,33.3,32.5,0.77,0.00,0.38,13.7,0.00,0.58,0.00,0.00,0.00,0.00,17.7,7.88,7.69,5.19,15.4,3.27,0.00,1.73,23.1,0.19,0.96,0.96,1.15,Matches
244,Youcef Belaïli\1a248246,dz ALG,MFFW,Brest,fr Ligue 1,30-052,1992,6.5,45.4,39.2,6.15,1.85,0.31,7.69,2.31,1.69,3.08,1.85,0.46,0.31,26.2,5.69,13.5,2.77,39.2,0.77,1.23,0.62,32.3,0.00,0.92,3.23,1.85,Matches
245,Vid Belec\4f8ce0e1,si SVN,GK,Salernitana,it Serie A,31-333,1990,20.2,27.0,15.6,11.4,2.97,0.00,1.04,0.35,0.00,0.00,0.00,0.00,0.00,8.66,1.29,17.1,1.63,19.3,0.00,0.05,3.47,16.8,0.10,0.54,0.15,0.15,Matches
246,Ishak Belfodil\ff182fdc,dz ALG,FW,Hertha BSC,de Bundesliga,30-113,1992,16.9,26.3,24.4,1.95,0.06,0.00,7.51,0.12,1.07,0.00,0.00,0.00,0.00,16.6,5.21,4.50,1.01,19.9,2.49,0.12,0.77,18.3,0.12,0.30,1.36,0.95,Matches
247,Haris Belkebla\2b1bed19,dz ALG,MF,Brest,fr Ligue 1,28-097,1994,23.4,38.4,37.0,1.37,0.90,0.00,6.92,0.98,0.38,0.00,0.00,0.00,0.00,29.1,3.55,5.77,5.68,29.9,1.03,0.17,0.47,31.9,0.09,0.68,1.28,0.73,Matches
248,Stefan Bell\857a5abe,de GER,DF,Mainz 05,de Bundesliga,30-254,1991,29.8,45.2,43.9,1.28,1.04,0.00,6.81,0.50,0.37,0.00,0.00,0.00,0.00,28.6,5.23,11.4,5.40,33.2,3.49,0.23,0.34,35.5,0.13,0.84,1.17,0.74,Matches
249,Armel Bella Kotchap\a39d11bc,de GER,DF,Bochum,de Bundesliga,20-145,2001,18.9,36.5,35.3,1.16,0.69,0.11,4.76,1.01,0.11,0.00,0.00,0.00,0.00,23.2,4.02,9.21,7.46,24.1,2.43,0.48,0.32,28.8,0.05,1.48,0.63,0.42,Matches
250,Raoul Bellanova\e3756e72,it ITA,DF,Cagliari,it Serie A,21-322,2000,24.7,33.6,29.8,3.72,0.24,0.00,5.26,1.38,2.83,0.04,0.04,0.00,0.00,19.8,5.83,7.89,2.91,25.3,1.38,3.40,0.08,23.8,0.04,0.57,1.58,1.38,Matches
251,Karim Bellarabi\bee0bab1,de GER,FWDF,Leverkusen,de Bundesliga,32-027,1990,7.6,35.1,33.7,1.45,0.00,0.00,5.00,0.53,2.63,0.39,0.13,0.13,0.00,25.0,5.66,4.47,3.55,29.6,0.53,1.05,0.26,26.2,0.00,0.39,2.63,1.05,Matches
252,Jean-Ricner Bellegarde\10f0fdd3,fr FRA,MF,Strasbourg,fr Ligue 1,23-312,1998,24.2,41.9,40.1,1.78,0.74,0.12,6.03,1.12,1.16,0.99,0.45,0.37,0.08,31.7,3.76,6.40,7.77,31.5,1.74,0.04,0.29,34.8,0.21,0.58,1.20,0.79,Matches
253,Héctor Bellerín\f874dd44,es ESP,DF,Betis,es La Liga,27-047,1995,21.0,48.6,39.4,9.19,0.76,0.05,5.90,0.67,1.71,0.00,0.00,0.00,0.00,27.8,11.3,9.57,3.86,33.4,1.90,8.43,0.14,37.0,0.10,0.62,2.10,2.38,Matches
254,Jude Bellingham\57d88cf9,eng ENG,MF,Dortmund,de Bundesliga,18-310,2003,29.0,48.9,47.9,1.00,0.69,0.21,10.8,1.55,0.55,0.07,0.03,0.00,0.00,37.8,5.62,5.52,8.03,37.7,1.41,0.24,0.62,41.4,0.17,0.72,1.93,1.31,Matches
255,George Bello\aca0a525,us USA,DF,Arminia,de Bundesliga,20-103,2002,4.7,36.6,28.9,7.66,0.21,0.00,6.60,0.43,1.28,0.43,0.00,0.43,0.00,23.4,8.30,4.89,24.3,4.47,0.43,7.02,0.00,29.1,0.00,0.43,1.91,0.43,Matches
256,Jeanuel Belocian\c678ddd7,fr FRA,DF,Rennes,fr Ligue 1,17-077,2005,0.1,100.0,100.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,90.0,0.00,10.0,90.0,10.0,0.00,0.00,0.00,80.0,0.00,10.0,0.00,0.00,Matches
257,Andrea Belotti\d705ba44,it ITA,FW,Torino,it Serie A,28-136,1993,12.7,23.5,22.3,1.26,0.00,0.00,7.64,0.39,0.71,0.00,0.00,0.00,0.00,14.8,5.35,3.39,4.72,14.5,1.10,0.08,0.08,16.8,0.08,0.47,0.94,1.02,Matches
258,Fran Beltrán\ed5c5fa3,es ESP,MF,Celta Vigo,es La Liga,23-091,1999,26.4,65.9,63.1,2.80,2.05,0.00,7.73,2.77,0.34,0.19,0.00,0.11,0.00,52.8,5.42,7.65,5.53,56.9,2.31,0.11,0.42,59.7,0.11,0.64,1.02,0.80,Matches
259,Hatem Ben Arfa\74dc806c,fr FRA,FWMF,Lille,fr Ligue 1,35-059,1987,3.5,44.9,40.3,4.57,0.57,0.29,7.14,1.43,1.71,1.71,0.29,1.43,0.00,36.0,5.71,3.14,37.1,6.00,1.14,0.29,0.29,39.4,0.29,0.29,1.14,0.86,Matches
260,Salim Ben Seghir\1f6298f2,fr FRA,FW,Marseille,fr Ligue 1,19-070,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Matches
261,Wissam Ben Yedder\942b4f90,fr FRA,FW,Monaco,fr Ligue 1,31-266,1990,25.4,24.6,22.8,1.89,0.04,0.24,6.50,0.12,0.63,0.00,0.00,0.00,0.00,16.3,4.80,3.58,11.6,11.1,1.10,0.04,0.31,18.4,0.16,0.35,1.26,0.75,Matches
262,Marco Benassi\0000acda,it ITA,DFMF,Fiorentina,it Serie A,27-239,1994,1.8,72.8,64.4,8.33,1.11,0.00,8.33,1.67,0.56,0.00,0.00,0.00,0.00,43.9,13.9,15.0,16.7,45.0,3.33,7.22,0.00,60.0,0.00,0.00,2.78,1.67,Matches
263,Marco Benassi\0000acda,it ITA,MF,Empoli,it Serie A,27-239,1994,3.9,39.2,36.2,3.08,0.51,0.00,5.38,1.28,2.31,0.26,0.00,0.26,0.00,27.9,4.62,6.67,12.1,22.8,0.51,2.05,0.00,27.4,0.00,1.03,2.31,2.82,Matches
264,Darío Benedetto\bef0a7ac,ar ARG,FWMF,Marseille,fr Ligue 1,31-353,1990,0.6,18.3,18.3,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,13.3,3.33,1.67,6.67,8.33,0.00,0.00,1.67,16.7,0.00,0.00,0.00,0.00,Matches
265,Darío Benedetto\bef0a7ac,ar ARG,FW,Elche,es La Liga,31-353,1990,6.6,17.3,16.1,1.21,0.00,0.15,4.24,1.06,0.91,0.00,0.00,0.00,0.00,9.24,3.94,4.09,2.12,12.1,1.06,0.15,0.45,11.7,0.15,0.76,1.21,0.61,Matches
266,László Bénes\fe888e39,sk SVK,MF,M'Gladbach,de Bundesliga,24-238,1997,2.7,71.1,62.6,8.52,4.07,0.00,11.5,3.70,1.85,4.07,2.22,0.74,0.00,48.1,4.81,18.1,59.6,5.56,3.33,0.37,0.37,52.6,0.74,0.74,1.85,1.48,Matches
267,Walter Benítez\8a2248b4,ar ARG,GK,Nice,fr Ligue 1,29-047,1993,34.0,28.1,19.0,9.09,1.97,0.00,1.74,0.29,0.00,0.00,0.00,0.00,0.00,15.2,1.24,11.6,3.12,19.3,0.03,0.00,4.24,20.8,0.03,0.41,0.15,0.03,Matches
268,Iker Benito\50cbc806,es ESP,MFFW,Osasuna,es La Liga,19-268,2002,1.3,22.3,22.3,0.00,0.00,0.00,4.62,0.00,1.54,0.00,0.00,0.00,0.00,16.2,5.38,0.77,6.92,12.3,1.54,0.00,0.00,16.9,1.54,0.00,0.77,0.77,Matches
269,Loris Benito\f5b6fb78,ch SUI,DF,Bordeaux,fr Ligue 1,30-118,1992,0.7,75.7,65.7,10.0,1.43,0.00,8.57,0.00,0.00,0.00,0.00,0.00,0.00,45.7,17.1,12.9,55.7,4.29,7.14,8.57,0.00,60.0,0.00,5.71,2.86,1.43,Matches
270,Pedro Benito\a7416105,es ESP,FW,Cádiz,es La Liga,22-039,2000,0.3,20.0,20.0,0.00,0.00,0.00,13.3,0.00,0.00,0.00,0.00,0.00,0.00,3.33,6.67,10.0,3.33,3.33,3.33,0.00,0.00,13.3,0.00,0.00,3.33,0.00,Matches
271,Ismaël Bennacer\db092d3b,dz ALG,MF,Milan,it Serie A,24-155,1997,15.9,66.7,62.6,4.09,3.08,0.38,9.50,3.27,0.94,0.82,0.19,0.25,0.06,50.8,4.97,10.9,57.1,6.48,2.08,0.19,0.06,57.9,0.25,0.94,1.82,0.31,Matches
272,Keanan Bennetts\f4c7c708,eng ENG,FWDF,M'Gladbach,de Bundesliga,23-057,1999,0.6,38.3,35.0,3.33,0.00,0.00,8.33,3.33,3.33,0.00,0.00,0.00,0.00,30.0,5.00,3.33,16.7,16.7,0.00,3.33,0.00,28.3,0.00,0.00,1.67,1.67,Matches
273,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,eng Premier League,26-268,1995,23.3,34.5,33.6,0.86,0.17,0.09,6.18,0.82,2.62,0.04,0.00,0.00,0.00,25.4,4.29,4.76,5.67,26.8,1.07,0.13,0.30,25.9,0.04,0.86,1.63,1.37,Matches
274,Ramy Bensebaini\378825c7,dz ALG,DF,M'Gladbach,de Bundesliga,27-019,1995,20.4,55.7,49.0,6.72,1.67,0.05,7.75,1.08,0.78,0.05,0.00,0.00,0.00,37.0,9.51,9.17,35.1,11.7,2.50,4.80,0.05,44.8,0.25,1.18,1.62,1.47,Matches
275,Nabil Bentaleb\3189f61a,dz ALG,MF,Angers,fr Ligue 1,27-162,1994,13.8,54.9,53.5,1.45,1.38,0.00,9.49,1.45,0.43,0.00,0.00,0.00,0.00,42.8,5.94,6.23,43.4,8.41,1.59,0.07,0.22,45.7,0.07,1.52,1.38,1.38,Matches
276,Rodrigo Bentancur\3b8674e6,uy URU,MF,Tottenham,eng Premier League,24-334,1997,11.3,67.3,65.8,1.42,1.15,0.18,8.94,1.42,0.44,0.00,0.00,0.00,0.00,57.7,3.72,5.84,12.8,51.5,1.68,0.27,0.09,59.7,0.00,0.53,1.42,1.50,Matches
277,Rodrigo Bentancur\3b8674e6,uy URU,MF,Juventus,it Serie A,24-334,1997,12.8,59.1,58.2,0.86,0.86,0.08,8.36,1.17,0.31,0.00,0.00,0.00,0.00,48.9,3.98,6.17,10.4,45.1,2.19,0.00,0.08,51.6,0.00,0.47,1.80,1.33,Matches
278,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,eng Premier League,31-153,1990,12.5,23.2,21.5,1.68,0.08,0.08,8.64,0.48,0.16,0.00,0.00,0.00,0.00,11.8,6.00,5.36,1.44,13.8,2.48,0.24,0.32,16.2,0.24,0.64,1.04,0.56,Matches
279,Karim Benzema\70d74ece,fr FRA,FW,Real Madrid,es La Liga,34-137,1987,27.0,43.3,41.4,1.85,0.11,0.11,6.07,0.63,0.96,0.26,0.00,0.00,0.00,36.3,4.26,2.67,6.81,35.1,0.59,0.11,0.48,36.7,0.44,0.74,1.89,1.07,Matches
280,Domenico Berardi\53a0e358,it ITA,FW,Sassuolo,it Serie A,27-277,1994,28.7,45.3,41.5,3.76,1.39,0.21,9.51,2.89,1.64,1.92,1.18,0.17,0.07,28.8,6.72,9.72,37.5,4.84,1.50,0.45,0.31,32.4,0.14,0.70,1.95,2.33,Matches
281,Yuri Berchiche\b6e50615,es ESP,DF,Athletic Club,es La Liga,32-084,1990,7.3,56.2,46.3,9.86,1.51,0.00,6.71,1.64,2.47,0.00,0.00,0.00,0.00,33.8,11.5,10.8,41.5,2.60,2.33,8.36,0.14,45.3,0.41,0.55,2.33,1.64,Matches
282,Álex Berenguer\dc1c2fce,es ESP,MF,Athletic Club,es La Liga,26-305,1995,21.1,36.8,32.2,4.60,1.00,0.14,7.20,1.18,3.27,3.32,0.90,1.09,0.19,20.9,5.50,10.4,2.99,30.4,1.42,0.28,0.24,23.6,0.43,0.95,1.90,1.99,Matches
283,Bartosz Bereszyński\61b3978f,pl POL,DF,Sampdoria,it Serie A,29-297,1992,29.7,50.2,41.2,8.99,1.45,0.00,6.73,0.74,1.45,0.03,0.00,0.00,0.00,30.5,9.80,9.93,3.54,36.2,1.85,7.51,0.17,38.7,0.13,0.67,2.02,1.92,Matches
284,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,eng Premier League,31-190,1990,12.2,28.3,28.0,0.25,0.00,0.16,6.31,1.23,3.44,0.08,0.08,0.00,0.00,15.7,4.67,7.95,20.7,3.61,2.21,0.08,0.25,17.9,0.25,0.66,0.90,1.80,Matches
285,Patrick Berg\e4114f5d,no NOR,MF,Lens,fr Ligue 1,24-162,1997,3.3,60.9,60.3,0.61,0.61,0.00,8.48,2.42,0.61,0.00,0.00,0.00,0.00,44.8,6.06,10.0,7.27,51.8,0.91,0.00,0.00,50.9,0.00,1.21,1.21,0.61,Matches
286,Mitchell van Bergen\0b2c9aec,nl NED,FWMF,Reims,fr Ligue 1,22-251,1999,10.3,21.4,17.8,3.59,0.97,0.10,2.43,0.78,2.23,1.84,0.78,0.97,0.00,13.3,3.01,5.05,1.55,19.0,0.49,0.10,0.00,14.1,0.29,0.39,1.17,1.36,Matches
287,Steven Bergwijn\a29b1131,nl NED,FWMF,Tottenham,eng Premier League,24-209,1997,5.9,28.1,27.1,1.02,0.17,0.17,5.08,0.34,1.02,0.17,0.17,0.00,0.00,21.9,3.05,3.22,1.02,25.3,0.85,0.68,0.17,23.4,0.00,0.34,1.69,1.02,Matches
288,Etrit Berisha\ee833569,al ALB,GK,Torino,it Serie A,33-056,1989,7.0,32.1,20.7,11.4,3.29,0.00,1.43,0.57,0.00,0.00,0.00,0.00,0.00,9.86,1.14,21.1,19.9,5.57,0.00,0.00,4.00,15.9,0.14,1.29,0.14,0.00,Matches
289,Valon Berisha\d5575935,xk KVX,MFFW,Reims,fr Ligue 1,29-087,1993,5.1,36.3,29.8,6.47,1.76,0.00,4.51,2.75,0.98,3.92,1.18,1.37,0.59,18.4,7.06,10.8,4.31,29.4,1.18,0.00,0.78,25.1,0.39,1.37,2.55,0.39,Matches
290,Federico Bernardeschi\ee93c1a9,it ITA,MFFW,Juventus,it Serie A,28-078,1994,14.5,38.0,34.8,3.17,0.97,0.14,5.24,2.14,2.21,1.45,0.41,0.55,0.07,26.6,4.62,6.83,34.1,1.93,0.69,0.76,0.14,29.0,0.28,0.69,1.86,1.66,Matches
291,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,fr Ligue 1,25-017,1997,13.0,25.9,16.3,9.62,2.08,0.00,1.00,0.62,0.00,0.00,0.00,0.00,0.00,14.2,1.31,10.4,14.9,3.54,0.00,0.00,6.31,20.2,0.15,0.69,0.23,0.00,Matches
292,Paul Bernardoni\28dabd43,fr FRA,GK,Saint-Étienne,fr Ligue 1,25-017,1997,16.0,30.2,20.4,9.81,3.00,0.00,1.63,0.50,0.00,0.00,0.00,0.00,0.00,12.0,0.69,17.5,19.9,2.75,0.13,0.00,6.19,17.6,0.13,1.44,0.13,0.06,Matches
293,Juan Bernat\433dc9a2,es ESP,DF,Paris S-G,fr Ligue 1,29-065,1993,9.7,63.7,57.5,6.19,1.03,0.10,7.32,0.41,1.55,0.00,0.00,0.00,0.00,51.3,9.18,3.20,53.0,3.61,1.55,5.15,0.10,58.6,0.10,0.21,1.13,0.52,Matches
294,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,fr Ligue 1,23-333,1998,7.3,34.1,23.3,10.8,1.51,0.00,1.23,0.27,0.00,0.00,0.00,0.00,0.00,18.2,1.37,14.5,3.15,23.2,0.00,0.00,6.30,24.9,0.14,0.14,0.27,0.00,Matches
295,Jason Berthomier\03e91055,fr FRA,MF,Clermont Foot,fr Ligue 1,32-119,1990,19.2,72.7,64.7,8.02,3.80,0.16,10.4,2.92,2.40,4.01,1.82,1.30,0.21,52.1,7.24,13.3,64.8,5.05,2.03,0.16,0.05,59.4,0.05,1.77,2.55,1.09,Matches
296,Ryan Bertrand\01226327,eng ENG,DF,Leicester City,eng Premier League,32-273,1989,3.7,51.6,38.6,13.0,1.08,0.00,6.49,1.62,0.27,2.70,1.08,1.08,0.27,31.1,13.0,7.57,36.8,2.97,2.43,9.19,0.00,41.6,0.00,1.08,1.62,2.16,Matches
297,Daniel Bessa\88895312,it ITA,MFFW,Hellas Verona,it Serie A,29-111,1993,8.3,57.5,54.6,2.89,1.57,0.12,11.3,1.69,1.33,0.96,0.36,0.48,0.00,43.1,6.02,8.31,2.05,51.9,1.57,0.36,0.48,46.3,0.24,0.84,1.93,1.57,Matches
298,Beto\ed5c0319,gw GNB,FW,Udinese,it Serie A,24-094,1998,24.1,15.6,14.4,1.12,0.00,0.00,5.06,0.33,0.50,0.00,0.00,0.00,0.00,9.42,2.95,3.20,1.24,10.2,1.24,0.12,0.50,11.1,0.00,0.04,0.91,0.33,Matches
299,Louis Beyer\9af1f9ff,de GER,DF,M'Gladbach,de Bundesliga,21-351,2000,14.4,61.1,58.6,2.50,1.11,0.00,6.25,1.46,0.28,0.00,0.00,0.00,0.00,49.6,5.07,6.46,7.99,48.5,2.50,1.39,0.28,54.4,0.07,0.97,0.97,0.63,Matches
300,Bartosz Bialek\763b8b37,pl POL,FW,Wolfsburg,de Bundesliga,20-175,2001,1.9,20.5,20.0,0.53,0.00,0.00,6.32,1.05,0.00,0.00,0.00,0.00,0.00,8.42,5.79,6.32,1.05,17.4,1.05,0.00,0.00,11.6,0.00,0.53,2.11,2.11,Matches
301,Giulian Biancone\de40e38c,fr FRA,DF,Troyes,fr Ligue 1,22-035,2000,22.8,50.4,43.3,7.11,1.05,0.00,5.96,1.40,2.94,0.00,0.00,0.00,0.00,28.4,9.30,12.7,7.24,32.9,2.72,6.05,0.26,37.2,0.22,0.66,2.41,1.40,Matches
302,Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,eng Premier League,21-069,2001,0.5,22.0,22.0,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,14.0,4.00,4.00,6.00,14.0,2.00,0.00,0.00,16.0,0.00,0.00,0.00,0.00,Matches
303,Pedro Bigas\697295b1,es ESP,DF,Elche,es La Liga,31-232,1990,14.2,54.9,52.4,2.46,2.46,0.00,3.80,1.41,0.21,0.00,0.00,0.00,0.00,42.7,2.46,9.65,29.4,20.9,2.96,0.00,0.28,47.5,0.07,0.85,0.92,0.35,Matches
304,El Bilal Touré\47c609d5,ml MLI,FW,Reims,fr Ligue 1,20-214,2001,10.8,24.8,24.2,0.65,0.00,0.00,7.69,0.37,0.28,0.00,0.00,0.00,0.00,15.3,5.56,3.98,5.28,13.6,2.59,0.00,0.46,18.4,0.09,0.46,0.74,1.02,Matches
305,Jean-Claude Billong\a3e1d20d,cm CMR,DF,Clermont Foot,fr Ligue 1,28-128,1993,9.9,44.4,43.6,0.81,0.71,0.00,3.64,0.71,0.20,0.00,0.00,0.00,0.00,35.6,2.63,6.26,1.82,39.1,1.72,0.10,0.20,38.5,0.10,0.91,0.91,0.51,Matches
306,Luis Binks\36e88fbc,eng ENG,DF,Bologna,it Serie A,20-245,2001,6.7,45.2,42.7,2.54,2.39,0.00,4.93,1.04,0.00,0.00,0.00,0.00,0.00,30.0,4.93,10.3,35.7,3.88,3.88,0.15,0.15,37.6,0.30,0.90,0.60,1.04,Matches
307,Cristiano Biraghi\9e1577aa,it ITA,DF,Fiorentina,it Serie A,29-246,1992,32.0,74.2,57.8,16.4,3.78,0.00,5.28,3.19,4.03,3.28,0.59,2.03,0.09,43.8,13.6,16.8,57.4,5.44,1.69,9.38,0.13,59.8,0.25,0.88,2.00,1.94,Matches
308,Davide Biraschi\64cd167d,it ITA,DF,Genoa,it Serie A,27-307,1994,10.3,41.9,37.1,4.85,1.55,0.00,6.02,0.39,0.78,0.00,0.00,0.00,0.00,24.8,4.56,12.6,1.55,34.4,2.33,2.23,0.10,30.8,0.19,0.68,1.17,0.68,Matches
309,Tom Bischof\07d3bfec,de GER,MFFW,Hoffenheim,de Bundesliga,16-311,2005,0.2,40.0,40.0,0.00,0.00,0.00,15.0,0.00,5.00,0.00,0.00,0.00,0.00,30.0,5.00,5.00,25.0,5.00,10.0,0.00,0.00,25.0,0.00,10.0,0.00,0.00,Matches
310,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,eng Premier League,25-248,1996,21.0,51.5,50.5,0.95,0.86,0.05,6.95,1.14,0.24,0.00,0.00,0.00,0.00,43.9,3.62,4.00,5.14,43.9,1.38,0.10,0.24,46.2,0.05,0.33,1.29,0.71,Matches
311,Nathan Bitu Mazala\0f697e02,fr FRA,DF,Paris S-G,fr Ligue 1,19-146,2002,0.1,100.0,80.0,20.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,70.0,30.0,0.00,0.00,80.0,0.00,20.0,0.00,100.0,0.00,0.00,0.00,0.00,Matches
312,Marco Bizot\3d214e5f,nl NED,GK,Brest,fr Ligue 1,31-056,1991,35.0,31.5,19.9,11.5,2.83,0.00,1.71,0.89,0.00,0.00,0.00,0.00,0.00,13.2,0.94,17.3,2.89,22.2,0.00,0.00,4.97,21.9,0.06,0.60,0.14,0.03,Matches
313,Bjarki Bjarkason\f1d25de7,is ISL,FW,Venezia,it Serie A,21-359,2000,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,Matches
314,Blanco\506daeac,es ESP,MF,Real Madrid,es La Liga,21-286,2000,0.3,60.0,60.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.0,0.00,0.00,3.33,56.7,0.00,0.00,0.00,56.7,0.00,0.00,3.33,0.00,Matches
315,Ludovic Blas\6191093d,fr FRA,MFFW,Nantes,fr Ligue 1,24-125,1997,30.1,31.4,29.3,2.09,0.53,0.07,6.15,1.33,0.73,0.07,0.00,0.00,0.00,24.1,3.16,4.15,25.7,4.12,0.63,0.27,0.13,24.9,0.20,0.63,1.36,1.13,Matches
316,Danny Blum\eb61713c,de GER,FWMF,Bochum,de Bundesliga,31-118,1991,3.8,46.8,39.5,7.37,3.16,0.00,8.95,3.16,4.74,3.16,1.58,1.32,0.26,20.5,8.68,17.6,35.0,3.68,3.16,1.05,0.26,29.2,0.26,1.32,1.58,2.11,Matches
317,Myron Boadu\5b479568,nl NED,FW,Monaco,fr Ligue 1,21-111,2001,10.0,15.8,14.4,1.40,0.00,0.10,6.00,0.00,0.30,0.00,0.00,0.00,0.00,10.6,3.60,1.60,2.80,10.5,0.50,0.00,0.60,12.7,0.00,0.10,0.90,0.50,Matches
318,Jérôme Boateng\2db2fd7b,de GER,DF,Lyon,fr Ligue 1,33-244,1988,17.3,62.7,60.8,1.97,1.79,0.23,4.16,1.62,0.17,0.00,0.00,0.00,0.00,50.2,3.47,9.08,12.7,47.5,1.73,0.12,0.23,55.4,0.06,0.58,1.56,0.17,Matches
319,Kevin-Prince Boateng\f4ec4fd0,gh GHA,MFFW,Hertha BSC,de Bundesliga,35-060,1987,7.0,43.4,40.4,3.00,2.29,0.00,8.71,1.71,0.29,0.00,0.00,0.00,0.00,25.9,7.14,10.4,3.86,33.7,2.57,0.29,0.86,33.7,0.14,1.29,1.29,1.57,Matches
