Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
21,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25-360,1996,16.7,2.46,1.32,1.32,0.66,0.48,1.32,2.40,55.0,1.08,12.5,3.41,27.4,5.51,5.33,1.62,1.68,0.18,0.00,1.50,1.44,3.89,2.57,0.00,Matches
22,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,21-130,2000,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,Matches
23,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,20-085,2002,19.6,2.81,2.04,1.22,1.28,0.31,0.82,1.48,55.2,0.66,18.4,5.61,30.5,5.71,10.2,2.50,1.63,0.51,0.00,1.12,2.86,5.66,1.53,0.00,Matches
24,Kevin Agudelo\46fa7204,co COL,FWMF,Spezia,it Serie A,23-172,1998,11.5,2.61,1.83,1.04,1.22,0.35,0.61,1.30,46.7,0.70,28.3,6.43,22.7,5.91,15.0,7.39,1.91,0.00,0.00,1.91,1.13,3.74,0.26,0.00,Matches
25,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,26-036,1996,28.4,1.06,0.42,0.60,0.46,0.00,0.28,0.67,42.1,0.39,6.37,2.15,33.7,3.35,2.89,0.14,0.95,0.39,0.00,0.56,1.69,2.75,5.18,0.07,Matches
26,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,es La Liga,33-337,1988,1.7,0.59,0.59,0.00,0.00,0.59,0.00,0.59,0.0,0.59,10.6,2.35,22.2,0.00,4.71,5.88,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,Matches
27,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,29-009,1993,20.8,3.89,2.16,2.02,1.44,0.43,2.02,3.22,62.7,1.20,17.7,5.91,33.4,7.79,7.36,2.55,1.44,0.19,0.00,1.25,2.55,6.44,2.93,0.05,Matches
28,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,es La Liga,22-091,2000,0.1,10.0,10.0,0.00,0.00,10.0,0.00,0.00,,0.00,30.0,10.0,33.3,0.00,0.00,30.0,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,Matches
29,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,de Bundesliga,20-037,2002,0.7,0.00,0.00,0.00,0.00,0.00,0.00,1.43,0.0,1.43,24.3,8.57,35.3,5.71,14.3,4.29,2.86,0.00,0.00,2.86,0.00,0.00,2.86,0.00,Matches
30,Anel Ahmedhodzic\eab957a3,ba BIH,DF,Bordeaux,fr Ligue 1,23-040,1999,12.0,2.25,1.50,1.58,0.58,0.08,1.00,2.08,48.0,1.08,9.50,3.33,35.1,5.42,3.08,1.00,0.92,0.42,0.00,0.50,2.25,4.50,2.67,0.00,Matches
31,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,28-046,1994,9.8,1.73,0.92,0.41,1.02,0.31,0.71,1.33,53.8,0.61,18.3,4.08,22.3,4.49,10.4,3.37,0.82,0.10,0.00,0.71,2.24,3.98,1.12,0.00,Matches
32,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,26-218,1995,25.3,1.98,1.34,1.54,0.28,0.16,0.67,1.07,63.0,0.40,10.8,4.31,39.9,6.96,3.48,0.36,1.74,0.67,0.00,1.07,1.86,3.83,4.23,0.08,Matches
33,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,25-209,1996,14.0,1.71,0.86,0.71,0.79,0.21,0.86,1.36,63.2,0.50,10.1,3.43,34.0,3.50,4.07,2.50,1.57,0.21,0.00,1.36,2.14,3.86,2.21,0.00,Matches
34,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,eng Premier League,20-333,2001,16.3,3.87,2.15,2.88,0.61,0.37,1.47,2.45,60.0,0.98,20.9,6.87,32.9,12.0,5.95,2.94,1.90,0.12,0.00,1.78,1.72,5.58,1.66,0.00,Matches
35,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,eng Premier League,24-018,1998,19.5,1.85,1.03,1.23,0.46,0.15,0.92,1.59,58.1,0.67,9.49,3.33,35.1,5.13,3.08,1.28,1.74,0.67,0.05,1.08,2.26,4.10,3.79,0.05,Matches
36,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,28-069,1994,28.9,1.59,0.87,0.14,0.80,0.66,0.28,1.38,20.0,1.11,16.7,4.67,28.0,2.01,7.34,7.37,0.83,0.17,0.00,0.66,0.45,2.04,1.04,0.03,Matches
37,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,26-290,1995,23.1,2.12,1.52,1.26,0.65,0.22,0.95,1.47,64.7,0.52,9.87,4.50,45.6,5.63,3.64,0.61,1.60,0.78,0.00,0.82,1.82,3.94,2.94,0.00,Matches
38,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,29-054,1993,17.9,2.18,1.23,1.51,0.50,0.17,0.61,1.51,40.7,0.89,12.7,4.30,33.8,7.26,3.97,1.51,1.73,0.45,0.00,1.28,3.02,5.20,2.63,0.00,Matches
39,Marley Aké\414e1f69,fr FRA,FW,Juventus,it Serie A,21-120,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,30.0,0.00,0.0,0.00,10.0,20.0,0.00,0.00,0.00,0.00,10.0,10.0,0.00,0.00,Matches
