Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
263,Marco Benassi\0000acda,it ITA,MF,Empoli,it Serie A,27-239,1994,3.9,2.31,0.77,0.77,1.28,0.26,0.77,1.79,42.9,1.03,18.5,4.62,25.0,4.10,9.49,4.87,1.03,0.00,0.00,1.03,0.77,3.08,0.51,0.00,Matches
264,Darío Benedetto\bef0a7ac,ar ARG,FWMF,Marseille,fr Ligue 1,31-353,1990,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,3.33,33.3,0.00,6.67,3.33,1.67,0.00,0.00,1.67,0.00,0.00,0.00,0.00,Matches
265,Darío Benedetto\bef0a7ac,ar ARG,FW,Elche,es La Liga,31-353,1990,6.6,0.61,0.00,0.30,0.15,0.15,0.15,0.61,25.0,0.45,11.7,2.42,20.8,1.06,7.42,3.18,0.61,0.00,0.00,0.61,0.30,0.91,0.30,0.00,Matches
266,László Bénes\fe888e39,sk SVK,MF,M'Gladbach,de Bundesliga,24-238,1997,2.7,1.85,1.48,0.00,1.11,0.74,0.00,2.22,0.0,2.22,21.1,8.52,40.4,4.81,13.7,2.59,1.85,0.74,0.00,1.11,0.00,1.85,2.59,0.00,Matches
267,Walter Benítez\8a2248b4,ar ARG,GK,Nice,fr Ligue 1,29-047,1993,34.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.06,0.00,0.0,0.06,0.00,0.00,0.06,0.00,0.00,0.06,0.00,0.00,0.03,0.03,Matches
268,Iker Benito\50cbc806,es ESP,MFFW,Osasuna,es La Liga,19-268,2002,1.3,0.77,0.77,0.77,0.00,0.00,0.00,0.77,0.0,0.77,20.0,1.54,7.7,2.31,10.0,7.69,3.85,0.00,0.00,3.85,0.00,0.77,0.77,0.00,Matches
269,Loris Benito\f5b6fb78,ch SUI,DF,Bordeaux,fr Ligue 1,30-118,1992,0.7,1.43,0.00,1.43,0.00,0.00,0.00,0.00,,0.00,12.9,2.86,22.2,8.57,2.86,1.43,2.86,0.00,0.00,2.86,2.86,4.29,1.43,0.00,Matches
270,Pedro Benito\a7416105,es ESP,FW,Cádiz,es La Liga,22-039,2000,0.3,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.0,3.33,50.0,6.67,13.3,0.00,33.3,16.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
271,Ismaël Bennacer\db092d3b,dz ALG,MF,Milan,it Serie A,24-155,1997,15.9,3.08,2.33,1.51,1.32,0.25,1.13,2.83,40.0,1.70,23.8,7.67,32.2,7.86,12.3,3.71,1.13,0.25,0.00,0.88,2.52,5.60,1.07,0.00,Matches
272,Keanan Bennetts\f4c7c708,eng ENG,FWDF,M'Gladbach,de Bundesliga,23-057,1999,0.6,1.67,0.00,0.00,1.67,0.00,1.67,1.67,100.0,0.00,18.3,5.00,27.3,3.33,5.00,10.0,0.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,Matches
273,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,eng Premier League,26-268,1995,23.3,1.46,0.99,0.69,0.52,0.26,0.69,1.50,45.7,0.82,15.5,3.95,25.4,4.59,7.64,3.30,0.82,0.04,0.00,0.77,0.52,1.97,0.30,0.00,Matches
274,Ramy Bensebaini\378825c7,dz ALG,DF,M'Gladbach,de Bundesliga,27-019,1995,20.4,2.06,1.13,1.18,0.78,0.10,0.98,2.06,47.6,1.08,10.8,3.24,30.0,5.74,3.73,1.32,2.40,0.54,0.00,1.86,3.58,5.64,3.73,0.00,Matches
275,Nabil Bentaleb\3189f61a,dz ALG,MF,Angers,fr Ligue 1,27-162,1994,13.8,3.33,2.39,1.23,1.45,0.65,1.01,1.67,60.9,0.65,18.0,5.51,30.6,5.43,10.4,2.10,1.88,0.72,0.00,1.16,1.67,5.00,0.94,0.00,Matches
276,Rodrigo Bentancur\3b8674e6,uy URU,MF,Tottenham,eng Premier League,24-334,1997,11.3,2.65,1.24,1.15,1.06,0.44,0.97,2.48,39.3,1.50,23.0,5.58,24.2,8.32,12.2,2.48,2.30,0.80,0.00,1.50,1.06,3.72,1.68,0.00,Matches
277,Rodrigo Bentancur\3b8674e6,uy URU,MF,Juventus,it Serie A,24-334,1997,12.8,2.73,2.11,0.94,1.48,0.31,0.63,2.03,30.8,1.41,22.3,7.42,33.3,6.88,11.4,3.98,1.64,0.39,0.00,1.25,2.89,5.63,1.41,0.00,Matches
278,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,eng Premier League,31-153,1990,12.5,0.64,0.16,0.16,0.32,0.16,0.16,0.48,33.3,0.32,9.52,2.56,26.9,0.72,4.00,4.80,0.64,0.32,0.00,0.32,0.08,0.72,2.40,0.08,Matches
279,Karim Benzema\70d74ece,fr FRA,FW,Real Madrid,es La Liga,34-137,1987,27.0,0.37,0.19,0.07,0.19,0.11,0.07,0.33,22.2,0.26,9.15,2.74,30.0,0.63,2.81,5.70,0.37,0.00,0.00,0.37,0.26,0.63,0.56,0.00,Matches
280,Domenico Berardi\53a0e358,it ITA,FW,Sassuolo,it Serie A,27-277,1994,28.7,0.94,0.63,0.24,0.52,0.17,0.35,1.32,26.3,0.98,17.1,4.29,25.0,3.69,8.22,5.23,1.53,0.07,0.00,1.46,1.64,2.58,0.77,0.00,Matches
281,Yuri Berchiche\b6e50615,es ESP,DF,Athletic Club,es La Liga,32-084,1990,7.3,1.92,1.10,1.10,0.68,0.14,0.55,1.10,50.0,0.55,11.8,3.42,29.1,4.79,5.48,1.51,1.78,0.41,0.00,1.37,2.47,4.38,2.05,0.00,Matches
282,Álex Berenguer\dc1c2fce,es ESP,MF,Athletic Club,es La Liga,26-305,1995,21.1,1.85,1.23,0.90,0.52,0.43,0.52,1.99,26.2,1.47,24.3,5.73,23.6,5.78,11.1,7.35,2.51,0.09,0.00,2.42,0.95,2.80,0.71,0.00,Matches
283,Bartosz Bereszyński\61b3978f,pl POL,DF,Sampdoria,it Serie A,29-297,1992,29.7,2.15,1.21,1.08,0.71,0.37,0.81,1.99,40.7,1.18,15.2,5.19,34.1,5.62,6.73,2.86,2.29,0.37,0.00,1.92,1.72,3.87,1.92,0.10,Matches
284,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,eng Premier League,31-190,1990,12.2,1.56,0.74,0.82,0.57,0.16,0.74,1.64,45.0,0.90,13.9,3.61,25.9,4.02,5.66,4.26,1.48,0.16,0.00,1.31,1.39,2.95,1.72,0.00,Matches
285,Patrick Berg\e4114f5d,no NOR,MF,Lens,fr Ligue 1,24-162,1997,3.3,3.94,2.12,1.52,2.42,0.00,1.52,3.33,45.5,1.82,25.2,8.18,32.5,9.39,13.6,2.12,1.82,0.30,0.00,1.52,2.42,6.36,2.12,0.00,Matches
286,Mitchell van Bergen\0b2c9aec,nl NED,FWMF,Reims,fr Ligue 1,22-251,1999,10.3,0.58,0.29,0.49,0.00,0.10,0.29,1.36,21.4,1.07,21.7,5.34,24.7,3.69,10.6,7.38,1.65,0.10,0.00,1.55,0.58,1.17,0.29,0.00,Matches
287,Steven Bergwijn\a29b1131,nl NED,FWMF,Tottenham,eng Premier League,24-209,1997,5.9,0.85,0.68,0.34,0.17,0.34,0.17,1.02,16.7,0.85,13.1,2.20,16.9,2.20,5.76,5.08,0.68,0.00,0.00,0.68,0.68,1.53,1.53,0.00,Matches
288,Etrit Berisha\ee833569,al ALB,GK,Torino,it Serie A,33-056,1989,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.71,0.00,0.0,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,Matches
289,Valon Berisha\d5575935,xk KVX,MFFW,Reims,fr Ligue 1,29-087,1993,5.1,2.35,1.18,0.39,1.76,0.20,0.39,1.76,22.2,1.37,29.6,5.49,18.5,4.71,16.9,8.04,1.37,0.00,0.00,1.37,1.96,4.31,0.98,0.00,Matches
290,Federico Bernardeschi\ee93c1a9,it ITA,MFFW,Juventus,it Serie A,28-078,1994,14.5,1.10,0.90,0.41,0.41,0.28,0.34,0.83,41.7,0.48,14.6,4.69,32.2,4.62,6.34,3.59,1.45,0.28,0.00,1.17,0.69,1.79,0.34,0.07,Matches
291,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,fr Ligue 1,25-017,1997,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.15,0.15,100.0,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,Matches
292,Paul Bernardoni\28dabd43,fr FRA,GK,Saint-Étienne,fr Ligue 1,25-017,1997,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
293,Juan Bernat\433dc9a2,es ESP,DF,Paris S-G,fr Ligue 1,29-065,1993,9.7,2.37,1.55,0.82,1.03,0.52,1.03,1.75,58.8,0.72,11.0,3.51,31.8,4.02,4.12,2.89,1.65,0.00,0.00,1.65,1.03,3.40,1.55,0.00,Matches
294,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,fr Ligue 1,23-333,1998,7.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
295,Jason Berthomier\03e91055,fr FRA,MF,Clermont Foot,fr Ligue 1,32-119,1990,19.2,1.51,1.15,0.26,0.99,0.26,0.63,1.82,34.3,1.20,17.8,6.61,37.1,3.70,9.74,4.38,0.99,0.10,0.00,0.89,0.52,2.03,0.26,0.00,Matches
296,Ryan Bertrand\01226327,eng ENG,DF,Leicester City,eng Premier League,32-273,1989,3.7,2.43,1.08,0.27,1.89,0.27,1.08,1.35,80.0,0.27,20.3,6.76,33.3,10.8,6.49,2.97,2.97,0.81,0.00,2.16,0.81,3.24,1.89,0.00,Matches
297,Daniel Bessa\88895312,it ITA,MFFW,Hellas Verona,it Serie A,29-111,1993,8.3,1.69,1.33,0.60,0.84,0.24,0.48,1.08,44.4,0.60,18.0,5.90,32.9,4.46,10.2,3.25,2.17,0.36,0.00,1.81,0.96,2.65,1.57,0.00,Matches
298,Beto\ed5c0319,gw GNB,FW,Udinese,it Serie A,24-094,1998,24.1,0.66,0.33,0.08,0.41,0.17,0.17,0.50,33.3,0.33,15.3,4.02,26.3,0.87,7.51,6.93,1.04,0.08,0.00,0.95,0.37,1.04,0.95,0.00,Matches
299,Louis Beyer\9af1f9ff,de GER,DF,M'Gladbach,de Bundesliga,21-351,2000,14.4,3.06,1.25,2.01,0.90,0.14,1.32,3.06,43.2,1.74,11.9,4.03,33.7,6.88,4.58,0.49,1.88,0.42,0.00,1.46,1.74,4.79,3.54,0.00,Matches
300,Bartosz Bialek\763b8b37,pl POL,FW,Wolfsburg,de Bundesliga,20-175,2001,1.9,0.53,0.53,0.00,0.53,0.00,0.00,1.05,0.0,1.05,27.4,7.89,28.8,0.00,15.3,12.1,0.00,0.00,0.00,0.00,0.00,0.53,1.05,0.00,Matches
301,Giulian Biancone\de40e38c,fr FRA,DF,Troyes,fr Ligue 1,22-035,2000,22.8,2.63,1.40,1.62,0.79,0.22,0.92,2.02,45.7,1.10,16.3,5.35,32.9,8.25,6.05,1.97,1.71,0.35,0.00,1.36,2.72,5.35,2.81,0.04,Matches
302,Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,eng Premier League,21-069,2001,0.5,8.00,4.00,4.00,4.00,0.00,0.00,4.00,0.0,4.00,38.0,16.0,42.1,24.0,14.0,0.00,2.00,0.00,0.00,2.00,2.00,10.0,4.00,0.00,Matches
303,Pedro Bigas\697295b1,es ESP,DF,Elche,es La Liga,31-232,1990,14.2,1.34,1.06,1.13,0.14,0.07,0.49,1.06,46.7,0.56,8.52,2.75,32.2,5.77,2.39,0.35,1.41,0.92,0.00,0.49,2.04,3.38,5.00,0.07,Matches
304,El Bilal Touré\47c609d5,ml MLI,FW,Reims,fr Ligue 1,20-214,2001,10.8,1.57,1.02,0.19,0.93,0.46,0.28,0.56,50.0,0.28,16.9,4.26,25.3,2.87,8.15,5.83,1.48,0.28,0.00,1.20,0.46,2.04,1.11,0.00,Matches
305,Jean-Claude Billong\a3e1d20d,cm CMR,DF,Clermont Foot,fr Ligue 1,28-128,1993,9.9,1.62,1.21,1.31,0.20,0.10,0.51,0.91,55.6,0.40,7.98,3.74,46.8,4.85,2.83,0.30,0.91,0.20,0.00,0.71,1.62,3.23,3.33,0.00,Matches
306,Luis Binks\36e88fbc,eng ENG,DF,Bologna,it Serie A,20-245,2001,6.7,1.19,0.45,0.75,0.30,0.15,0.60,0.75,80.0,0.15,9.70,3.43,35.4,5.97,3.28,0.45,1.79,0.60,0.00,1.19,2.99,4.18,5.67,0.00,Matches
307,Cristiano Biraghi\9e1577aa,it ITA,DF,Fiorentina,it Serie A,29-246,1992,32.0,1.16,0.56,0.66,0.38,0.13,0.59,1.38,43.2,0.78,8.78,3.03,34.5,2.63,4.34,1.81,1.41,0.31,0.00,1.09,1.06,2.22,0.88,0.09,Matches
308,Davide Biraschi\64cd167d,it ITA,DF,Genoa,it Serie A,27-307,1994,10.3,3.30,1.75,1.94,0.97,0.39,1.55,2.82,55.2,1.26,16.2,6.50,40.1,9.22,5.83,1.17,2.43,0.97,0.00,1.46,1.36,4.66,3.30,0.00,Matches
309,Tom Bischof\07d3bfec,de GER,MFFW,Hoffenheim,de Bundesliga,16-311,2005,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20.0,10.0,50.0,10.0,0.00,10.0,10.0,0.00,0.00,10.0,0.00,0.00,5.00,0.00,Matches
310,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,eng Premier League,25-248,1996,21.0,3.29,2.24,1.57,1.57,0.14,0.81,1.48,54.8,0.67,17.3,6.24,36.1,6.71,8.43,2.14,1.62,0.24,0.00,1.38,2.38,5.67,1.95,0.00,Matches
311,Nathan Bitu Mazala\0f697e02,fr FRA,DF,Paris S-G,fr Ligue 1,19-146,2002,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,0.00,0.0,0.00,10.0,0.00,10.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,Matches
312,Marco Bizot\3d214e5f,nl NED,GK,Brest,fr Ligue 1,31-056,1991,35.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.06,0.03,50.0,0.06,0.00,0.00,0.03,0.00,0.00,0.03,0.03,0.03,0.00,0.00,Matches
313,Bjarki Bjarkason\f1d25de7,is ISL,FW,Venezia,it Serie A,21-359,2000,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
314,Blanco\506daeac,es ESP,MF,Real Madrid,es La Liga,21-286,2000,0.3,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.0,3.33,30.0,6.67,22.2,20.0,10.0,0.00,3.33,3.33,0.00,0.00,6.67,6.67,3.33,3.33,Matches
315,Ludovic Blas\6191093d,fr FRA,MFFW,Nantes,fr Ligue 1,24-125,1997,30.1,1.10,0.73,0.20,0.66,0.23,0.40,0.90,44.4,0.50,16.9,5.05,29.9,2.39,8.47,6.01,0.80,0.10,0.00,0.70,1.26,2.36,0.17,0.03,Matches
316,Danny Blum\eb61713c,de GER,FWMF,Bochum,de Bundesliga,31-118,1991,3.8,0.53,0.26,0.00,0.26,0.26,0.00,0.53,0.0,0.53,16.1,3.68,23.0,3.16,6.32,6.58,0.26,0.00,0.00,0.26,1.32,1.84,0.53,0.00,Matches
317,Myron Boadu\5b479568,nl NED,FW,Monaco,fr Ligue 1,21-111,2001,10.0,0.90,0.60,0.20,0.30,0.40,0.10,0.50,20.0,0.40,19.7,4.70,23.9,1.80,7.40,10.5,0.60,0.00,0.00,0.60,0.20,1.10,0.10,0.00,Matches
318,Jérôme Boateng\2db2fd7b,de GER,DF,Lyon,fr Ligue 1,33-244,1988,17.3,1.27,0.87,0.69,0.58,0.00,0.52,1.10,47.4,0.58,6.07,2.37,39.0,2.49,3.29,0.29,1.39,0.52,0.06,0.87,1.91,3.18,3.99,0.00,Matches
319,Kevin-Prince Boateng\f4ec4fd0,gh GHA,MFFW,Hertha BSC,de Bundesliga,35-060,1987,7.0,1.14,0.57,0.14,0.71,0.29,0.43,1.14,37.5,0.71,10.3,2.00,19.4,1.57,6.57,2.14,1.43,0.29,0.00,1.14,1.14,2.29,2.14,0.00,Matches
320,Antonin Bobichon\7d937aa1,fr FRA,MFFW,Angers,fr Ligue 1,26-233,1995,0.4,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.0,2.50,22.5,0.00,0.0,0.00,20.0,2.50,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,Matches
321,Herbert Bockhorn\5ad8c360,de GER,DF,Bochum,de Bundesliga,27-094,1995,8.4,2.74,1.67,1.43,1.07,0.24,0.83,2.02,41.2,1.19,19.2,4.64,24.2,7.50,8.81,2.86,2.14,0.12,0.00,2.02,2.86,5.60,2.74,0.00,Matches
322,Jean-Paul Boëtius\635f2732,nl NED,MF,Mainz 05,de Bundesliga,28-044,1994,19.0,2.42,1.47,1.00,1.00,0.42,1.16,2.89,40.0,1.74,22.6,7.89,35.0,6.05,12.3,4.21,2.11,0.16,0.00,1.95,1.26,3.68,0.53,0.00,Matches
323,Jeremie Boga\fe012aca,ci CIV,FWMF,Atalanta,it Serie A,25-122,1997,6.9,0.58,0.58,0.14,0.29,0.14,0.29,1.45,20.0,1.16,12.9,3.62,28.1,1.59,7.10,4.20,0.87,0.00,0.00,0.87,0.58,1.16,0.43,0.00,Matches
324,Jeremie Boga\fe012aca,ci CIV,FWMF,Sassuolo,it Serie A,25-122,1997,7.4,0.95,0.41,0.14,0.27,0.54,0.27,0.54,50.0,0.27,8.78,2.43,27.7,1.76,3.51,3.51,1.35,0.00,0.00,1.35,0.41,1.35,0.14,0.27,Matches
325,Luka Bogdan\cb678320,hr CRO,DF,Salernitana,it Serie A,26-040,1996,4.4,1.36,0.91,1.36,0.00,0.00,0.45,1.36,33.3,0.91,8.18,1.82,22.2,6.59,1.14,0.45,1.14,0.45,0.00,0.68,3.41,4.77,4.32,0.00,Matches
326,Emil Bohinen\c83c203f,no NOR,MF,Salernitana,it Serie A,23-054,1999,5.4,2.04,1.30,0.74,1.30,0.00,0.56,2.78,20.0,2.22,22.0,6.48,29.4,7.04,10.7,4.26,2.59,0.37,0.00,2.22,2.59,4.63,2.41,0.00,Matches
327,Quentin Boisgard\f6496133,fr FRA,MFFW,Lorient,fr Ligue 1,25-049,1997,10.5,1.52,1.33,0.67,0.67,0.19,0.19,1.33,14.3,1.14,18.6,5.33,28.7,3.71,9.24,5.62,1.05,0.00,0.00,1.05,0.86,2.38,0.29,0.00,Matches
328,Charles Boli\bbdd999a,fr FRA,MF,Lens,fr Ligue 1,23-248,1998,0.4,7.50,5.00,2.50,5.00,0.00,2.50,2.50,100.0,0.00,10.0,5.00,50.0,2.50,7.50,0.00,0.00,0.00,0.00,0.00,0.00,7.50,0.00,0.00,Matches
329,Willy Boly\a4ac4b8f,ci CIV,DF,Wolves,eng Premier League,31-091,1991,6.0,2.83,2.33,2.00,0.83,0.00,0.50,1.17,42.9,0.67,10.7,4.50,42.2,6.33,3.83,0.50,2.00,0.33,0.00,1.67,2.17,5.00,4.00,0.00,Matches
330,Giacomo Bonaventura\d995ed27,it ITA,MF,Fiorentina,it Serie A,32-256,1989,22.4,1.16,0.67,0.36,0.58,0.22,0.63,1.56,40.0,0.94,14.4,3.97,27.6,2.54,6.65,5.22,0.80,0.09,0.00,0.71,1.12,2.28,0.40,0.04,Matches
331,Federico Bonazzoli\bf57eaab,it ITA,FWMF,Salernitana,it Serie A,24-349,1997,18.5,1.14,0.76,0.43,0.38,0.32,0.32,0.97,33.3,0.65,14.6,3.08,21.0,2.49,7.30,4.86,0.81,0.05,0.00,0.76,0.43,1.57,0.32,0.00,Matches
332,Tarsis Bonga\6ebbc28a,de GER,FW,Bochum,de Bundesliga,25-115,1997,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,30.0,0.00,0.0,10.0,10.0,10.0,0.00,0.00,0.00,0.00,20.0,20.0,0.00,0.00,Matches
333,Kevin Bonifazi\fb77bfef,it ITA,DF,Bologna,it Serie A,25-351,1996,12.5,2.00,1.52,1.20,0.56,0.24,0.88,1.44,61.1,0.56,10.8,4.08,37.8,5.68,4.08,1.04,1.76,0.48,0.00,1.28,1.76,3.76,3.92,0.00,Matches
334,Solomon Bonnah\dd7b6eb8,nl NED,DF,RB Leipzig,de Bundesliga,18-259,2003,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,40.0,20.0,50.0,0.00,0.00,40.0,10.0,0.00,0.00,10.0,20.0,20.0,0.00,0.00,Matches
335,Leonardo Bonucci\52ec54d0,it ITA,DF,Juventus,it Serie A,35-004,1987,19.3,0.73,0.26,0.31,0.41,0.00,0.41,0.47,88.9,0.05,4.46,1.61,36.0,2.07,2.23,0.16,1.66,0.83,0.00,0.83,1.55,2.28,3.63,0.05,Matches
336,Sebastiaan Bornauw\01834aa0,be BEL,DF,Wolfsburg,de Bundesliga,23-044,1999,22.3,1.43,0.99,0.94,0.49,0.00,0.58,1.03,56.5,0.45,9.87,3.77,38.2,6.64,2.96,0.27,1.88,0.40,0.00,1.48,1.97,3.41,4.57,0.00,Matches
337,Rafael Borré\c68da769,co COL,FW,Eint Frankfurt,de Bundesliga,26-232,1995,25.4,1.30,1.02,0.24,0.55,0.51,0.24,1.02,23.1,0.79,25.9,7.76,30.0,1.93,10.7,13.2,1.02,0.12,0.00,0.91,0.20,1.50,0.35,0.00,Matches
338,Sven Botman\ccce7025,nl NED,DF,Lille,fr Ligue 1,22-113,2000,23.0,1.52,1.04,0.91,0.61,0.00,0.39,0.91,42.9,0.52,7.22,2.87,39.8,4.65,2.48,0.09,2.00,0.87,0.00,1.13,1.39,2.91,5.04,0.04,Matches
339,Denis Bouanga\0b0cbe5b,ga GAB,FWMF,Saint-Étienne,fr Ligue 1,27-175,1994,24.2,1.86,1.07,0.62,0.62,0.62,0.62,2.23,27.8,1.61,24.3,6.20,25.5,4.30,10.3,9.71,1.40,0.00,0.00,1.40,0.50,2.36,1.40,0.04,Matches
340,Hicham Boudaoui\f9d5908e,dz ALG,MF,Nice,fr Ligue 1,22-224,1999,16.6,1.93,1.14,1.08,0.54,0.30,0.84,2.23,37.8,1.39,21.4,5.60,26.2,6.02,10.1,5.24,1.75,0.24,0.12,1.51,1.51,3.43,0.96,0.00,Matches
341,Ryad Boudebouz\1001ae82,dz ALG,MFFW,Saint-Étienne,fr Ligue 1,32-075,1990,23.6,1.19,0.76,0.34,0.59,0.25,0.38,1.36,28.1,0.97,15.0,4.66,31.2,2.25,7.80,4.92,0.89,0.08,0.00,0.81,0.76,1.95,0.47,0.04,Matches
342,Sofiane Boufal\b0c71810,ma MAR,FWMF,Angers,fr Ligue 1,28-230,1993,25.9,1.81,1.24,0.62,0.81,0.39,0.62,1.35,45.7,0.73,17.0,4.09,24.0,2.74,8.26,6.02,0.93,0.08,0.00,0.85,0.42,2.24,0.15,0.00,Matches
343,Farid Boulaya\a0791826,dz ALG,MFFW,Metz,fr Ligue 1,29-069,1993,15.1,0.99,0.53,0.40,0.46,0.13,0.60,2.05,29.0,1.46,12.8,3.38,26.4,2.78,6.49,3.51,1.39,0.13,0.00,1.26,1.19,2.19,0.13,0.00,Matches
344,Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,es La Liga,31-030,1991,28.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.04,0.00,0.0,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,Matches
345,Ismaëlben Boura\62e02107,fr FRA,DF,Lens,fr Ligue 1,21-264,2000,1.1,1.82,0.00,0.91,0.91,0.00,0.00,0.00,,0.00,10.9,2.73,25.0,5.45,3.64,1.82,1.82,0.91,0.00,0.91,1.82,3.64,5.45,0.00,Matches
346,Mehdi Bourabia\0d077b88,ma MAR,MF,Spezia,it Serie A,30-271,1991,3.1,1.61,0.65,0.65,0.97,0.00,0.32,2.90,11.1,2.58,19.4,4.52,23.3,6.13,11.6,1.61,3.87,2.58,0.00,1.29,1.94,3.55,2.58,0.32,Matches
347,Benjamin Bourigeaud\20e73fac,fr FRA,FWMF,Rennes,fr Ligue 1,28-111,1994,32.9,1.28,0.55,0.36,0.58,0.33,0.67,2.10,31.9,1.43,16.5,4.07,24.7,3.83,6.90,5.74,1.58,0.09,0.00,1.49,1.40,2.67,1.28,0.00,Matches
348,Redwan Bourles\5c7895a0,fr FRA,MFFW,Lorient,fr Ligue 1,19-123,2003,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,25.0,5.00,20.0,10.0,0.00,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
349,Edoardo Bove\ae94a6c5,it ITA,MFFW,Roma,it Serie A,19-354,2002,0.8,1.25,1.25,1.25,0.00,0.00,0.00,1.25,0.0,1.25,30.0,11.3,37.5,10.0,11.3,8.75,2.50,0.00,0.00,2.50,2.50,3.75,1.25,0.00,Matches
350,Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,eng Premier League,25-136,1996,30.1,1.20,0.76,0.60,0.40,0.20,0.50,1.46,34.1,0.96,16.9,3.59,21.2,4.88,7.38,4.68,1.56,0.07,0.00,1.50,1.16,2.36,0.13,0.00,Matches
351,Dedryck Boyata\7c473e12,be BEL,DF,Hertha BSC,de Bundesliga,31-158,1990,19.1,0.84,0.58,0.52,0.26,0.05,0.31,0.52,60.0,0.21,4.40,1.41,32.1,2.88,1.41,0.10,1.47,0.68,0.00,0.79,1.05,1.88,6.60,0.10,Matches
352,Lucas Boyé\d49f3e6b,ar ARG,FW,Elche,es La Liga,26-066,1996,18.4,1.47,0.87,0.22,0.92,0.33,0.38,0.92,41.2,0.54,17.4,4.35,25.0,1.41,9.89,6.09,1.20,0.11,0.00,1.09,0.54,2.01,0.92,0.00,Matches
353,Domagoj Bradarić\8bbe2df5,hr CRO,DFMF,Lille,fr Ligue 1,22-146,1999,4.1,2.44,1.46,0.98,0.98,0.49,1.22,2.68,45.5,1.46,14.6,6.10,41.7,5.61,7.07,1.95,1.95,0.49,0.00,1.46,2.93,5.37,2.44,0.00,Matches
354,Bilal Brahimi\02bcaf8e,fr FRA,FWDF,Angers,fr Ligue 1,22-052,2000,3.8,0.79,0.26,0.00,0.53,0.26,0.53,1.05,50.0,0.53,13.9,3.95,28.3,2.63,6.58,4.74,0.26,0.00,0.00,0.26,0.53,1.32,0.26,0.00,Matches
355,Bilal Brahimi\02bcaf8e,fr FRA,MF,Nice,fr Ligue 1,22-052,2000,2.6,0.38,0.38,0.00,0.38,0.00,0.00,0.00,,0.00,22.7,6.54,28.8,6.92,9.23,6.54,0.00,0.00,0.00,0.00,0.38,0.77,0.38,0.00,Matches
356,Martin Braithwaite\fd771f95,dk DEN,FW,Barcelona,es La Liga,30-334,1991,2.6,0.38,0.38,0.00,0.00,0.38,0.00,0.00,,0.00,12.3,5.77,46.9,1.15,3.85,7.31,1.54,0.00,0.00,1.54,0.00,0.38,1.54,0.00,Matches
