Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
21,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25-360,1996,16.7,54.6,2.87,16.9,26.5,13.5,0.60,44.4,0.84,1.14,73.7,0.84,0.06,26.0,102.3,60.6,2.63,0.96,0.06,0.48,0.54,30.2,26.0,85.9,1.08,Matches
22,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,21-130,2000,4.0,23.8,18.8,23.8,0.00,0.00,0.00,15.3,0.00,0.00,,0.00,0.00,9.50,39.8,18.8,0.00,0.00,0.00,0.00,0.00,6.50,6.25,96.2,0.00,Matches
23,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,20-085,2002,19.6,58.1,2.81,17.5,33.5,10.5,1.73,56.7,1.02,1.43,71.4,1.07,0.10,37.2,175.3,86.9,2.60,0.77,0.20,0.46,1.07,38.4,35.9,93.6,1.43,Matches
24,Kevin Agudelo\46fa7204,co COL,FWMF,Spezia,it Serie A,23-172,1998,11.5,43.2,0.61,6.61,22.3,19.7,2.87,42.3,2.17,4.09,53.2,2.26,0.09,33.4,197.0,118.8,5.57,2.43,0.78,1.57,3.65,36.3,27.8,76.7,4.61,Matches
25,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,26-036,1996,28.4,82.3,9.65,41.8,43.4,1.97,1.23,80.2,0.18,0.21,83.3,0.18,0.00,58.4,287.2,154.4,2.54,0.18,0.00,0.25,0.21,63.3,62.4,98.6,0.07,Matches
26,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,es La Liga,33-337,1988,1.7,34.7,0.00,0.59,16.5,19.4,8.82,33.5,0.59,0.59,100.0,0.59,0.00,22.4,139.4,64.7,4.12,1.18,1.18,2.94,1.18,45.9,31.2,67.9,9.41,Matches
27,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,29-009,1993,20.8,86.4,3.61,23.1,46.1,21.9,1.20,74.9,0.38,0.72,53.3,0.48,0.00,50.6,236.8,142.9,6.63,1.88,0.14,0.67,0.43,56.8,52.7,92.8,2.31,Matches
28,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,es La Liga,22-091,2000,0.1,30.0,0.00,10.0,10.0,10.0,0.00,30.0,0.00,0.00,,0.00,0.00,10.0,20.0,20.0,0.00,0.00,0.00,0.00,0.00,10.0,10.0,100.0,0.00,Matches
29,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,de Bundesliga,20-037,2002,0.7,55.7,0.00,8.57,40.0,10.0,0.00,55.7,0.00,0.00,,0.00,0.00,48.6,232.9,104.3,4.29,0.00,0.00,0.00,1.43,50.0,45.7,91.4,1.43,Matches
30,Anel Ahmedhodzic\eab957a3,ba BIH,DF,Bordeaux,fr Ligue 1,23-040,1999,12.0,66.3,9.00,34.1,32.8,4.67,1.25,64.7,0.00,0.17,0.0,0.08,0.00,43.3,266.7,156.6,3.83,0.67,0.42,0.33,0.33,45.1,44.4,98.5,0.25,Matches
31,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,28-046,1994,9.8,49.6,1.22,8.37,31.3,13.2,1.73,48.8,1.02,1.84,55.6,1.22,0.10,32.6,162.7,80.0,3.88,1.22,0.20,1.73,1.12,36.0,31.3,87.0,4.18,Matches
