Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
575,Lassana Coulibaly\85a44ecc,ml MLI,MF,Salernitana,it Serie A,26-025,1996,23.2,44.2,2.76,11.9,26.3,9.83,0.60,43.4,1.47,2.72,54.0,1.59,0.13,30.0,199.4,93.0,4.09,1.21,0.04,0.86,0.69,29.1,24.8,85.3,1.12,Matches
576,Mamadou Coulibaly\c976160c,sn SEN,MFFW,Salernitana,it Serie A,23-091,1999,8.3,48.7,2.05,12.7,25.9,14.8,1.57,48.3,1.69,2.05,82.4,1.69,0.12,32.9,207.6,100.2,4.22,2.05,0.36,1.20,1.93,34.6,27.0,78.0,3.01,Matches
577,Tanguy Coulibaly\05ba9d7c,fr FRA,DFFW,Stuttgart,de Bundesliga,21-076,2001,11.6,42.7,0.78,8.62,18.5,18.1,2.59,38.7,1.64,3.62,45.2,1.98,0.26,30.7,140.3,75.6,3.71,0.95,0.60,3.19,1.55,39.8,27.0,67.7,5.60,Matches
578,Thibaut Courtois\1840e36d,be BEL,GK,Real Madrid,es La Liga,29-359,1992,34.0,33.5,30.2,33.4,0.09,0.00,0.00,26.6,0.00,0.00,,0.00,0.00,18.3,81.1,39.4,0.00,0.00,0.00,0.00,0.00,18.6,18.4,99.0,0.00,Matches
579,Philippe Coutinho\0ef89a37,br BRA,MFFW,Barcelona,es La Liga,29-327,1992,5.6,75.2,0.89,4.82,34.3,43.9,4.64,72.0,2.14,3.57,60.0,2.14,0.71,58.2,299.6,165.2,9.46,3.93,0.89,2.14,3.93,72.9,62.5,85.8,9.46,Matches
580,Philippe Coutinho\0ef89a37,br BRA,MFFW,Aston Villa,eng Premier League,29-327,1992,11.9,52.4,0.34,4.79,27.6,24.5,3.61,49.7,2.10,3.19,65.8,2.18,0.34,41.1,213.2,123.5,6.81,2.77,0.92,2.52,1.85,49.2,40.0,81.4,4.96,Matches
581,Nicolas Cozza\8f325097,fr FRA,DF,Montpellier,fr Ligue 1,23-117,1999,28.0,56.6,6.82,29.4,24.4,7.50,1.14,52.0,0.43,0.68,63.2,0.43,0.00,34.1,221.3,101.8,2.89,0.86,0.21,0.89,0.57,36.0,33.9,94.0,0.61,Matches
582,Alessio Cragno\f554e29b,it ITA,GK,Cagliari,it Serie A,27-311,1994,32.0,37.9,33.3,37.8,0.25,0.00,0.00,24.8,0.00,0.00,,0.00,0.00,16.3,89.1,54.6,0.00,0.00,0.00,0.03,0.03,14.8,14.8,99.6,0.00,Matches
583,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,eng Premier League,32-141,1989,27.3,76.8,4.36,23.2,36.9,21.0,0.95,64.8,0.11,0.48,23.1,0.11,0.11,46.7,202.4,102.2,3.77,1.68,0.07,0.29,0.40,51.1,49.1,96.1,0.95,Matches
584,Charlie Cresswell\4654e5f5,eng ENG,DF,Leeds United,eng Premier League,19-149,2002,1.6,75.0,12.5,49.4,29.4,2.50,0.63,74.4,0.63,0.63,100.0,0.63,0.00,45.0,345.0,220.6,1.88,0.00,0.00,1.25,0.00,48.8,48.8,100.0,0.63,Matches
585,Domenico Criscito\35dd6d80,it ITA,DF,Genoa,it Serie A,35-126,1986,15.2,66.5,7.11,27.6,31.1,12.0,0.86,58.6,0.33,0.46,71.4,0.33,0.00,37.2,203.4,117.2,3.82,1.58,0.07,0.46,0.39,36.6,35.6,97.3,0.33,Matches
586,Bryan Cristante\16657b95,it ITA,MF,Roma,it Serie A,27-063,1995,27.4,69.1,3.03,17.6,45.8,9.93,1.35,67.0,0.47,0.69,68.4,0.51,0.00,42.2,225.4,106.6,4.53,1.17,0.00,0.22,0.91,49.6,47.4,95.5,0.80,Matches
587,Cristo\ad81ba78,es ESP,DF,Real Sociedad,es La Liga,22-005,2000,0.2,75.0,0.00,25.0,30.0,25.0,0.00,60.0,0.00,10.0,0.0,0.00,0.00,55.0,280.0,200.0,10.0,5.00,0.00,0.00,0.00,45.0,40.0,88.9,0.00,Matches
588,Enzo Crivelli\06f33dc8,fr FRA,FW,Saint-Étienne,fr Ligue 1,27-088,1995,0.3,20.0,0.00,0.00,13.3,6.67,3.33,13.3,0.00,0.00,,0.00,0.00,6.67,16.7,0.00,0.00,0.00,0.00,3.33,0.00,23.3,13.3,57.1,6.67,Matches
589,Domen Črnigoj\22cd43d2,si SVN,MFDF,Venezia,it Serie A,26-168,1995,18.2,45.5,2.97,12.5,22.7,13.4,2.03,44.1,0.71,1.54,46.4,0.82,0.22,26.6,134.8,63.2,2.75,1.04,0.49,1.32,1.37,33.2,27.3,82.0,2.75,Matches
590,Giovanni Crociata\8c964914,it ITA,FW,Empoli,it Serie A,24-267,1997,0.2,55.0,0.00,0.00,20.0,40.0,5.00,55.0,0.00,5.00,0.0,0.00,0.00,45.0,415.0,190.0,10.0,0.00,0.00,0.00,0.00,50.0,45.0,90.0,0.00,Matches
591,Juan Cruz Armada\a56da3ba,es ESP,DF,Osasuna,es La Liga,29-281,1992,18.5,47.2,5.62,22.0,25.8,1.57,0.27,43.8,0.38,0.49,77.8,0.38,0.05,28.0,165.1,72.1,1.68,0.16,0.00,0.00,0.32,26.9,26.4,98.2,0.16,Matches
592,Juan Cuadrado\0ab1f153,co COL,DFMF,Juventus,it Serie A,33-344,1988,26.0,79.7,2.46,19.2,40.3,26.3,2.81,72.2,1.42,2.54,56.1,1.54,0.04,55.9,269.5,170.6,7.46,2.19,1.04,1.31,1.08,61.8,56.5,91.5,3.35,Matches
593,Cucho\71b47ab9,co COL,FWMF,Watford,eng Premier League,23-015,1999,12.5,44.4,1.36,7.20,18.2,22.7,3.04,40.9,1.84,3.36,54.8,2.00,0.00,29.2,157.0,86.2,4.40,1.52,0.56,2.24,1.36,42.2,28.6,67.9,4.48,Matches
594,Marc Cucurella\1daec722,es ESP,FWDF,Getafe,es La Liga,23-287,1998,0.3,80.0,0.00,6.67,20.0,60.0,6.67,70.0,3.33,3.33,100.0,3.33,0.00,60.0,500.0,353.3,13.3,6.67,3.33,0.00,0.00,53.3,43.3,81.3,6.67,Matches
595,Marc Cucurella\1daec722,es ESP,DF,Brighton,eng Premier League,23-287,1998,31.3,79.4,3.42,21.9,35.8,27.2,1.76,68.8,0.89,1.73,51.9,0.96,0.26,50.0,243.9,155.5,6.10,1.95,0.26,0.70,0.93,54.3,49.0,90.2,1.98,Matches
596,Jorge Cuenca\0abc51f2,es ESP,DF,Getafe,es La Liga,22-169,1999,25.8,48.0,5.78,25.0,22.4,1.98,1.09,46.0,0.23,0.27,85.7,0.23,0.00,22.8,97.8,41.6,1.16,0.19,0.00,0.43,0.23,24.5,23.6,96.4,0.12,Matches
597,Mickaël Cuisance\5722eced,fr FRA,MF,Bayern Munich,de Bundesliga,22-262,1999,0.1,130.0,0.00,40.0,70.0,30.0,20.0,130.0,10.0,20.0,50.0,10.0,0.00,90.0,920.0,340.0,10.0,0.00,0.00,0.00,10.0,130.0,100.0,76.9,10.0,Matches
598,Mickaël Cuisance\5722eced,fr FRA,MF,Venezia,it Serie A,22-262,1999,8.5,47.1,0.24,10.9,26.8,12.6,0.71,44.8,1.76,2.82,62.5,2.00,0.35,32.9,153.9,65.5,3.18,0.94,0.12,0.82,2.82,33.5,29.3,87.4,2.35,Matches
599,Luke Cundle\cc3b8e78,eng ENG,MF,Wolves,eng Premier League,20-009,2002,1.9,61.6,2.63,17.4,34.2,14.2,0.53,60.0,0.00,0.53,0.0,0.00,0.00,43.2,173.2,84.2,4.21,2.11,0.00,0.00,0.53,47.4,45.3,95.6,2.11,Matches
600,Matheus Cunha\dc62b55d,br BRA,FW,Hertha BSC,de Bundesliga,22-343,1999,0.7,38.6,0.00,4.29,24.3,14.3,5.71,32.9,2.86,2.86,100.0,2.86,0.00,27.1,90.0,47.1,4.29,1.43,0.00,2.86,7.14,40.0,21.4,53.6,2.86,Matches
601,Matheus Cunha\dc62b55d,br BRA,FW,Atlético Madrid,es La Liga,22-343,1999,9.0,32.6,1.33,3.67,13.1,17.0,6.11,31.6,0.56,0.78,71.4,0.56,0.00,18.4,104.7,54.9,3.00,0.44,0.67,2.89,1.33,40.2,20.0,49.7,6.56,Matches
602,Patrick Cutrone\a4fe8cda,it ITA,FW,Empoli,it Serie A,24-122,1998,13.9,27.5,0.43,1.44,10.0,17.6,6.40,25.8,0.65,1.73,37.5,0.72,0.00,18.9,105.0,44.7,2.88,0.36,0.79,2.45,0.94,38.5,19.7,51.2,8.49,Matches
603,Wylan Cyprien\3e092724,fr FRA,MF,Nantes,fr Ligue 1,27-097,1995,14.0,63.2,1.43,11.9,38.6,15.6,0.57,58.0,0.57,1.14,50.0,0.57,0.14,42.3,144.5,70.9,3.14,0.86,0.07,0.57,1.14,45.1,42.4,94.1,1.79,Matches
604,Rafael Czichos\b0a0698b,de GER,DF,Köln,de Bundesliga,31-356,1990,15.6,77.6,11.0,47.0,34.9,2.37,0.90,74.9,0.13,0.19,66.7,0.13,0.00,47.2,341.0,189.9,3.78,0.32,0.00,0.13,0.19,51.7,50.4,97.6,0.19,Matches
605,Lennart-Marten Czyborra\7ba1f1ef,de GER,DF,Arminia,de Bundesliga,23-002,1999,1.5,46.0,3.33,13.3,22.7,12.0,0.00,32.7,1.33,2.00,66.7,1.33,0.00,20.0,104.7,63.3,2.00,0.00,0.00,0.67,1.33,17.3,17.3,100.0,0.67,Matches
606,Danilo D'Ambrosio\44eb9093,it ITA,DF,Inter,it Serie A,33-238,1988,10.7,76.1,9.16,37.3,34.3,8.41,2.34,73.9,0.28,0.28,100.0,0.28,0.09,53.7,238.9,120.9,2.62,0.56,0.09,1.12,0.56,57.9,55.6,96.0,1.68,Matches
607,Lucas Da Cunha\007faf7a,fr FRA,MF,Nice,fr Ligue 1,20-330,2001,4.4,49.1,0.68,5.00,21.1,27.3,3.64,44.5,1.82,3.18,57.1,1.82,0.00,36.4,243.2,150.5,8.64,2.50,1.14,1.82,1.36,37.5,30.7,81.8,4.32,Matches
608,Lucas Da Cunha\007faf7a,fr FRA,FWMF,Clermont Foot,fr Ligue 1,20-330,2001,7.3,47.9,0.82,6.99,24.8,21.6,2.74,45.3,2.88,3.97,72.4,3.01,0.27,36.6,214.5,104.1,5.89,2.47,0.55,1.78,3.01,43.8,34.2,78.1,5.62,Matches
609,Damien Da Silva\1ec7e1c5,fr FRA,DF,Lyon,fr Ligue 1,33-353,1988,10.7,83.6,8.88,41.6,44.1,3.27,1.40,82.6,0.09,0.09,100.0,0.09,0.00,56.4,324.7,171.4,3.93,0.47,0.00,0.28,0.09,63.8,62.9,98.5,0.00,Matches
610,Moanes Dabbur\eac044ad,il ISR,FWMF,Hoffenheim,de Bundesliga,29-356,1992,13.8,46.8,0.36,4.20,22.8,21.9,6.23,44.6,1.52,2.97,51.2,1.52,0.29,30.1,88.3,44.1,2.39,0.87,0.43,2.68,3.41,46.3,33.3,72.0,7.61,Matches
611,Colin Dagba\29c02c9f,fr FRA,DF,Paris S-G,fr Ligue 1,23-238,1998,1.8,87.8,2.78,9.44,44.4,41.7,3.33,80.6,0.56,1.67,33.3,0.56,0.00,66.7,359.4,215.0,12.8,4.44,0.56,0.56,1.67,76.1,70.0,92.0,2.22,Matches
612,Mahmoud Dahoud\db4ed67b,de GER,MF,Dortmund,de Bundesliga,26-124,1996,18.4,69.1,2.55,14.7,41.6,17.2,1.09,67.4,1.25,1.96,63.9,1.41,0.05,47.0,218.0,104.8,4.24,1.30,0.11,1.25,1.03,52.6,48.7,92.6,2.99,Matches
613,Patson Daka\ca45605e,zm ZAM,FW,Leicester City,eng Premier League,23-208,1998,11.9,29.8,0.84,2.86,14.5,13.4,4.45,28.1,0.25,1.51,16.7,0.50,0.00,16.7,50.7,28.7,1.76,0.50,0.34,2.94,1.93,40.8,19.5,47.8,5.55,Matches
614,Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,eng Premier League,31-016,1991,32.4,63.3,3.24,21.1,30.4,16.6,1.02,53.3,0.62,1.20,51.3,0.65,0.09,35.3,205.3,119.0,4.75,1.79,0.37,0.62,1.17,38.6,34.0,88.0,2.01,Matches
615,Diogo Dalot\d9565625,pt POR,DF,Manchester Utd,eng Premier League,23-048,1999,18.1,69.8,4.09,23.0,33.6,16.8,1.33,60.7,0.66,1.33,50.0,0.77,0.06,41.3,187.8,109.5,4.81,0.99,0.33,0.99,0.72,44.6,41.4,92.8,1.93,Matches
616,Mikkel Damsgaard\215f3907,dk DEN,MFFW,Sampdoria,it Serie A,21-306,2000,5.7,55.6,1.75,9.82,26.0,24.2,3.33,54.7,2.46,3.33,73.7,2.46,0.00,40.5,187.7,97.5,4.74,1.93,0.53,1.05,2.46,45.6,37.2,81.5,7.37,Matches
617,Flavius Daniliuc\7ef972c3,at AUT,DF,Nice,fr Ligue 1,21-008,2001,12.0,70.9,6.42,34.5,35.2,5.25,0.58,65.0,0.50,0.83,60.0,0.50,0.00,46.5,263.8,129.0,3.08,0.33,0.00,0.50,0.25,45.6,44.2,96.9,0.50,Matches
618,Danilo\94b2001f,br BRA,DFMF,Juventus,it Serie A,30-294,1991,21.0,78.5,5.52,28.1,43.7,10.8,0.81,70.0,0.19,0.43,44.4,0.19,0.05,49.1,190.2,105.8,3.76,1.24,0.14,0.38,0.38,53.5,52.2,97.7,0.71,Matches
619,Kevin Danso\6e33125f,at AUT,DF,Lens,fr Ligue 1,23-228,1998,28.0,69.3,9.64,36.5,37.0,1.32,0.50,67.8,0.25,0.46,53.8,0.36,0.00,44.8,330.7,173.4,2.86,0.14,0.00,0.29,0.29,47.0,46.3,98.3,0.00,Matches
620,Dante\fd2bc67d,br BRA,DF,Nice,fr Ligue 1,38-199,1983,29.4,82.2,10.1,40.2,44.4,1.97,0.85,80.9,0.20,0.24,85.7,0.20,0.00,59.1,276.5,134.5,2.99,0.34,0.00,0.17,0.07,62.7,62.4,99.6,0.03,Matches
621,Ebrima Darboe\cf043a33,gm GAM,MF,Roma,it Serie A,20-333,2001,0.7,67.1,1.43,11.4,50.0,7.14,1.43,62.9,0.00,0.00,,0.00,0.00,50.0,238.6,58.6,1.43,0.00,1.43,2.86,0.00,48.6,48.6,100.0,4.29,Matches
622,Márton Dárdai\41bff4fa,de GER,DF,Hertha BSC,de Bundesliga,20-082,2002,7.5,57.2,8.27,38.9,19.1,3.33,0.67,54.7,0.27,0.53,50.0,0.27,0.00,34.3,192.0,107.9,1.47,0.13,0.00,0.40,0.40,36.4,35.7,98.2,0.27,Matches
623,Sergi Darder\070a3904,es ESP,MF,Espanyol,es La Liga,28-134,1993,30.7,58.7,1.86,12.4,37.6,14.4,1.34,55.9,1.24,1.95,63.3,1.30,0.10,43.7,271.7,148.3,5.73,2.15,0.39,0.72,1.21,48.0,44.7,93.0,1.95,Matches
624,Vladimír Darida\3eb0f2df,cz CZE,MF,Hertha BSC,de Bundesliga,31-270,1990,18.5,60.2,2.27,15.5,32.7,14.8,1.30,55.1,0.65,1.19,54.5,0.70,0.16,35.4,162.2,72.1,2.43,0.76,0.05,1.41,1.19,48.3,38.8,80.4,3.14,Matches
625,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,eng Premier League,31-209,1990,8.0,33.6,27.9,33.1,0.50,0.00,0.00,21.3,0.00,0.00,,0.00,0.00,11.9,68.3,36.8,0.00,0.00,0.00,0.00,0.00,11.8,11.6,98.9,0.00,Matches
626,Matteo Darmian\96e0490d,it ITA,DF,Inter,it Serie A,32-154,1989,15.9,49.2,2.26,14.7,20.8,16.1,1.57,41.8,0.19,0.44,42.9,0.19,0.06,27.8,109.4,59.2,2.64,0.82,0.38,0.94,0.50,33.8,30.1,89.2,3.33,Matches
627,Josh Dasilva\60344e4f,eng ENG,MFFW,Brentford,eng Premier League,23-194,1998,1.9,43.7,4.74,13.2,20.5,12.6,1.05,43.2,1.58,1.58,100.0,1.58,0.00,30.0,191.6,96.8,3.16,1.05,0.53,1.58,2.11,28.9,22.1,76.4,2.63,Matches
628,Jonathan David\ce50fd99,ca CAN,FW,Lille,fr Ligue 1,22-111,2000,28.6,32.6,0.66,3.04,15.5,15.9,4.93,31.6,1.12,1.71,65.3,1.15,0.00,21.8,87.1,53.3,2.73,0.56,0.59,2.83,1.92,39.0,23.6,60.6,6.89,Matches
629,Alphonso Davies\d781d855,ca CAN,DF,Bayern Munich,de Bundesliga,21-184,2000,17.4,81.0,2.36,20.6,38.0,31.3,4.66,72.5,3.62,6.26,57.8,4.02,0.63,59.3,372.2,259.8,11.6,4.25,2.13,1.72,1.38,57.1,53.2,93.2,4.43,Matches
630,Ben Davies\44781702,wls WAL,DF,Tottenham,eng Premier League,29-011,1993,24.3,64.4,5.88,26.9,32.8,9.42,1.23,61.2,0.33,0.45,72.7,0.33,0.04,42.6,261.6,157.2,5.72,1.89,0.08,0.37,0.37,46.9,44.9,95.8,0.95,Matches
631,Tom Davies\9228b07c,eng ENG,MF,Everton,eng Premier League,23-309,1998,1.8,48.3,1.11,7.22,24.4,17.2,4.44,47.8,0.00,0.00,,0.00,0.00,26.1,105.6,40.6,1.67,0.00,0.56,1.67,0.56,40.0,32.2,80.6,5.00,Matches
632,Keinan Davis\9deaf2c8,eng ENG,FW,Aston Villa,eng Premier League,24-081,1998,0.1,70.0,0.00,0.00,50.0,20.0,0.00,70.0,0.00,0.00,,0.00,0.00,60.0,50.0,10.0,0.00,0.00,0.00,20.0,10.0,110.0,70.0,63.6,20.0,Matches
633,Paweł Dawidowicz\16bb656a,pl POL,DF,Hellas Verona,it Serie A,26-350,1995,13.2,56.6,6.59,23.5,28.8,7.80,1.21,55.2,0.30,0.38,80.0,0.30,0.00,34.4,193.6,108.3,3.48,1.29,0.15,0.38,0.15,35.4,34.0,96.1,0.53,Matches
634,Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,eng Premier League,31-364,1990,27.9,50.8,9.14,28.0,23.0,2.51,1.36,49.9,0.07,0.07,100.0,0.07,0.00,28.3,142.7,67.8,1.72,0.25,0.00,0.07,0.22,31.7,31.0,97.9,0.18,Matches
635,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,eng Premier League,30-311,1991,20.5,73.7,1.22,6.68,29.2,42.3,4.63,67.1,1.02,1.80,56.8,1.02,0.05,50.0,232.1,144.7,7.41,2.83,0.68,1.32,1.32,63.0,55.2,87.5,6.49,Matches
636,Konrad De La Fuente\4b77bb89,us USA,FWDF,Marseille,fr Ligue 1,20-293,2001,8.7,40.0,0.46,5.29,10.6,28.6,6.21,38.5,2.07,3.56,58.1,2.18,0.23,32.1,194.0,144.0,8.16,1.84,1.84,1.26,3.22,37.8,29.0,76.6,5.75,Matches
637,Sebastien De Maio\952a03fe,fr FRA,DF,Udinese,it Serie A,35-061,1987,2.0,48.0,6.50,34.0,17.5,0.00,0.00,46.5,0.00,0.00,,0.00,0.00,21.5,111.5,29.0,0.50,0.00,0.00,0.50,0.50,21.5,21.0,97.7,0.50,Matches
638,Tommaso De Nipoti\7f9d956a,it ITA,MF,Atalanta,it Serie A,18-286,2003,0.1,20.0,0.00,0.00,20.0,0.00,0.00,20.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.0,10.0,20.0,0.00,Matches
639,Rodrigo De Paul\162efffd,ar ARG,MF,Atlético Madrid,es La Liga,27-346,1994,21.3,71.8,1.17,13.3,45.4,18.3,0.70,66.5,1.08,1.83,59.0,1.13,0.14,51.1,280.3,152.3,7.04,2.07,0.28,1.13,1.08,54.5,50.6,92.8,2.16,Matches
640,Mattia De Sciglio\ae4e2852,it ITA,DF,Juventus,it Serie A,29-197,1992,12.0,59.6,3.08,18.3,29.4,16.1,1.25,51.6,0.58,1.08,53.8,0.67,0.00,34.8,181.4,103.2,4.42,1.67,0.42,0.42,0.58,37.3,34.8,93.5,1.67,Matches
641,Lorenzo De Silvestri\e74f0e59,it ITA,DF,Bologna,it Serie A,33-347,1988,22.7,62.7,3.48,20.3,31.4,14.3,1.67,53.8,0.31,0.84,36.8,0.40,0.00,33.0,166.4,86.8,3.00,1.06,0.09,1.10,0.70,44.3,39.0,88.0,1.89,Matches
642,Saulo Decarli\41df88b8,ch SUI,DF,Bochum,de Bundesliga,30-090,1992,0.1,80.0,0.00,10.0,40.0,30.0,10.0,80.0,0.00,0.00,,0.00,0.00,50.0,80.0,10.0,0.00,0.00,0.00,10.0,0.00,80.0,60.0,75.0,10.0,Matches
643,Troy Deeney\82e34b69,eng ENG,FW,Watford,eng Premier League,33-310,1988,0.3,36.7,6.67,6.67,3.33,26.7,16.7,36.7,0.00,0.00,,0.00,0.00,10.0,23.3,13.3,0.00,0.00,0.00,3.33,0.00,60.0,30.0,50.0,23.3,Matches
644,Grégoire Defrel\854ee61a,mq MTQ,FW,Sassuolo,it Serie A,30-322,1991,14.5,37.9,0.83,4.14,17.5,19.2,3.93,36.1,0.83,1.72,48.0,0.90,0.07,27.2,151.1,71.6,3.38,1.17,0.97,2.34,2.00,41.4,27.1,65.5,8.07,Matches
645,Alessandro Deiola\7f267d66,it ITA,MF,Cagliari,it Serie A,26-277,1995,22.2,42.5,3.29,12.8,22.6,8.78,0.99,42.1,0.32,0.50,63.6,0.41,0.00,23.5,99.6,37.5,1.76,0.45,0.09,1.04,0.90,29.0,24.3,83.7,1.94,Matches
646,Romain Del Castillo\0be95d34,fr FRA,MFFW,Rennes,fr Ligue 1,26-037,1996,0.3,70.0,0.00,3.33,43.3,30.0,3.33,60.0,3.33,10.0,33.3,3.33,0.00,50.0,410.0,300.0,20.0,0.00,0.00,0.00,0.00,50.0,40.0,80.0,3.33,Matches
647,Romain Del Castillo\0be95d34,fr FRA,FWMF,Brest,fr Ligue 1,26-037,1996,9.9,57.0,0.30,6.77,30.2,24.3,3.33,54.3,2.42,4.34,55.8,2.63,0.40,42.9,197.4,104.7,5.76,2.12,1.01,3.23,3.74,48.4,38.1,78.7,6.77,Matches
648,Thomas Delaine\8332db56,fr FRA,DF,Metz,fr Ligue 1,30-042,1992,25.0,56.2,1.84,15.4,27.4,18.1,1.24,46.3,0.96,2.16,44.4,1.16,0.04,33.7,207.3,142.7,6.48,2.48,0.44,1.52,1.32,38.9,33.9,87.2,2.60,Matches
649,Thomas Delaney\fe641c1a,dk DEN,MF,Dortmund,de Bundesliga,30-244,1991,0.2,80.0,0.00,10.0,55.0,15.0,0.00,80.0,0.00,0.00,,0.00,0.00,45.0,100.0,50.0,0.00,0.00,0.00,0.00,5.00,45.0,45.0,100.0,0.00,Matches
650,Thomas Delaney\fe641c1a,dk DEN,MF,Sevilla,es La Liga,30-244,1991,13.8,58.0,3.84,15.9,33.7,9.57,1.45,57.3,0.43,0.51,85.7,0.43,0.00,33.5,132.2,57.3,1.96,0.43,0.07,0.58,0.72,41.1,37.7,91.7,0.94,Matches
651,Liam Delap\dd897ee7,eng ENG,FW,Manchester City,eng Premier League,19-086,2003,0.1,10.0,0.00,0.00,10.0,0.00,0.00,10.0,0.00,0.00,,0.00,0.00,10.0,20.0,0.00,0.00,0.00,0.00,0.00,0.00,30.0,10.0,33.3,0.00,Matches
652,Sacha Delaye\e4448c8c,fr FRA,FWMF,Montpellier,fr Ligue 1,20-012,2002,1.3,45.4,1.54,14.6,15.4,16.9,5.38,43.1,0.77,2.31,33.3,0.77,0.00,29.2,96.2,42.3,2.31,0.77,0.00,2.31,0.77,34.6,28.5,82.2,6.15,Matches
653,Filippo Delli Carri\d2e8fd9b,it ITA,DF,Salernitana,it Serie A,23-002,1999,3.7,46.2,7.57,24.1,15.9,7.84,1.89,40.3,0.27,0.54,50.0,0.54,0.00,22.4,91.1,50.5,2.16,0.81,0.00,1.08,0.27,23.5,21.6,92.0,1.08,Matches
654,Andy Delort\d33c706e,dz ALG,FW,Nice,fr Ligue 1,30-208,1991,24.2,37.3,0.79,2.52,15.1,20.9,5.29,35.5,0.62,1.61,38.5,0.66,0.00,20.8,73.2,31.8,2.19,0.54,0.37,2.23,1.53,46.2,28.6,61.8,7.73,Matches
655,Andy Delort\d33c706e,dz ALG,FW,Montpellier,fr Ligue 1,30-208,1991,3.0,45.0,2.00,4.67,15.7,25.7,6.33,42.0,0.00,0.00,,0.00,0.00,20.0,61.3,14.3,0.67,0.00,0.33,1.67,2.00,58.3,32.7,56.0,6.33,Matches
656,Fabian Delph\111c3236,eng ENG,MF,Everton,eng Premier League,32-165,1989,5.5,49.5,4.00,15.1,29.6,7.09,0.00,48.9,0.73,0.91,80.0,0.73,0.00,29.1,127.3,56.4,2.36,0.18,0.00,1.27,0.36,29.3,27.8,95.0,0.55,Matches
657,Moussa Dembélé\e7986081,fr FRA,FW,Lyon,fr Ligue 1,25-297,1996,21.8,32.2,1.06,2.94,13.5,17.4,6.65,30.6,1.15,2.02,56.8,1.24,0.00,18.3,67.4,35.0,2.29,0.69,0.73,3.76,1.79,41.1,22.4,54.6,8.49,Matches
658,Ousmane Dembélé\b19db005,fr FRA,FWDF,Barcelona,es La Liga,24-355,1997,13.5,67.9,0.37,4.15,25.0,46.7,6.30,63.0,3.33,5.48,60.8,3.70,0.15,54.7,387.5,254.7,14.6,4.59,2.52,2.59,1.26,62.4,53.5,85.6,7.33,Matches
659,Yusuf Demir\fa265f6d,at AUT,FW,Barcelona,es La Liga,18-337,2003,2.1,55.2,0.95,6.67,18.1,32.4,4.29,50.0,2.38,4.76,50.0,2.86,0.48,41.0,151.0,83.8,5.71,0.95,0.95,2.38,3.33,45.2,36.7,81.1,8.57,Matches
660,Merih Demiral\e3cceee6,tr TUR,DF,Atalanta,it Serie A,24-061,1998,20.6,49.5,6.84,26.9,22.0,2.82,1.60,47.1,0.10,0.19,50.0,0.10,0.00,24.4,154.7,49.8,0.78,0.10,0.05,0.19,0.24,26.5,25.5,96.2,0.39,Matches
661,Kerem Demirbay\54b4dc4e,de GER,MF,Leverkusen,de Bundesliga,28-306,1993,22.8,73.9,3.33,18.5,40.8,19.3,1.49,65.4,1.27,1.97,64.4,1.27,0.18,47.2,260.7,126.7,5.88,1.45,0.39,1.40,1.10,50.6,46.4,91.7,1.84,Matches
662,Ermedin Demirović\ed79b7d3,ba BIH,FW,Freiburg,de Bundesliga,24-041,1998,9.5,31.5,0.84,3.89,11.5,17.9,5.47,31.1,1.05,2.32,45.5,1.26,0.00,19.1,84.5,39.3,1.58,1.16,0.32,2.42,2.21,40.5,20.3,50.1,7.47,Matches
663,Diego Demme\dc3fa3b5,de GER,MF,Napoli,it Serie A,30-165,1991,6.7,84.5,2.69,23.1,50.9,16.3,0.30,83.6,0.45,0.60,75.0,0.45,0.00,58.7,247.0,121.0,4.78,1.19,0.30,0.60,1.19,67.3,65.5,97.3,0.30,Matches
664,Jason Denayer\47af88b8,be BEL,DF,Lyon,fr Ligue 1,26-311,1995,11.1,75.9,11.0,43.4,35.6,1.08,0.72,73.7,0.09,0.27,33.3,0.18,0.00,52.0,218.9,100.5,1.35,0.00,0.00,0.09,0.18,58.3,57.0,97.8,0.00,Matches
665,Leander Dendoncker\5a7301ae,be BEL,MF,Wolves,eng Premier League,27-020,1995,18.7,48.9,3.16,13.9,26.2,11.1,1.60,48.3,0.37,0.70,53.8,0.37,0.05,28.1,113.7,45.0,1.50,0.59,0.05,0.80,0.37,37.3,31.6,84.8,2.25,Matches
666,Emmanuel Dennis\2c44a35d,ng NGA,FWMF,Watford,eng Premier League,24-171,1997,27.9,38.7,0.93,5.34,16.3,20.6,5.02,37.2,2.51,5.77,43.5,2.76,0.72,28.9,153.2,101.0,4.95,1.47,1.61,2.76,2.62,41.3,25.9,62.9,5.38,Matches
