"","Player","Position","Squad","Competition","90s","PCmp","xA","ProgP","PrgDist","KP","FinalThird","UPress","SCA90","TklW","Pressures","Press%","Int","Clr","Blocks","DribTkl","Touches","TouchesMid","Carries","Drib%","AWon","GpSh"
"218","Djibril Sow\4c6facae","MF","Eint Frankfurt","de Bundesliga",25.5,85.1,0.09,4.27,193.3,0.82,3.84,8.16,2,1.29,20.5,6.39,2.59,0.94,1.8,0.51,56.3,36.2,36.9,70,1.1,0.14
"219","Anton Stach\0f59a7bf","MF","Mainz 05","de Bundesliga",19,73.1,0.15,4.21,199.1,1.21,3.37,10.5,2.58,1.42,20.7,6.58,3.74,1.58,1.84,0.79,62.2,35.1,33.1,62.5,3.32,0.02
"220","Angelo Stiller\3b1ed320","MF","Hoffenheim","de Bundesliga",16.9,83,0.07,4.73,197.4,0.71,3.73,11.5,1.6,1.18,17,5.8,1.48,0.83,1.42,0.59,59.9,32.5,35.3,47.4,1.72,0.13
"221","Stefano Sturaro\2334478a","MF","Genoa","it Serie A",19.6,63.8,0.03,2.55,117.8,0.36,1.22,8.21,1.07,1.89,21.8,6.84,1.12,1.68,1.94,0.97,42.3,22.4,21.7,16.7,2.76,0
"222","Denis Suárez\12c50af5","MF","Celta Vigo","es La Liga",27.6,79.8,0.12,4.42,233.4,1.3,5.22,7.83,2.83,1.2,20.8,5.8,0.69,0.47,1.3,0.76,74,47.4,48.8,55.2,0.65,0.15
"223","Mattias Svanberg\92d83c27","MF","Bologna","it Serie A",27.7,74,0.12,2.85,144.5,1.23,2.56,6.28,2.06,0.87,16.5,4.37,1.16,1.01,1.81,0.51,48.3,26.5,31.6,48.9,0.87,0.08
"224","Flavien Tait\a0f9b535","MF","Rennes","fr Ligue 1",20.8,87,0.17,5.38,192.2,1.35,5.43,8.65,3.51,0.91,12.1,3.32,0.96,0.43,1.25,0.53,65,38.8,50.1,46.3,0.38,0.11
"225","Florian Tardieu\ed39121c","MF","Troyes","fr Ligue 1",26.2,82.1,0.1,5.88,354.7,1.72,5.88,10.6,3.05,1.3,16.7,5.38,1.98,1.6,1.72,0.76,78.8,45.2,48.6,58.3,1.26,0
"226","Aurélien Tchouaméni\4f255115","MF","Monaco","fr Ligue 1",29.5,87.1,0.08,5.66,288,0.64,5.36,10.3,2.06,2.07,18.2,6.51,3.39,1.32,0.98,0.92,76.5,51.9,51.8,73.2,2.68,0.02
"227","Adrien Thomasson\c76b7567","MF","Strasbourg","fr Ligue 1",23.9,77.2,0.17,4.02,161.3,1.3,3.56,9.71,3.35,1.46,29.7,7.95,1.88,0.59,2.43,1.42,64.6,31.8,42,68,0.67,0.16
"228","Morten Thorsby\d1b49282","MF","Sampdoria","it Serie A",30.2,73.4,0.03,2.68,101.6,0.4,2.02,10.8,1.26,0.93,19.6,6.09,0.96,1.66,1.89,0.5,41.8,24.1,20.2,45.5,6.06,0.08
"229","Khéphren Thuram-Ulie\7d9397f8","MF","Nice","fr Ligue 1",19.9,86.4,0.14,4.07,182.6,0.95,4.42,7.99,2.37,1.21,15.2,4.97,2.01,0.75,1.86,0.55,64.4,43.6,46.4,64.9,0.9,0.2
