"","Player","Position","Squad","Competition","90s","PCmp","xA","ProgP","PrgDist","KP","FinalThird","UPress","SCA90","TklW","Pressures","Press%","Int","Clr","Blocks","DribTkl","Touches","TouchesMid","Carries","Drib%","AWon","GpSh"
"32","Hicham Boudaoui\f9d5908e","MF","Nice","fr Ligue 1",16.6,76.1,0.16,2.29,93.9,0.84,2.05,8.43,1.68,1.14,21.4,5.6,1.51,0.96,1.75,0.84,49,26.9,35.1,52.8,0.96,0.18
"33","Darko Brašanac\4accb7e0","MF","Osasuna","es La Liga",23.8,74.6,0.06,2.1,82.2,1.01,2.02,8.28,2.19,1.22,19.6,5.55,1.09,1.09,1.34,0.42,42.5,20.8,25,58.3,2.31,0.06
"34","Josh Brownhill\47369df8","MF","Burnley","eng Premier League",29,74.8,0.08,2.83,126.3,1.17,2.38,6.66,1.93,1.28,16.3,5.17,2.62,1.55,1.59,0.41,47,25.8,23.7,70,1.79,0.07
"35","Marcelo Brozović\33b8d077","MF","Inter","it Serie A",29.6,91.3,0.06,6.28,397.7,1.01,6.55,9.09,2.7,1.49,17.6,5.27,1.76,0.91,1.28,0.81,86.6,50.9,62.5,63.6,0.68,0.07
"36","Gianluca Busio\4a0b7f07","MF","Venezia","it Serie A",21.4,82.9,0.07,2.48,161,0.79,2.99,6.68,1.68,1.78,23.7,6.4,1.64,1.68,2.85,1.26,53.6,30.3,33.1,33.3,1.64,0.07
"37","Sergio Busquets\5ab0ea87","MF","Barcelona","es La Liga",32.5,87.9,0.06,6.28,318.1,0.95,7.14,10.9,2.46,2.03,17.9,6.12,1.48,1.45,1.66,1.35,86.1,56,55.9,90,2.15,0.15
"38","Hakan Çalhanoğlu\cd0fa27b","MF","Inter","it Serie A",24.8,81.2,0.27,5.48,304.6,2.94,5.28,7.78,4.96,1.01,14.5,5.16,1.17,0.28,1.45,0.44,76,38.5,49.7,57.1,0.36,0.07
"39","Étienne Capoue\5acc4a10","MF","Villarreal","es La Liga",21.6,88.3,0.04,4.31,213.5,0.23,5.32,8.84,1.16,1.3,13,4.49,1.57,2.36,0.97,0.46,66.3,45.2,46,67.5,2.36,0.08
"40","Maxence Caqueret\f81ef10d","MF","Lyon","fr Ligue 1",24.6,86.2,0.07,5.28,236.8,1.02,5.53,9.8,2.19,2.24,25.6,8.01,2.28,0.98,1.79,1.06,70.9,46.3,46.4,59.3,0.45,0
"41","William Carvalho\dee86451","MF","Betis","es La Liga",17.7,88.2,0.08,6.72,266.4,1.13,7.34,8.81,2.55,1.53,14.2,4.46,1.07,1.64,1.13,0.85,77.4,52.3,58.6,70.2,1.75,0.06
"42","Casemiro\4d224fe8","MF","Real Madrid","es La Liga",26.4,86.3,0.09,5.34,335.9,0.91,6.59,10.2,2.24,2.35,16.1,6.55,2.05,2.65,2.2,1.1,82.7,46,48.6,52.2,4.02,0.03
"43","Gaetano Castrovilli\0728bebe","MF","Fiorentina","it Serie A",15.5,74.4,0.1,3.68,125.9,0.97,1.81,8.26,2.85,0.9,16.5,5.16,1.61,0.26,1.29,0.45,46.7,24.1,34.8,81,0.45,0.06
"44","Danilo Cataldi\ba3d3bea","MF","Lazio","it Serie A",16.6,85.8,0.11,4.28,322.8,0.9,5.36,7.35,1.5,0.96,17.3,4.22,1.57,0.96,1.33,0.54,78.5,49.2,50.7,71.4,0.3,0.11
"45","Franco Cervi\5e1028e5","MF","Celta Vigo","es La Liga",18.2,74.7,0.07,2.31,114.2,0.6,1.43,6.7,1.48,2.36,22.1,6.43,2.09,0.88,2.8,0.77,52.3,24.6,33.2,35.5,0.99,0.14
"46","Pedro Chirivella\68a26d51","MF","Nantes","fr Ligue 1",29.3,84.7,0.05,5.12,243.4,0.85,6.72,8.84,1.88,0.92,17.8,4.47,1.43,0.34,0.92,0.58,65.4,44.1,42.4,57.1,0.44,0.14
"47","Joris Chotard\7909ffa4","MF","Montpellier","fr Ligue 1",29.6,85.3,0.02,2.53,173.5,0.34,2.23,3.68,0.95,1.11,12.3,3.24,2.67,1.96,1.08,0.84,48,25.8,28.7,52.6,0.74,0
"48","Max Christiansen\e7b899b8","MF","Greuther Fürth","de Bundesliga",21.4,81.6,0.02,2.9,151,0.51,2.2,8.88,1.12,1.31,18,6.21,3.6,2.85,3.18,0.7,54.1,31.3,27.1,55.6,2.34,0
"49","Tom Cleverley\6cdd8245","MF","Watford","eng Premier League",16.4,73.6,0.09,2.44,134.7,1.1,2.38,5.85,2.01,1.4,20.2,5.55,1.52,0.91,1.71,0.49,43.8,21.2,21.8,50,1.04,0
"50","Santi Comesaña\5ae499d0","MF","Rayo Vallecano","es La Liga",27.5,83.2,0.08,5.09,244,0.91,4.58,10.3,1.82,2.25,26.7,8.44,1.78,1.45,2.04,1.2,61.9,39.6,39.2,63.2,2.25,0.03
"51","Lassana Coulibaly\85a44ecc","MF","Salernitana","it Serie A",23.2,81.3,0.01,2.46,128.8,0.39,2.63,5.22,1.08,1.77,21.4,5.73,1.59,1.16,2.03,0.73,44.2,26.3,30,54,1.12,0
"52","Bryan Cristante\16657b95","MF","Roma","it Serie A",27.4,82.2,0.05,5.91,314.4,0.55,7.41,8.69,1.35,1.93,20.9,6.68,1.68,1.97,1.57,1.02,69.1,45.8,42.2,68.4,2.99,0.06
"53","Mahmoud Dahoud\db4ed67b","MF","Dortmund","de Bundesliga",18.4,79.2,0.18,5.33,236.5,1.63,4.57,11,2.88,1.58,18.6,6.58,1.68,1.03,1.58,0.92,69.1,41.6,47,63.9,0.65,0.09
"54","Sergi Darder\070a3904","MF","Espanyol","es La Liga",30.7,83.3,0.16,4.59,230.2,1.24,5.24,9.8,2.7,0.75,15.9,3.84,1.37,0.85,1.04,0.39,58.7,37.6,43.7,63.3,0.39,0.08
"55","Vladimír Darida\3eb0f2df","MF","Hertha BSC","de Bundesliga",18.5,72.6,0.18,3.3,210.9,1.73,2.32,8.86,2.54,1.14,17,5.46,1.51,1.3,1.46,0.54,60.2,32.7,35.4,54.5,0.65,0.08
"56","Kevin De Bruyne\e46012d4","MF","Manchester City","eng Premier League",20.5,74.8,0.36,6,236.7,3.51,4.73,8.63,5.38,0.54,14.9,4.24,0.59,0.78,1.51,0.44,73.7,29.2,50,56.8,0.49,0.18
"57","Rodrigo De Paul\162efffd","MF","Atlético Madrid","es La Liga",21.3,79,0.17,6.48,324.1,2.16,6.81,11.2,3.57,1.17,21.4,5.35,1.27,0.85,1.46,0.99,71.8,45.4,51.1,59,0.47,0.05
"58","Alessandro Deiola\7f267d66","MF","Cagliari","it Serie A",22.2,77.6,0.06,2.48,108.7,0.54,1.53,6.71,1.3,1.08,17.6,4.55,1.53,1.58,1.71,0.54,42.5,22.6,23.5,63.6,2.16,0.16
"59","Kerem Demirbay\54b4dc4e","MF","Leverkusen","de Bundesliga",22.8,76.5,0.18,5.48,339.4,1.97,5.66,9.3,2.94,1.71,19.4,6.93,2.24,0.96,1.75,0.92,73.9,40.8,47.2,64.4,0.57,0
"60","Leander Dendoncker\5a7301ae","MF","Wolves","eng Premier League",18.7,86.9,0.05,1.76,110.3,0.53,1.93,6.26,1.45,1.12,21,5.83,1.18,1.71,2.35,0.8,48.9,26.2,28.1,53.8,1.98,0.06
"61","Kiernan Dewsbury Hall\5c74c0f5","MF","Leicester City","eng Premier League",18.7,77.7,0.12,4.01,173.7,1.39,4.17,10.9,2.99,1.23,19.4,4.92,1.34,1.23,1.87,0.53,65.6,34.1,46.4,59,1.12,0.05
"62","Brahim Díaz\407feb71","MF","Milan","it Serie A",20.4,84.3,0.12,3.24,109.3,1.52,2.7,5.93,3.33,1.32,17.9,5.1,0.59,0.29,0.39,0.34,47.5,27.1,38.7,51.9,0.34,0.1
"63","Nicolás Domínguez\20b3a502","MF","Bologna","it Serie A",20.9,82.4,0.1,4.26,217.6,1.24,3.97,7.7,2.49,2.01,25.5,7.56,2.11,1.44,2.06,1.34,65.7,40.9,38.2,52.4,1.34,0
"64","Niklas Dorsch\7f73bdf4","MF","Augsburg","de Bundesliga",24.4,82.6,0.01,3.03,217.6,0.49,2.75,8.61,1.35,2.09,19.5,5.78,2.34,1.48,1.97,0.94,53.3,31.7,34.5,70.6,0.78,0.08
"65","Lucas Douath\3cd7820a","MF","Saint-Étienne","fr Ligue 1",18.9,88.3,0.02,2.22,145.2,0.42,3.28,7.94,1.11,1.9,22.9,7.41,1.38,0.69,1.27,0.69,52.7,33.8,37.9,60,0.9,0.09
"66","Abdoulaye Doucouré\02b29014","MF","Everton","eng Premier League",23.8,80.1,0.09,3.19,117.1,0.84,2.86,9.03,2.1,1.51,23.2,6.09,1.43,1.18,1.34,0.97,49.2,26.3,29.1,51.4,1.68,0.07
"67","Cheick Doucouré\ce4f40c7","MF","Lens","fr Ligue 1",29.7,87.1,0.09,6.26,239.7,1.04,5.52,9.66,2.49,2.05,15.6,5.62,2.26,0.61,0.88,0.84,67.7,47.3,46.1,67.6,0.74,0.04
"68","Alfred Duncan\528492ea","MF","Fiorentina","it Serie A",19,77.7,0.09,4.79,188.7,1.16,4.21,6.11,2.31,1.11,16.7,5.47,1,0.37,1.21,0.58,48.7,27.9,33.6,61.1,0.74,0.11
"69","Maximilian Eggestein\beb882a8","MF","Freiburg","de Bundesliga",22.6,75.8,0.07,3.58,147.7,0.88,3.67,8.85,1.99,1.28,18.6,5.66,1.46,1.46,2.26,0.88,49.2,26.9,28.3,42.9,2.61,0.05
"70","Albin Ekdal\f503ea63","MF","Sampdoria","it Serie A",18.2,80.9,0.02,3.79,144.2,0.33,2.47,6.92,0.93,1.48,19.3,5.99,2.14,1.65,2.2,1.1,50.7,29.7,28.9,70,1.54,0.07
"71","Wataru Endo\c149016b","MF","Stuttgart","de Bundesliga",30.2,82.7,0.03,4.27,192.2,0.56,3.94,11,1.62,1.26,20,6.72,1.85,1.59,2.09,0.73,63,37.3,43.2,60.4,2.91,0.08
"72","Fabinho\7f3b388c","MF","Liverpool","eng Premier League",24.4,88.1,0.05,4.14,219.1,0.57,5.7,8.98,1.47,1.43,16,5.04,2.17,1.15,1.89,0.74,69.8,45.2,44.4,80,1.68,0.16
"73","Romain Faivre\745ca0a3","MF","Brest","fr Ligue 1",19.9,77.6,0.17,4.37,196.8,1.76,3.07,9.42,3.61,1.21,14.7,4.47,1.31,0.65,0.6,0.6,70.5,37.1,54.4,57.5,0.4,0.18
"74","Nabil Fekir\bece776f","MF","Betis","es La Liga",27.6,80,0.22,4.53,208.3,2.57,3.84,8.88,5.32,1.12,19.2,5.11,0.58,0.14,0.62,0.22,63.5,30.4,48.4,56.1,1.05,0.08
"75","Bruno Fernandes\507c7bdf","MF","Manchester Utd","eng Premier League",32.6,75.2,0.25,5.71,244.7,2.64,4.39,9.91,4.18,1.35,17.8,5.06,1.13,1.2,0.86,0.71,69.5,33.2,46.5,41.3,0.71,0.13
"76","Álex Fernández\aa677a35","MF","Cádiz","es La Liga",19,77.9,0.06,4,195.8,0.74,4.05,6.74,1.53,1.47,22.8,5.58,1.84,1.68,1.84,0.89,55.1,31.7,35.1,47.6,1.16,0.14
"77","Jordan Ferri\375622c5","MF","Montpellier","fr Ligue 1",30.3,83.9,0.09,6.53,437.9,0.89,6.57,9.54,2.08,1.52,18.1,5.71,1.22,1.09,1.12,0.83,87.1,52.7,63.2,61.7,0.56,0
"78","Fidel\eb82b6f1","MF","Elche","es La Liga",23.8,74.1,0.19,4.5,215.1,1.55,3.28,7.27,2.9,0.8,15.4,4.45,0.76,0.88,0.63,0.5,53.7,27,38.7,44,0.21,0.27
"79","Seko Fofana\5313ed43","MF","Lens","fr Ligue 1",34.3,87.7,0.1,2.97,123,1.05,2.13,7.41,2.83,0.58,13.9,3.7,1.4,0.44,0.9,0.29,59.9,37.6,47,61.1,0.5,0.08
"80","Youssouf Fofana\822d51d7","MF","Monaco","fr Ligue 1",21.3,76.2,0.12,5.73,193.2,0.85,5.07,9.01,1.83,2.21,20.7,6.76,1.78,0.85,1.46,1.22,61.5,42.2,40.5,60.4,0.66,0
"81","Adam Forshaw\9f1938ab","MF","Leeds United","eng Premier League",17,83.7,0.06,3.59,188.6,0.76,3.47,7.24,1.59,1.65,24,7.29,1.76,1.12,1.12,1.24,57.1,33.6,36.5,56.3,0.76,0
"82","Davide Frattesi\2a7d27c1","MF","Sassuolo","it Serie A",29.2,83.5,0.11,3.42,137.2,0.82,2.71,6.27,2.46,0.92,16.7,4.69,1.4,1.51,1.75,0.48,52.9,29.7,35.2,55.8,0.86,0.07
"83","Fred\b853e0ad","MF","Manchester Utd","eng Premier League",21.2,85.1,0.09,4.53,224.8,1.18,5.09,9.25,2.55,1.65,24.7,6.37,2.22,1.37,2.08,0.8,70.5,42.3,44.6,50,0.75,0.27
"84","Remo Freuler\98d2c2c4","MF","Atalanta","it Serie A",23.8,85.6,0.08,6.47,267.4,1.09,5.8,7.39,2.4,1.68,18.4,5.92,1.93,1.13,1.97,1.01,76.3,44.8,53,59.5,0.97,0.06
"85","Iñigo Ruiz de Galarreta\91f7631f","MF","Mallorca","es La Liga",15.3,80.6,0.05,5.29,222.8,0.78,4.77,7.71,1.83,1.76,15.2,4.77,1.7,1.44,1.24,0.98,61.3,40.1,39.9,64.3,1.11,0
"86","Conor Gallagher\c2731c10","MF","Crystal Palace","eng Premier League",28.7,76.3,0.12,1.92,127.2,1.18,2.26,6.17,2.85,1.5,25.4,7.11,1.32,0.91,1.6,0.45,49.5,24,32.7,63.6,1.05,0.17
"87","Idrissa Gana Gueye\72c812f3","MF","Paris S-G","fr Ligue 1",17.9,93.3,0.09,4.86,282.4,0.84,6.7,9.89,1.78,2.23,25.8,7.15,2.07,0.67,1.17,0.61,85.5,56.1,64.3,72,0.56,0.14
"88","Dani García\240d3a0b","MF","Athletic Club","es La Liga",21.8,76.9,0.02,3.62,173.2,0.37,3.85,6.61,1.15,1.06,13.3,4.13,0.87,2.02,1.19,0.5,50,32.2,27.4,83.3,1.61,0
"89","Johan Gastien\868eaba0","MF","Clermont Foot","fr Ligue 1",27.6,82.8,0.07,6.74,515.5,0.8,6.63,8.22,1.92,1.34,19.6,6.34,2.61,1.67,2.03,0.69,96.1,54.5,64.9,50,0.72,0
"90","Dennis Geiger\37f606f0","MF","Hoffenheim","de Bundesliga",15.3,82.8,0.14,4.31,225.6,1.44,3.66,9.54,2.81,1.5,18.4,6.47,1.83,0.33,1.31,1.05,60.3,34.8,35.9,57.1,0.2,0.13
"91","Billy Gilmour\df10e27c","MF","Norwich City","eng Premier League",17.9,78.8,0.11,4.47,261,1.4,4.41,7.04,2.45,1.17,23.5,4.92,1.79,1.62,1.12,0.78,69.7,38.5,39.4,60,0.67,0
"92","Alberto Grassi\6cc97b6a","MF","Cagliari","it Serie A",21.3,80.6,0.06,2.39,129.8,0.47,2.35,7.37,1.22,0.99,13.2,4.08,3.29,1.5,1.6,0.38,54.9,33.9,33.1,60,2.82,0
"93","Mattéo Guendouzi\5ea8ef20","MF","Marseille","fr Ligue 1",32,87.6,0.11,6.28,254.5,1.09,6.59,9.78,2.87,0.97,12.8,4.06,0.66,0.56,0.88,0.41,73.1,46,55.8,52.9,0.81,0.07
"94","Bruno Guimarães\82518f62","MF","Lyon","fr Ligue 1",18.2,87.1,0.21,7.86,304.7,1.81,8.19,11.6,3.75,2.47,23.4,7.42,1.87,1.1,1.26,1.15,64.1,34.8,48.2,53.3,0.71,0.24
"95","Gerard Gumbau\ac454a4f","MF","Elche","es La Liga",17.4,80,0.11,3.1,228.7,1.38,4.48,5.69,2.41,1.03,22.1,4.25,1.32,1.44,1.49,0.86,57.8,34.5,34.8,41.7,1.09,0
"96","İlkay Gündoğan\819b3158","MF","Manchester City","eng Premier League",18.4,86.6,0.22,3.97,187.9,1.96,3.59,7.01,3.54,0.54,9.62,2.83,1.3,0.54,0.92,0.43,69.2,35.7,47.4,73.1,0.6,0.13
"97","Raúl Guti\0b2c8585","MF","Elche","es La Liga",16.6,83.9,0.01,3.01,160.6,0.42,3.37,5.78,0.96,0.78,13.7,3.92,1.93,0.72,0.84,0.42,50.2,33.1,35.5,41.2,0.72,0
"98","Genki Haraguchi\f24ea523","MF","Union Berlin","de Bundesliga",18.1,73.5,0.12,3.04,102.5,1.22,2.21,6.02,2.1,1.1,18.4,5.75,1.27,1.33,1.93,0.61,40.5,22.5,21.2,53.8,0.99,0.07
"99","Jordan Henderson\935e6b8f","MF","Liverpool","eng Premier League",26,83.3,0.14,6.08,285.3,1.38,6.65,10.7,2.62,0.85,16.7,5.19,1.54,0.65,1.15,0.5,82.1,50.6,54,62.5,0.81,0.07
"100","Liam Henderson\d7918b13","MF","Empoli","it Serie A",21.3,70.3,0.16,3.43,165.5,1.92,2.39,6.34,3.43,0.61,20.8,3.9,0.38,0.75,1.03,0.23,45.3,19.2,28.2,30,0.7,0.05
"101","Yangel Herrera\e778654a","MF","Espanyol","es La Liga",15.8,82.9,0.04,3.04,173.7,0.57,3.42,11.6,1.14,2.41,23.8,7.34,1.71,1.77,1.58,0.51,57.7,34.6,37.7,71.4,3.48,0.07
"102","Nicolas Höfler\5d8e331f","MF","Freiburg","de Bundesliga",26.9,83.5,0.07,4.01,169.5,0.56,2.71,8.14,1.15,1.93,19.5,6.62,1.64,1.56,2.01,0.93,52.1,31,29.6,75,2.53,0.07
"103","Pierre Højbjerg\8b04d6c1","MF","Tottenham","eng Premier League",31.5,88.9,0.07,5.65,307,0.79,6.13,8.6,2.06,1.49,19.9,5.27,2,1.62,2,0.86,79.8,50.1,56.3,67.9,1.11,0.07
"104","Ivan Ilić\bb376bed","MF","Hellas Verona","it Serie A",26.1,81.3,0.05,3.49,181.1,0.73,3.41,7.62,1.76,1.23,15.2,5.06,1.57,2.18,1.42,0.54,60.5,37.1,37.8,61.1,1.99,0.05
"105","Kristijan Jakić\a8ee54ad","MF","Eint Frankfurt","de Bundesliga",20.4,75.3,0.02,3.73,172.1,0.25,2.75,7.35,1.18,1.42,21.2,7.65,1.42,1.13,2.01,0.98,52.1,32.9,29.4,48.4,1.86,0.03
"106","Vitaly Janelt\8449d35e","MF","Brentford","eng Premier League",24,75.5,0.09,3.63,157.7,0.79,2.88,5.58,2.04,1.33,19.5,5.63,1.67,1.33,1.75,0.71,47.3,23.8,25.7,72.2,1.42,0.14
"107","Mathias Jensen\0f134faf","MF","Brentford","eng Premier League",15.2,71.3,0.2,3.68,219.6,2.11,3.49,7.3,3.03,1.64,26.3,7.43,1.84,0.66,1.58,1.12,53.9,28.6,30.8,56.3,0.59,0
"108","Frenkie de Jong\1bacc518","MF","Barcelona","es La Liga",24.5,89.9,0.12,5.31,221.9,1.55,5.43,11.2,2.82,0.94,11.4,3.1,1.02,0.73,1.02,0.2,69.1,43,50.5,66.7,1.31,0.18
"109","Joan Jordán\2a0c8ba4","MF","Sevilla","es La Liga",25.4,87.5,0.06,4.37,239.2,0.91,5,9.88,1.89,1.65,17.7,4.92,1.54,0.55,1.1,1.06,73.9,44.6,51.3,64.5,0.63,0
"110","Jorginho\45db685d","MF","Chelsea","eng Premier League",23.3,89.6,0.11,5.32,273.9,0.86,5.84,11.8,2.24,1.76,19,6.52,2.27,0.86,1.5,0.86,80.5,48.7,55.4,80,0.77,0
"111","Kevin Kampl\b825a650","MF","RB Leipzig","de Bundesliga",19.2,90.6,0.07,5.63,250.8,0.73,5.21,12.3,1.72,1.41,18.5,6.2,2.03,0.94,1.25,0.36,77,50.4,58.1,61.9,0.52,0
"112","N'Golo Kanté\b9fbae28","MF","Chelsea","eng Premier League",17.9,86,0.12,6.15,234.7,1.17,4.69,9.83,2.9,1.68,19.8,6.93,2.35,0.78,1.9,1.01,75.5,39.2,55.4,73.8,0.84,0.12
"113","Atakan Karazor\5762be5c","MF","Stuttgart","de Bundesliga",19.2,83.8,0.11,3.8,207.1,0.89,3.23,10.2,1.57,1.35,19.6,5.89,1.82,2.45,2.6,0.83,64.3,39.2,36.9,52.2,3.02,0
"114","Franck Kessié\05e19d6a","MF","Milan","it Serie A",22.6,87.4,0.07,4.07,200.7,1.02,3.72,6.42,2.65,1.15,16.7,5.31,2.04,1.06,1.86,0.8,64.1,36.5,43,70,1.33,0.1
"115","Rani Khedira\59e4b92e","MF","Union Berlin","de Bundesliga",28.7,73.8,0.01,2.16,113.5,0.21,1.95,7.25,0.77,1.64,23.1,6.69,1.6,1.39,1.53,0.66,41,25.1,21.1,77.3,1.46,0
"116","Joshua Kimmich\49296448","MF","Bayern Munich","de Bundesliga",25.6,84.7,0.33,9.41,505.1,2.81,7.85,13.5,4.49,1.21,17.8,6.25,2.5,1.13,1.88,0.74,103.9,59,65.7,61.8,0.9,0.12
"117","Jakub Kiwior\dc3e663e","MF","Spezia","it Serie A",18.8,79.2,0.01,1.65,113.9,0.37,1.65,5.21,0.58,1.22,22.1,6.97,2.23,2.61,2.45,0.9,42.9,23.4,21.1,75,1.81,0
"118","Mateusz Klich\282679b4","MF","Leeds United","eng Premier League",21.2,77.2,0.09,4.25,158.5,1.32,2.97,5.85,2.88,1.13,25.2,6.27,1.32,1.08,1.08,0.9,53.3,27,35.4,64.3,0.33,0.03
"119","Justin Kluivert\4c3a6744","MF","Nice","fr Ligue 1",18.1,65.1,0.19,2.32,123.2,1.71,1.27,5.8,2.87,0.61,16.6,4.2,1.27,0.17,1.38,0.28,44,18.1,29.9,45.3,0.99,0.12
"120","Dominik Kohr\0fbecd11","MF","Mainz 05","de Bundesliga",15.9,75.5,0.1,4.78,195,0.5,3.65,7.86,1.88,1.51,20.5,6.79,2.2,1.57,1.95,0.88,57.8,35.5,29.2,77.8,2.2,0
"121","Koke\55126f3b","MF","Atlético Madrid","es La Liga",23.9,86.7,0.05,5.06,296.7,0.84,6.36,8.08,1.8,1.13,17.4,5.44,0.75,1.26,1.38,0.75,74.7,46.2,52.6,60,0.59,0.09
"122","Kouadio Koné\86574238","MF","M'Gladbach","de Bundesliga",23.3,87.7,0.03,4.59,236.3,0.47,3.61,10.8,1.68,1.89,21.1,7.94,2.7,0.9,1.46,0.86,64.8,41,46.8,68.2,1.29,0.07
"123","Teun Koopmeiners\a26fb8aa","MF","Atalanta","it Serie A",20.8,79.3,0.18,5.14,296.2,1.63,4.71,8.7,3.27,0.91,18.4,5.63,1.01,0.96,1.97,0.77,72.1,37,49.8,65.7,1.25,0.18
"124","Rominigue Kouamé\86a2ba20","MF","Troyes","fr Ligue 1",30,87.7,0.07,4.13,159.8,0.63,4.27,7.57,1.83,0.93,17.7,5.1,2,0.77,1.17,0.53,58.1,38,43.2,66.1,0.6,0.03
"125","Cheikhou Kouyaté\8d3c902d","MF","Crystal Palace","eng Premier League",20.7,83.5,0.03,2.08,117,0.19,1.93,5.8,0.77,1.55,18.3,5.41,2.13,2.42,2.71,0.68,47.4,27,26.3,65,2.56,0
"126","Mateo Kovačić\79c0821a","MF","Chelsea","eng Premier League",16,89.4,0.21,6.69,265.6,1.5,6.94,9.06,3.38,2.38,22.7,6.88,1.19,0.75,1.13,1.06,81,51.9,62,80.6,0.31,0.1
"127","Toni Kroos\6ce1f46f","MF","Real Madrid","es La Liga",20.9,91.7,0.12,8.71,505.5,1.96,11.4,7.51,3.53,1.15,15.4,3.92,0.77,0.48,0.62,0.91,102.7,61.6,73.8,47.1,0.38,0.02
"128","Juraj Kucka\5aaef9ef","MF","Watford","eng Premier League",21.3,70,0.04,2.68,121.3,0.47,1.69,6.62,1.73,2.21,19.9,6.34,2.16,2.35,1.83,1.31,48.7,25.2,24.9,58.3,2.58,0.02
"129","Adam Lallana\99813635","MF","Brighton","eng Premier League",17.2,87.6,0.04,3.37,159.7,0.47,3.55,9.48,1.52,1.28,17.5,6.05,1.57,0.87,1.51,0.64,64.1,35.7,45.9,60.7,0.76,0
"130","Manuel Lanzini\26f6dca8","MF","West Ham","eng Premier League",17.1,90.7,0.12,4.15,205.6,1.29,3.86,8.6,2.92,0.99,19.5,5.2,1.29,0.35,0.99,0.64,69.3,40.3,50,64,0.35,0.17
"131","Pierre Lees-Melou\f5044e54","MF","Norwich City","eng Premier League",21.9,78.4,0.08,4.11,172.9,1,3.2,7.4,2.15,1.55,25.8,6.3,1.46,0.64,1.64,1.1,50,25.3,32,44.8,0.64,0.03
"132","Lucas Leiva\4c78b5ed","MF","Lazio","it Serie A",18.2,92.2,0.01,3.19,280.9,0.27,5,7.8,1.04,1.81,19.3,5.16,1.76,1.81,1.81,0.93,72.4,47.4,41.5,60,1.54,0
"133","Thomas Lemar\4dbd0916","MF","Atlético Madrid","es La Liga",15.9,78.7,0.19,4.65,208.1,2.01,3.02,7.55,3.89,1.01,17.6,5.53,1.13,0.5,1.26,0.38,62.1,30.1,44.9,60.8,0.88,0.14
"134","Mario Lemina\2b471f99","MF","Nice","fr Ligue 1",20.3,88.3,0.02,3.3,223.6,0.25,3.84,7.24,1.09,2.02,14.1,5.17,2.27,1.97,1.48,0.99,64.4,43.4,46.6,73.3,1.28,0.15
"135","Aaron Lennon\2ff964a0","MF","Burnley","eng Premier League",16,65.6,0.03,0.94,49.4,0.63,0.5,3.69,1.81,1.06,20.9,4.94,0.69,0.69,1.69,0.56,32.5,13.1,21.3,40.5,0.63,0.2
"136","Stanislav Lobotka\e1cbb531","MF","Napoli","it Serie A",17.4,93.1,0.03,4.31,270.5,0.8,6.21,10.8,1.84,1.55,18,7.13,1.55,0.69,0.92,0.57,83.2,59.5,62,80,0.75,0
"137","Manuel Locatelli\a8a874f1","MF","Juventus","it Serie A",22.3,85.5,0.08,5.25,327.4,0.99,5.34,7.67,2.55,1.3,14.7,4.44,1.61,1.7,2.24,0.4,71.7,42.1,47.8,77.8,1.52,0.14
"138","Maxime Lopez\20094685","MF","Sassuolo","it Serie A",30.8,91.6,0.09,6.3,381.4,1.49,6.98,9.22,2.95,1.46,16.7,5.1,1.88,1.36,1.23,0.97,88.9,55.6,65,54.8,0.23,0.13
"139","Dion Lopy\64c14d49","MF","Reims","fr Ligue 1",16.6,86.8,0.01,2.29,96,0.48,1.45,8.67,1.2,2.23,27,7.29,1.87,1.14,1.57,0.66,46.6,27.8,32.3,56.7,1.2,0
"140","Anthony Losilla\07c7eb0c","MF","Bochum","de Bundesliga",30.6,77.7,0.02,2.52,136.7,0.46,2.25,6.57,1.27,1.7,19.5,5.78,2.29,3.27,1.18,0.85,48,27.8,21.4,52.8,4.12,0.06
"141","Imran Louza\e1df6989","MF","Watford","eng Premier League",15.7,74.9,0.06,3.38,211.8,1.08,3.82,5.86,1.91,2.04,22.4,6.69,2.99,1.46,1.46,1.27,57.1,33.6,29.7,48.1,0.7,0
"142","Eduard Löwen\70678132","MF","Bochum","de Bundesliga",15.2,66.9,0.22,4.28,218,2.5,3.22,9.21,3.7,1.51,24.1,7.7,1.18,1.38,1.25,0.66,54.3,23.3,30.5,45.9,1.84,0
"143","Jean Lucas\a99138af","MF","Monaco","fr Ligue 1",15.9,79.3,0.1,3.65,168.2,1.07,3.96,8.87,2.2,2.14,24.1,7.17,1.76,0.25,1.45,0.75,64.5,36.4,45.3,71.7,0.75,0.04
"144","Douglas Luiz\6f7d826d","MF","Aston Villa","eng Premier League",25.2,82.9,0.09,3.45,209,1.19,2.94,5.95,2.42,1.51,17.5,5.44,2.1,0.91,1.39,0.83,57.2,32.8,34.6,43.3,1.19,0.05
"145","Saša Lukić\c6e8cf1f","MF","Torino","it Serie A",31.1,87.4,0.14,2.99,173.5,1.06,4.02,7.49,2.34,1.06,16.5,4.6,1.64,1.03,1.67,0.51,62.4,39,42.9,67.7,1.54,0.08
"146","Giulio Maggiore\957e4c87","MF","Spezia","it Serie A",28.7,75.6,0.07,3.41,139.7,1.05,2.3,6.34,2.37,1.29,20.6,5.61,1.53,1.01,1.25,0.84,48.7,27.7,32.7,43.6,1.08,0.03
